"파워링크보고서(2024.12.01.~2024.12.31.),ysing"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",●[RD] 파워링크_PC,01.학교,-,PC,1,0,0,0,3,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,국비직업전문학교,PC,4,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,국비직업훈련원,PC,1,0,0,0,2,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,국비학원,PC,1,0,0,0,2,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직업전문학교,PC,6,1,"9,603","9,603",6.7,9,65,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직업전문학원,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직업학교,PC,3,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직업훈련소,PC,1,1,"2,343","2,343",1,2,12,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직업훈련원,PC,2,1,"4,818","4,818",5,2,21,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직장인국비지원컴퓨터학원,PC,1,0,0,0,5,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,직장인국비지원학원,PC,1,0,0,0,3,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,취업스쿨,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,취업전문학교,PC,2,0,0,0,4,0,0,0,0
"파워링크",●[RD] 파워링크_PC,01.학교,취업지원센터,PC,2,0,0,0,2,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),-,PC,2,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3DPRINTER,PC,35,0,0,0,5.4,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3DPRINTING,PC,7,0,0,0,6.6,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3DSMAX,PC,1,0,0,0,5,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D금속프린팅,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D모델러,PC,2,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D모델링,PC,6,0,0,0,7.8,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D모델링프로그램,PC,5,0,0,0,2,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D설계,PC,1,0,0,0,9,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D캐릭터,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D캐릭터제작,PC,1,0,0,0,2,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터개발산업기사,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터실기,PC,2,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터운용기능사,PC,16,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터운용기능사실기,PC,6,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터운용기능사필기,PC,8,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터자격증,PC,4,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린터종류,PC,2,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),3D프린트기능사,PC,1,0,0,0,1,0,0,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),국비지원3D프린터교육,PC,1,0,0,0,1,2,20,0,0
"파워링크",●[RD] 파워링크_PC,02.취업(3D프린터),신도리코3D프린터,PC,2,0,0,0,1,0,0,0,0
