"요일별보고서(2024.12.01.~2024.12.31.),5g95g9"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,6,0.38,9.2,202,"1,210",0,0
"월요일",01시~02시,2,0.21,8.1,116,231,0,0
"월요일",02시~03시,0,0,9.9,0,0,0,0
"월요일",03시~04시,1,0.2,7.2,220,220,0,0
"월요일",04시~05시,0,0,9.3,0,0,0,0
"월요일",05시~06시,0,0,8.8,0,0,0,0
"월요일",06시~07시,1,0.13,9.4,187,187,0,0
"월요일",07시~08시,6,0.55,8.9,187,"1,122",0,0
"월요일",08시~09시,8,0.44,6.4,153,"1,221",0,0
"월요일",09시~10시,9,0.33,6.7,163,"1,463",0,0
"월요일",10시~11시,19,0.66,5.6,164,"3,113",0,0
"월요일",11시~12시,11,0.37,5.4,155,"1,705",0,0
"월요일",12시~13시,19,0.79,6,230,"4,367",0,0
"월요일",13시~14시,17,0.54,5.6,171,"2,915",0,0
"월요일",14시~15시,25,0.76,4.9,176,"4,389",0,0
"월요일",15시~16시,33,0.96,5.6,174,"5,731",0,0
"월요일",16시~17시,20,0.58,6.1,171,"3,421",0,0
"월요일",17시~18시,14,0.47,5.1,160,"2,233",0,0
"월요일",18시~19시,12,0.59,7,171,"2,057",0,0
"월요일",19시~20시,6,0.28,5.9,180,"1,078",0,0
"월요일",20시~21시,8,0.38,5.9,162,"1,298",0,0
"월요일",21시~22시,7,0.31,5.8,317,"2,222",0,0
"월요일",22시~23시,10,0.5,5.7,255,"2,552",0,0
"월요일",23시~00시,8,0.46,5.9,248,"1,980",0,0
"화요일",00시~01시,8,0.53,7.5,184,"1,474",0,0
"화요일",01시~02시,4,0.4,7.1,124,495,0,0
"화요일",02시~03시,3,0.42,9,370,"1,111",0,0
"화요일",03시~04시,1,0.18,7.6,77,77,0,0
"화요일",04시~05시,4,0.7,16,182,726,0,0
"화요일",05시~06시,3,0.57,8.4,209,627,0,0
"화요일",06시~07시,5,0.65,6.6,99,495,0,0
"화요일",07시~08시,5,0.42,8.1,145,726,0,0
"화요일",08시~09시,11,0.6,5.9,232,"2,552",0,0
"화요일",09시~10시,15,0.55,5.7,224,"3,366",0,0
"화요일",10시~11시,12,0.4,6,171,"2,057",0,0
"화요일",11시~12시,28,0.95,5.6,146,"4,081",0,0
"화요일",12시~13시,16,0.67,5.6,189,"3,025",0,0
"화요일",13시~14시,19,0.64,5.4,182,"3,465",0,0
"화요일",14시~15시,14,0.41,5.6,184,"2,574",0,0
"화요일",15시~16시,19,0.58,4.9,203,"3,861",0,0
"화요일",16시~17시,21,0.59,5.3,172,"3,608",0,0
"화요일",17시~18시,19,0.61,5.8,194,"3,685",0,0
"화요일",18시~19시,15,0.72,7.2,232,"3,487",0,0
"화요일",19시~20시,15,0.73,5.8,241,"3,619",0,0
"화요일",20시~21시,20,0.84,6.1,153,"3,069",0,0
"화요일",21시~22시,15,0.66,5.7,194,"2,904",0,0
"화요일",22시~23시,9,0.37,5.5,241,"2,167",0,0
"화요일",23시~00시,3,0.14,6.1,84,253,0,0
"수요일",00시~01시,6,0.41,6.2,339,"2,035",0,0
"수요일",01시~02시,4,0.51,8.5,149,594,0,0
"수요일",02시~03시,5,0.63,10,189,946,0,0
"수요일",03시~04시,4,0.91,6.3,278,"1,111",0,0
"수요일",04시~05시,2,0.47,14.6,341,682,0,0
"수요일",05시~06시,4,0.82,9.4,275,"1,100",0,0
"수요일",06시~07시,3,0.49,8,407,"1,221",0,0
"수요일",07시~08시,6,0.59,7.4,193,"1,155",0,0
"수요일",08시~09시,12,0.75,7,170,"2,035",0,0
"수요일",09시~10시,15,0.72,6.1,213,"3,190",0,0
"수요일",10시~11시,24,0.94,5.2,167,"4,004",0,0
"수요일",11시~12시,8,0.35,5.3,184,"1,474",0,0
"수요일",12시~13시,11,0.55,6.7,240,"2,640",0,0
"수요일",13시~14시,12,0.5,5.6,178,"2,134",0,0
"수요일",14시~15시,10,0.37,5.7,205,"2,046",0,0
"수요일",15시~16시,20,0.69,6.2,179,"3,586",0,0
"수요일",16시~17시,19,0.66,5.9,223,"4,235",0,0
"수요일",17시~18시,16,0.64,6.4,206,"3,289",0,0
"수요일",18시~19시,11,0.62,7.1,281,"3,091",0,0
