"요일별보고서(2024.12.01.~2024.12.31.),bheater"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,3.4,0,0,0,0
"월요일",01시~02시,2,0.6,3.3,"1,782","3,564",0,0
"월요일",02시~03시,0,0,3.6,0,0,0,0
"월요일",03시~04시,0,0,3.1,0,0,0,0
"월요일",04시~05시,2,1.84,3,495,990,0,0
"월요일",05시~06시,2,1.38,3,880,"1,760",0,0
"월요일",06시~07시,2,1.03,3,963,"1,925",0,0
"월요일",07시~08시,0,0,3.2,0,0,0,0
"월요일",08시~09시,1,0.16,3.6,693,693,0,0
"월요일",09시~10시,8,0.71,3.4,792,"6,336",1,"24,600"
"월요일",10시~11시,5,0.39,3.2,695,"3,476",0,0
"월요일",11시~12시,5,0.34,3.1,818,"4,092",0,0
"월요일",12시~13시,9,0.74,3.2,703,"6,325",0,0
"월요일",13시~14시,9,0.59,3,639,"5,753",0,0
"월요일",14시~15시,14,0.87,3.1,826,"11,561",0,0
"월요일",15시~16시,20,1.07,3,669,"13,387",0,0
"월요일",16시~17시,15,0.74,3.1,650,"9,746",0,0
"월요일",17시~18시,13,0.68,3.5,806,"10,472",0,0
"월요일",18시~19시,6,0.54,4.2,678,"4,070",0,0
"월요일",19시~20시,3,0.28,3.3,653,"1,958",0,0
"월요일",20시~21시,2,0.17,4,869,"1,738",0,0
"월요일",21시~22시,5,0.24,4.2,697,"3,487",0,0
"월요일",22시~23시,2,0.1,3.8,429,858,0,0
"월요일",23시~00시,3,0.17,4.3,598,"1,793",0,0
"화요일",00시~01시,1,0.1,5.7,880,880,0,0
"화요일",01시~02시,1,0.35,3.3,880,880,0,0
"화요일",02시~03시,1,0.65,3.2,"2,475","2,475",0,0
"화요일",03시~04시,2,1.27,3.4,"1,634","3,267",0,0
"화요일",04시~05시,0,0,3.4,0,0,0,0
"화요일",05시~06시,1,0.48,2.8,638,638,0,0
"화요일",06시~07시,2,1.04,3.4,715,"1,430",0,0
"화요일",07시~08시,2,0.49,3.1,847,"1,694",0,0
"화요일",08시~09시,4,0.57,3.3,"1,059","4,235",0,0
"화요일",09시~10시,5,0.46,3.3,548,"2,739",0,0
"화요일",10시~11시,5,0.4,3.2,418,"2,090",0,0
"화요일",11시~12시,4,0.27,2.9,784,"3,135",0,0
"화요일",12시~13시,1,0.08,2.9,880,880,0,0
"화요일",13시~14시,5,0.33,2.9,"1,058","5,291",0,0
"화요일",14시~15시,11,0.64,2.6,722,"7,942",0,0
"화요일",15시~16시,11,0.62,2.7,735,"8,085",0,0
"화요일",16시~17시,14,0.65,2.7,690,"9,658",0,0
"화요일",17시~18시,13,0.81,2.9,987,"12,837",0,0
"화요일",18시~19시,6,0.53,2.6,748,"4,488",0,0
"화요일",19시~20시,4,0.43,2.6,715,"2,860",0,0
"화요일",20시~21시,3,0.29,3.1,"1,122","3,366",0,0
"화요일",21시~22시,3,0.2,4.2,708,"2,123",0,0
"화요일",22시~23시,3,0.22,3.9,462,"1,386",0,0
"화요일",23시~00시,6,0.45,3.2,986,"5,918",0,0
"수요일",00시~01시,0,0,4.6,0,0,0,0
"수요일",01시~02시,0,0,3.7,0,0,0,0
"수요일",02시~03시,0,0,3.9,0,0,0,0
"수요일",03시~04시,1,1.08,3.4,"1,320","1,320",0,0
"수요일",04시~05시,0,0,3.6,0,0,0,0
"수요일",05시~06시,0,0,3.1,0,0,0,0
"수요일",06시~07시,0,0,3.3,0,0,0,0
"수요일",07시~08시,2,0.85,2.9,677,"1,353",0,0
"수요일",08시~09시,3,0.58,3.4,843,"2,530",0,0
"수요일",09시~10시,5,0.66,3.2,583,"2,915",0,0
"수요일",10시~11시,7,0.97,3,874,"6,116",0,0
"수요일",11시~12시,1,0.13,3,"2,288","2,288",1,"12,300"
"수요일",12시~13시,3,0.47,2.9,928,"2,783",0,0
"수요일",13시~14시,4,0.41,2.8,690,"2,761",0,0
"수요일",14시~15시,7,0.69,2.9,498,"3,487",0,0
"수요일",15시~16시,7,0.6,3,864,"6,050",2,"38,770"
"수요일",16시~17시,10,0.75,2.8,787,"7,865",0,0
"수요일",17시~18시,6,0.64,2.9,842,"5,049",0,0
"수요일",18시~19시,6,0.9,2.8,944,"5,665",0,0
"수요일",19시~20시,0,0,3.2,0,0,0,0
"수요일",20시~21시,1,0.13,3.5,264,264,0,0
"수요일",21시~22시,0,0,3.8,0,0,0,0
"수요일",22시~23시,4,0.28,3.1,600,"2,398",0,0
"수요일",23시~00시,0,0,3.2,0,0,0,0
"목요일",00시~01시,1,0.21,3.4,880,880,0,0
"목요일",01시~02시,0,0,4.1,0,0,0,0
"목요일",02시~03시,0,0,3,0,0,0,0
"목요일",03시~04시,0,0,3.5,0,0,0,0
"목요일",04시~05시,0,0,3.7,0,0,0,0
"목요일",05시~06시,1,1.09,3,880,880,0,0
"목요일",06시~07시,1,0.73,3.3,"1,969","1,969",0,0
"목요일",07시~08시,2,0.7,3.8,"1,760","3,520",0,0
"목요일",08시~09시,5,0.89,3.7,946,"4,730",0,0
"목요일",09시~10시,7,0.91,3.5,376,"2,629",0,0
"목요일",10시~11시,2,0.2,3.4,347,693,0,0
"목요일",11시~12시,8,0.74,3.2,"1,030","8,239",0,0
"목요일",12시~13시,6,0.71,3.1,900,"5,401",0,0
"목요일",13시~14시,3,0.26,2.8,601,"1,804",0,0
"목요일",14시~15시,5,0.36,3.1,953,"4,763",0,0
"목요일",15시~16시,9,0.57,3.3,924,"8,316",0,0
"목요일",16시~17시,14,0.92,2.9,764,"10,692",0,0
"목요일",17시~18시,10,0.76,3.1,433,"4,334",0,0
"목요일",18시~19시,4,0.46,3.6,924,"3,696",0,0
"목요일",19시~20시,3,0.36,3.9,697,"2,090",0,0
"목요일",20시~21시,3,0.33,3.7,825,"2,475",0,0
"목요일",21시~22시,3,0.25,3.9,539,"1,617",0,0
"목요일",22시~23시,2,0.18,3.3,325,649,0,0
"목요일",23시~00시,3,0.32,3.4,"1,815","5,445",0,0
"금요일",00시~01시,1,0.22,3.7,814,814,0,0
"금요일",01시~02시,2,1.87,3.5,820,"1,639",0,0
"금요일",02시~03시,0,0,3.5,0,0,0,0
"금요일",03시~04시,0,0,3.1,0,0,0,0
"금요일",04시~05시,0,0,3.6,0,0,0,0
"금요일",05시~06시,0,0,2.7,0,0,0,0
"금요일",06시~07시,3,1.78,3,583,"1,749",0,0
"금요일",07시~08시,0,0,3.3,0,0,0,0
"금요일",08시~09시,3,0.56,3.1,"1,071","3,212",0,0
"금요일",09시~10시,3,0.44,3.1,818,"2,453",0,0
"금요일",10시~11시,6,0.99,3,627,"3,762",0,0
"금요일",11시~12시,9,1.37,3.1,814,"7,326",0,0
"금요일",12시~13시,2,0.39,3.3,473,946,0,0
"금요일",13시~14시,3,0.44,2.9,"1,063","3,190",0,0
"금요일",14시~15시,8,1.02,3.2,850,"6,798",0,0
"금요일",15시~16시,8,1.02,3.3,"1,056","8,448",0,0
"금요일",16시~17시,6,0.74,3.7,722,"4,334",0,0
"금요일",17시~18시,5,0.73,3.7,513,"2,563",0,0
"금요일",18시~19시,2,0.47,3.9,506,"1,012",0,0
"금요일",19시~20시,4,0.9,3.7,495,"1,980",0,0
"금요일",20시~21시,1,0.15,3.9,209,209,0,0
"금요일",21시~22시,2,0.21,3.5,"1,595","3,190",0,0
"금요일",22시~23시,2,0.2,3.5,600,"1,199",0,0
"금요일",23시~00시,4,0.49,3.1,696,"2,783",0,0
"토요일",00시~01시,3,0.79,2.8,704,"2,112",0,0
"토요일",01시~02시,1,0.82,3.5,880,880,0,0
"토요일",02시~03시,1,0.81,3.2,451,451,0,0
"토요일",03시~04시,1,1.15,2.9,825,825,0,0
"토요일",04시~05시,0,0,3.1,0,0,0,0
"토요일",05시~06시,1,0.9,2.5,880,880,0,0
"토요일",06시~07시,0,0,2.8,0,0,0,0
"토요일",07시~08시,0,0,2.9,0,0,0,0
"토요일",08시~09시,8,3.59,3.4,943,"7,546",0,0
"토요일",09시~10시,2,0.64,2.9,721,"1,441",0,0
"토요일",10시~11시,3,0.94,3.1,"1,012","3,036",0,0
"토요일",11시~12시,4,1.27,3,"1,460","5,841",0,0
"토요일",12시~13시,3,0.86,3,748,"2,244",0,0
"토요일",13시~14시,3,0.84,2.9,"1,529","4,587",0,0
"토요일",14시~15시,2,0.58,2.9,985,"1,969",0,0
"토요일",15시~16시,5,1.25,2.7,"1,005","5,027",0,0
"토요일",16시~17시,1,0.3,2.8,781,781,0,0
"토요일",17시~18시,3,0.87,4.4,"1,276","3,828",0,0
"토요일",18시~19시,0,0,5.4,0,0,0,0
"토요일",19시~20시,1,0.18,4.5,616,616,0,0
"토요일",20시~21시,3,0.57,4.1,517,"1,551",0,0
"토요일",21시~22시,1,0.11,3.8,77,77,0,0
"토요일",22시~23시,4,0.38,3.8,616,"2,464",0,0
"토요일",23시~00시,3,0.32,2.9,"1,280","3,839",0,0
"일요일",00시~01시,1,0.14,5.9,418,418,0,0
"일요일",01시~02시,1,0.38,4.2,869,869,0,0
"일요일",02시~03시,3,1.45,3.3,587,"1,760",0,0
"일요일",03시~04시,0,0,2.7,0,0,0,0
"일요일",04시~05시,0,0,2.9,0,0,0,0
"일요일",05시~06시,1,0.68,3.1,"2,090","2,090",0,0
"일요일",06시~07시,0,0,2.9,0,0,0,0
"일요일",07시~08시,2,0.83,3.1,506,"1,012",0,0
"일요일",08시~09시,3,0.91,3.2,"1,434","4,301",0,0
"일요일",09시~10시,3,0.82,3.1,"1,012","3,036",0,0
"일요일",10시~11시,4,0.87,3.1,459,"1,837",0,0
"일요일",11시~12시,4,0.78,3.1,"1,042","4,169",0,0
"일요일",12시~13시,2,0.45,3,941,"1,881",0,0
"일요일",13시~14시,0,0,3.2,0,0,0,0
"일요일",14시~15시,3,0.46,2.7,"1,122","3,366",0,0
"일요일",15시~16시,2,0.32,2.8,979,"1,958",0,0
"일요일",16시~17시,5,0.62,2.8,"1,047","5,236",0,0
"일요일",17시~18시,2,0.26,3.9,"2,079","4,158",0,0
"일요일",18시~19시,2,0.3,3.3,429,858,0,0
"일요일",19시~20시,5,0.61,3.4,625,"3,124",0,0
"일요일",20시~21시,2,0.21,3.8,"1,007","2,013",0,0
"일요일",21시~22시,1,0.07,2.7,374,374,0,0
"일요일",22시~23시,1,0.07,2.8,869,869,0,0
"일요일",23시~00시,4,0.27,2.8,737,"2,948",0,0
