"요일별보고서(2024.12.01.~2024.12.31.),crinfo:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,5,0.85,1.9,455,"2,277",0,0
"월요일",01시~02시,6,1.43,2,524,"3,146",0,0
"월요일",02시~03시,6,1.69,1.9,376,"2,255",0,0
"월요일",03시~04시,4,1.75,2,465,"1,859",0,0
"월요일",04시~05시,1,0.69,1.9,473,473,0,0
"월요일",05시~06시,2,1.41,2,556,"1,111",0,0
"월요일",06시~07시,4,2.32,1.7,556,"2,222",0,0
"월요일",07시~08시,5,1.24,2,433,"2,167",0,0
"월요일",08시~09시,5,0.58,2,554,"2,772",1,"19,800"
"월요일",09시~10시,13,0.8,2.1,619,"8,052",0,0
"월요일",10시~11시,20,0.87,2.1,523,"10,450",0,0
"월요일",11시~12시,13,0.58,2,640,"8,316",0,0
"월요일",12시~13시,12,0.6,2,505,"6,061",1,"32,400"
"월요일",13시~14시,20,0.83,2.1,529,"10,571",2,"65,600"
"월요일",14시~15시,21,0.76,2,636,"13,365",0,0
"월요일",15시~16시,20,0.74,2,477,"9,548",2,"58,500"
"월요일",16시~17시,35,1.31,2.1,585,"20,471",3,"115,900"
"월요일",17시~18시,18,0.75,1.9,565,"10,175",0,0
"월요일",18시~19시,14,1.22,2,457,"6,391",1,"16,200"
"월요일",19시~20시,12,1.02,1.9,492,"5,907",1,"36,300"
"월요일",20시~21시,13,1.2,1.9,629,"8,173",0,0
"월요일",21시~22시,15,1.39,1.9,493,"7,392",0,0
"월요일",22시~23시,12,1.18,1.9,657,"7,887",1,"23,100"
"월요일",23시~00시,7,0.77,2,437,"3,058",1,"19,800"
"화요일",00시~01시,5,0.86,1.9,603,"3,014",0,0
"화요일",01시~02시,10,2.95,2,651,"6,512",0,0
"화요일",02시~03시,4,1.4,2.1,388,"1,551",0,0
"화요일",03시~04시,1,0.46,2.3,385,385,0,0
"화요일",04시~05시,4,2.47,2,470,"1,881",0,0
"화요일",05시~06시,5,2.12,2.1,618,"3,091",0,0
"화요일",06시~07시,4,1.58,2.1,567,"2,266",0,0
"화요일",07시~08시,6,1.43,2,691,"4,147",0,0
"화요일",08시~09시,11,1.39,1.9,525,"5,775",1,"41,500"
"화요일",09시~10시,15,0.93,2.2,439,"6,578",0,0
"화요일",10시~11시,19,0.83,2.1,511,"9,702",1,"39,600"
"화요일",11시~12시,17,0.65,2.1,607,"10,318",1,"36,000"
