"요일별보고서(2024.12.01.~2024.12.31.),darling_tag"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,108,0.67,3.4,"1,481","159,940",7,"626,810"
"월요일",01시~02시,62,0.83,3.5,"1,561","96,778",4,"543,900"
"월요일",02시~03시,26,0.49,3.6,"1,611","41,888",1,"167,000"
"월요일",03시~04시,25,0.59,3.4,"1,194","29,843",1,"37,800"
"월요일",04시~05시,9,0.41,3.2,"1,225","11,022",1,"112,000"
"월요일",05시~06시,11,0.3,3.6,"1,969","21,659",0,0
"월요일",06시~07시,22,0.43,3.5,"1,395","30,690",0,0
"월요일",07시~08시,53,0.5,3.2,"1,644","87,153",4,"272,000"
"월요일",08시~09시,74,0.4,2.7,"1,919","141,977",4,"283,800"
"월요일",09시~10시,86,0.22,2.5,"1,333","114,664",4,"252,400"
"월요일",10시~11시,117,0.25,2.5,"1,480","173,151",13,"948,700"
"월요일",11시~12시,102,0.27,2.6,"1,518","154,847",6,"403,200"
"월요일",12시~13시,113,0.32,2.8,"1,462","165,187",7,"876,000"
"월요일",13시~14시,129,0.31,2.7,"1,531","197,538",9,"838,600"
"월요일",14시~15시,121,0.33,2.7,"1,599","193,512",13,"1,537,100"
"월요일",15시~16시,121,0.3,2.7,"1,382","167,233",8,"926,000"
"월요일",16시~17시,135,0.3,2.8,"1,480","199,826",6,"528,010"
"월요일",17시~18시,138,0.32,2.8,"1,344","185,493",5,"567,850"
"월요일",18시~19시,103,0.39,3.3,"1,384","142,582",3,"191,800"
"월요일",19시~20시,116,0.4,3.2,"1,292","149,820",3,"168,700"
"월요일",20시~21시,151,0.49,3.6,"1,452","219,219",5,"433,490"
"월요일",21시~22시,170,0.52,3.6,"1,255","213,323",3,"171,300"
"월요일",22시~23시,150,0.49,3.7,"1,301","195,195",2,"220,000"
"월요일",23시~00시,180,0.7,3.8,"1,207","217,327",6,"977,220"
"화요일",00시~01시,91,0.62,3.6,"1,582","143,957",1,"79,000"
"화요일",01시~02시,51,0.59,3.2,"1,635","83,402",5,"466,560"
"화요일",02시~03시,27,0.52,3.4,"1,549","41,811",3,"298,200"
"화요일",03시~04시,16,0.4,3.3,"1,552","24,827",1,"24,300"
"화요일",04시~05시,18,0.51,3.1,"1,830","32,934",0,0
"화요일",05시~06시,23,0.66,3.3,"1,405","32,307",0,0
"화요일",06시~07시,17,1.13,3.3,"1,587","26,983",0,0
"화요일",07시~08시,41,0.54,3.3,"1,199","49,159",0,0
"화요일",08시~09시,92,0.37,3.1,"1,161","106,821",2,"116,540"
"화요일",09시~10시,98,0.28,2.6,"1,301","127,479",3,"159,100"
"화요일",10시~11시,123,0.29,2.7,"1,502","184,690",9,"1,170,930"
"화요일",11시~12시,124,0.3,2.6,"1,610","199,683",7,"807,530"
"화요일",12시~13시,97,0.32,2.7,"1,396","135,366",4,"405,700"
"화요일",13시~14시,107,0.26,2.7,"1,372","146,850",1,"91,000"
"화요일",14시~15시,141,0.3,2.8,"1,345","189,607",5,"357,500"
"화요일",15시~16시,151,0.36,2.8,"1,477","222,970",4,"336,200"
"화요일",16시~17시,130,0.32,2.8,"1,403","182,369",3,"418,500"
"화요일",17시~18시,117,0.33,2.9,"1,184","138,545",2,"108,000"
"화요일",18시~19시,94,0.44,3.2,"1,523","143,154",1,"78,000"
"화요일",19시~20시,152,0.41,3.4,980,"148,995",3,"270,400"
"화요일",20시~21시,123,0.47,3.5,"1,236","152,042",2,"210,400"
"화요일",21시~22시,159,0.56,3.5,"1,342","213,378",3,"515,130"
"화요일",22시~23시,161,0.56,3.6,"1,416","227,997",7,"535,710"
"화요일",23시~00시,131,0.44,3.8,"1,184","155,089",4,"404,650"
"수요일",00시~01시,99,0.69,3.3,"1,281","126,830",2,"177,450"
"수요일",01시~02시,69,0.59,3,"1,128","77,858",3,"194,200"
"수요일",02시~03시,40,0.6,3,"1,409","56,375",0,0
"수요일",03시~04시,27,0.8,2.9,"1,771","47,817",4,"488,120"
"수요일",04시~05시,16,0.7,3.3,"1,039","16,621",1,"40,800"
"수요일",05시~06시,18,0.53,3.2,"1,370","24,651",0,0
"수요일",06시~07시,25,0.53,3.3,"1,031","25,784",0,0
"수요일",07시~08시,34,0.62,3.2,"1,721","58,498",1,"57,000"
"수요일",08시~09시,59,0.43,2.7,"1,550","91,443",7,"601,000"
"수요일",09시~10시,96,0.29,2.5,"1,428","137,104",3,"122,500"
"수요일",10시~11시,111,0.28,2.5,"1,285","142,593",6,"483,200"
"수요일",11시~12시,100,0.28,2.7,"1,258","125,829",8,"745,210"
"수요일",12시~13시,99,0.46,3,"1,511","149,589",1,"112,000"
"수요일",13시~14시,96,0.29,3,"1,200","115,181",3,"217,900"
"수요일",14시~15시,113,0.34,3,"1,263","142,681",3,"146,800"
"수요일",15시~16시,93,0.39,3.3,"1,529","142,175",2,"136,800"
"수요일",16시~17시,108,0.42,3.3,"1,377","148,687",9,"989,540"
"수요일",17시~18시,97,0.32,3.1,"1,165","113,014",3,"302,600"
