"요일별보고서(2024.12.01.~2024.12.31.),edupeacenet"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,8,0.56,2.7,274,"2,189",0,0
"월요일",01시~02시,4,0.54,2.4,325,"1,298",0,0
"월요일",02시~03시,2,0.42,2.3,275,550,0,0
"월요일",03시~04시,2,0.75,3.4,281,561,0,0
"월요일",04시~05시,1,0.5,2.8,396,396,0,0
"월요일",05시~06시,1,0.39,2.3,66,66,0,0
"월요일",06시~07시,2,0.42,1.8,352,704,0,0
"월요일",07시~08시,2,0.18,2.1,242,484,0,0
"월요일",08시~09시,5,0.31,2.4,244,"1,221",0,0
"월요일",09시~10시,14,0.66,2.4,286,"4,004",1,"15,000"
"월요일",10시~11시,11,0.45,2.4,220,"2,420",0,0
"월요일",11시~12시,4,0.17,2.5,83,330,1,"8,000"
"월요일",12시~13시,7,0.29,2.2,316,"2,211",0,0
"월요일",13시~14시,12,0.4,2.2,169,"2,024",0,0
"월요일",14시~15시,12,0.36,2.2,256,"3,069",1,"250,000"
"월요일",15시~16시,8,0.24,2.2,311,"2,486",0,0
"월요일",16시~17시,6,0.19,2.5,306,"1,837",0,0
"월요일",17시~18시,11,0.44,2.5,299,"3,289",0,0
"월요일",18시~19시,13,0.44,2.2,424,"5,511",0,0
"월요일",19시~20시,19,0.45,2.1,489,"9,295",0,0
"월요일",20시~21시,13,0.29,2.1,619,"8,041",1,"15,000"
"월요일",21시~22시,16,0.35,2.1,767,"12,265",0,0
"월요일",22시~23시,11,0.3,2.2,708,"7,788",0,0
"월요일",23시~00시,9,0.38,2.2,387,"3,487",0,0
"화요일",00시~01시,6,0.43,2.4,444,"2,662",0,0
"화요일",01시~02시,2,0.27,3,"1,727","3,454",0,0
"화요일",02시~03시,5,1.11,3.3,629,"3,146",0,0
"화요일",03시~04시,1,0.34,2.8,451,451,0,0
"화요일",04시~05시,0,0,1.9,0,0,0,0
"화요일",05시~06시,2,0.74,2.3,253,506,0,0
"화요일",06시~07시,2,0.35,2.1,"1,051","2,101",0,0
"화요일",07시~08시,5,0.42,2.1,374,"1,870",0,0
"화요일",08시~09시,9,0.53,2.2,258,"2,321",2,"115,400"
