"요일별보고서(2024.12.01.~2024.12.31.),hanuso0000:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,10,0.18,2.3,653,"6,534",0,0
"월요일",01시~02시,18,0.4,2.2,838,"15,092",1,"49,900"
"월요일",02시~03시,6,0.18,2.1,638,"3,828",0,0
"월요일",03시~04시,3,0.11,2.4,693,"2,079",0,0
"월요일",04시~05시,2,0.09,2.8,495,990,0,0
"월요일",05시~06시,9,0.41,2.8,673,"6,061",0,0
"월요일",06시~07시,12,0.47,2.8,896,"10,747",0,0
"월요일",07시~08시,14,0.36,3,695,"9,735",0,0
"월요일",08시~09시,30,0.45,2.6,713,"21,384",2,"117,800"
"월요일",09시~10시,36,0.36,2.6,634,"22,814",1,"49,900"
"월요일",10시~11시,44,0.37,2.4,832,"36,608",2,"115,800"
"월요일",11시~12시,42,0.34,2.7,720,"30,228",3,"149,700"
"월요일",12시~13시,29,0.31,2.5,792,"22,957",1,"41,900"
"월요일",13시~14시,23,0.25,2.6,667,"15,345",0,0
"월요일",14시~15시,23,0.29,2.4,594,"13,673",0,0
"월요일",15시~16시,19,0.2,2.4,761,"14,465",0,0
"월요일",16시~17시,35,0.45,2.4,580,"20,306",0,0
"월요일",17시~18시,27,0.35,2.4,717,"19,360",0,0
"월요일",18시~19시,21,0.39,2.2,358,"7,513",0,0
"월요일",19시~20시,17,0.31,2.3,428,"7,271",0,0
"월요일",20시~21시,13,0.24,2.4,393,"5,104",1,"44,900"
"월요일",21시~22시,21,0.4,2.3,433,"9,097",0,0
"월요일",22시~23시,16,0.3,2.3,163,"2,607",0,0
"월요일",23시~00시,14,0.32,2.1,237,"3,322",0,0
"화요일",00시~01시,3,0.09,2.1,154,462,0,0
"화요일",01시~02시,15,0.43,2.1,738,"11,077",0,0
"화요일",02시~03시,17,0.58,2.2,932,"15,840",0,0
"화요일",03시~04시,9,0.42,2.2,540,"4,862",0,0
"화요일",04시~05시,7,0.41,2.3,537,"3,762",0,0
"화요일",05시~06시,9,0.43,2.3,794,"7,150",0,0
"화요일",06시~07시,17,0.54,2.3,668,"11,352",0,0
"화요일",07시~08시,25,0.54,2.9,635,"15,873",0,0
"화요일",08시~09시,31,0.5,2.7,767,"23,782",0,0
"화요일",09시~10시,37,0.43,2.6,831,"30,745",2,"99,800"
"화요일",10시~11시,32,0.29,2.8,648,"20,724",1,"91,800"
"화요일",11시~12시,43,0.35,2.7,738,"31,735",1,"49,900"
"화요일",12시~13시,32,0.29,2.7,540,"17,270",2,"90,800"
"화요일",13시~14시,25,0.21,2.5,589,"14,718",0,0
"화요일",14시~15시,28,0.25,2.6,750,"20,988",0,0
"화요일",15시~16시,16,0.2,2.8,389,"6,226",1,"49,900"
"화요일",16시~17시,19,0.2,2.8,590,"11,209",1,"41,900"
"화요일",17시~18시,50,0.56,2.8,471,"23,529",0,0
"화요일",18시~19시,34,0.38,2.9,645,"21,934",3,"199,600"
"화요일",19시~20시,25,0.28,3,437,"10,923",1,"49,900"
"화요일",20시~21시,30,0.4,3,580,"17,402",1,"49,900"
"화요일",21시~22시,23,0.29,3.4,590,"13,574",0,0
"화요일",22시~23시,9,0.13,3.3,435,"3,916",0,0
"화요일",23시~00시,20,0.25,2.9,509,"10,175",0,0
"수요일",00시~01시,5,0.08,2.6,284,"1,419",1,"67,900"
"수요일",01시~02시,8,0.14,2.5,919,"7,348",0,0
"수요일",02시~03시,11,0.26,2.3,771,"8,481",0,0
"수요일",03시~04시,11,0.34,2.4,981,"10,791",0,0
"수요일",04시~05시,13,0.51,2.2,828,"10,769",0,0
"수요일",05시~06시,7,0.29,2.5,478,"3,344",0,0
"수요일",06시~07시,3,0.1,2.8,774,"2,321",0,0
