"요일별보고서(2024.12.01.~2024.12.31.),lenivmark:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,11,0.69,4.4,187,"2,057",0,0
"월요일",01시~02시,11,1.32,4.4,200,"2,200",0,0
"월요일",02시~03시,9,1.98,4.8,253,"2,277",0,0
"월요일",03시~04시,3,1.04,5.2,308,924,0,0
"월요일",04시~05시,2,0.87,4.1,380,759,0,0
"월요일",05시~06시,1,0.46,6.1,264,264,0,0
"월요일",06시~07시,4,1.34,4.9,129,517,0,0
"월요일",07시~08시,5,1.01,5.5,231,"1,155",0,0
"월요일",08시~09시,5,0.8,4.7,194,968,0,0
"월요일",09시~10시,10,1.23,4.8,263,"2,629",0,0
"월요일",10시~11시,8,0.99,5.7,173,"1,386",0,0
"월요일",11시~12시,7,0.72,4.2,214,"1,496",2,0
"월요일",12시~13시,6,0.7,4.7,279,"1,672",0,0
"월요일",13시~14시,17,1.67,4.2,275,"4,675",0,0
"월요일",14시~15시,10,0.92,4.4,287,"2,871",0,0
"월요일",15시~16시,10,0.79,4.7,164,"1,639",0,0
"월요일",16시~17시,15,1.29,4.5,194,"2,915",0,0
"월요일",17시~18시,4,0.35,4.9,209,836,0,0
"월요일",18시~19시,11,1,4.3,314,"3,454",0,0
"월요일",19시~20시,11,1.09,4.5,282,"3,102",0,0
"월요일",20시~21시,16,1.19,4.4,271,"4,334",0,0
"월요일",21시~22시,15,0.89,4.8,281,"4,213",0,0
"월요일",22시~23시,22,1.27,4.5,198,"4,356",0,0
"월요일",23시~00시,17,0.98,4.4,239,"4,059",0,0
"화요일",00시~01시,14,1.16,4.6,223,"3,124",0,0
"화요일",01시~02시,7,0.94,4.1,247,"1,727",0,0
"화요일",02시~03시,2,0.42,7.7,182,363,0,0
"화요일",03시~04시,3,0.86,4.5,165,495,0,0
"화요일",04시~05시,2,0.85,4.6,259,517,0,0
"화요일",05시~06시,6,2.73,4.4,222,"1,331",0,0
"화요일",06시~07시,3,0.96,4.8,158,473,0,0
"화요일",07시~08시,4,0.82,5.9,146,583,0,0
"화요일",08시~09시,11,1.65,5.6,266,"2,926",0,0
"화요일",09시~10시,6,0.84,4.6,281,"1,683",0,0
"화요일",10시~11시,11,1.33,4.5,188,"2,068",0,0
"화요일",11시~12시,11,1.15,4.8,197,"2,167",0,0
"화요일",12시~13시,12,1.44,4.5,231,"2,772",0,0
"화요일",13시~14시,11,1,4.5,251,"2,761",0,0
"화요일",14시~15시,17,1.54,4.5,190,"3,234",0,0
"화요일",15시~16시,11,1.01,4.9,264,"2,904",0,0
"화요일",16시~17시,11,0.94,4.8,322,"3,542",0,0
"화요일",17시~18시,16,1.52,4.7,254,"4,070",0,0
"화요일",18시~19시,4,0.48,4,176,704,0,0
"화요일",19시~20시,13,1.28,4.8,193,"2,508",0,0
"화요일",20시~21시,13,1.03,4.2,248,"3,223",0,0
"화요일",21시~22시,15,0.97,4.1,197,"2,959",0,0
"화요일",22시~23시,24,1.4,4.3,205,"4,928",0,0
