"요일별보고서(2024.12.01.~2024.12.31.),m-scape:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,13,0.58,4.1,655,"8,514",1,"229,000"
"월요일",01시~02시,7,0.37,3.5,589,"4,125",0,0
"월요일",02시~03시,7,0.48,2.8,237,"1,661",0,0
"월요일",03시~04시,5,0.37,3.2,455,"2,277",0,0
"월요일",04시~05시,4,0.4,3.2,624,"2,497",2,"1,035,000"
"월요일",05시~06시,5,0.54,3.9,607,"3,036",0,0
"월요일",06시~07시,4,0.41,4.3,641,"2,563",0,0
"월요일",07시~08시,2,0.17,3.7,374,748,0,0
"월요일",08시~09시,9,0.5,3.5,495,"4,455",1,"162,000"
"월요일",09시~10시,15,0.53,3,534,"8,008",1,"162,000"
"월요일",10시~11시,19,0.69,3,560,"10,637",2,"913,000"
"월요일",11시~12시,9,0.3,3,595,"5,357",0,0
"월요일",12시~13시,10,0.26,2.8,684,"6,842",0,0
"월요일",13시~14시,14,0.35,2.7,594,"8,316",0,0
"월요일",14시~15시,25,0.77,3,514,"12,859",0,0
"월요일",15시~16시,16,0.59,3,441,"7,051",1,"60,000"
"월요일",16시~17시,16,0.5,3.1,586,"9,372",1,"572,000"
"월요일",17시~18시,22,0.81,3.4,463,"10,186",0,0
"월요일",18시~19시,11,0.54,3.9,589,"6,479",0,0
"월요일",19시~20시,24,0.98,4.1,509,"12,221",0,0
"월요일",20시~21시,25,0.98,3.6,399,"9,977",1,"60,000"
"월요일",21시~22시,19,0.69,4.1,566,"10,747",0,0
"월요일",22시~23시,21,0.71,3.5,464,"9,735",0,0
"월요일",23시~00시,19,0.7,3.3,473,"8,987",0,0
"화요일",00시~01시,15,0.52,3.3,497,"7,458",1,"59,000"
"화요일",01시~02시,12,0.56,3.2,564,"6,765",0,0
"화요일",02시~03시,7,0.48,4.5,281,"1,969",1,"263,000"
"화요일",03시~04시,1,0.08,4,748,748,0,0
"화요일",04시~05시,2,0.17,3.1,693,"1,386",0,0
"화요일",05시~06시,6,0.51,4.2,528,"3,168",0,0
"화요일",06시~07시,3,0.27,4,433,"1,298",0,0
"화요일",07시~08시,7,0.48,3.7,475,"3,322",0,0
"화요일",08시~09시,8,0.35,3,479,"3,828",0,0
"화요일",09시~10시,10,0.27,3,392,"3,916",0,0
"화요일",10시~11시,19,0.5,3.1,570,"10,835",1,"195,000"
"화요일",11시~12시,14,0.38,3.1,728,"10,197",0,0
"화요일",12시~13시,12,0.37,3.1,562,"6,743",0,0
"화요일",13시~14시,19,0.51,3.2,471,"8,954",1,"81,000"
"화요일",14시~15시,23,0.62,3,461,"10,593",0,0
"화요일",15시~16시,17,0.47,3.2,333,"5,665",1,"219,000"
"화요일",16시~17시,16,0.52,3.6,604,"9,658",0,0
"화요일",17시~18시,20,0.81,3.4,414,"8,272",3,"200,000"
"화요일",18시~19시,5,0.27,4.2,466,"2,332",0,0
"화요일",19시~20시,20,1.03,3.7,508,"10,153",1,"60,000"
"화요일",20시~21시,14,0.68,4.2,524,"7,337",0,0
"화요일",21시~22시,11,0.56,4.3,790,"8,690",1,"59,000"
"화요일",22시~23시,16,0.59,4.3,634,"10,142",1,"195,000"
"화요일",23시~00시,16,0.52,4.5,454,"7,271",0,0
"수요일",00시~01시,6,0.24,3.6,471,"2,827",0,0
"수요일",01시~02시,9,0.41,3.5,677,"6,094",0,0
"수요일",02시~03시,8,0.49,3.1,557,"4,455",0,0
"수요일",03시~04시,2,0.17,3.7,286,572,0,0
"수요일",04시~05시,5,0.48,3.7,746,"3,729",0,0
"수요일",05시~06시,0,0,3.7,0,0,0,0
"수요일",06시~07시,0,0,3.8,0,0,0,0
"수요일",07시~08시,5,0.44,3.7,398,"1,991",0,0
"수요일",08시~09시,4,0.23,3.3,374,"1,496",0,0
"수요일",09시~10시,10,0.37,3.3,369,"3,685",0,0
"수요일",10시~11시,10,0.3,3.1,532,"5,324",1,"60,000"
"수요일",11시~12시,10,0.3,2.8,479,"4,785",0,0
