"요일별보고서(2024.12.01.~2024.12.31.),soulham"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,1.63,4.4,"1,177","2,354",0,0
"월요일",01시~02시,3,1.02,4.1,"1,390","4,169",0,0
"월요일",02시~03시,2,1.51,3.5,"1,199","2,398",0,0
"월요일",03시~04시,1,1.64,6.1,"1,298","1,298",0,0
"월요일",04시~05시,1,1.27,3.9,"1,474","1,474",0,0
"월요일",05시~06시,1,1.04,3.7,869,869,0,0
"월요일",06시~07시,3,1.06,4.4,"1,100","3,300",0,0
"월요일",07시~08시,2,0.6,5.2,"1,419","2,838",0,0
"월요일",08시~09시,4,0.92,4.1,"1,389","5,555",1,"390,000"
"월요일",09시~10시,4,0.77,4.4,"1,282","5,126",0,0
"월요일",10시~11시,12,1.59,4.7,"1,121","13,453",0,0
"월요일",11시~12시,5,0.99,4.5,"1,267","6,336",0,0
"월요일",12시~13시,11,1.7,4.1,"1,194","13,134",1,"390,000"
"월요일",13시~14시,8,1.3,3.4,"1,258","10,065",0,0
"월요일",14시~15시,10,0.88,4.7,"1,025","10,252",0,0
"월요일",15시~16시,6,0.59,5,"1,283","7,700",0,0
"월요일",16시~17시,5,0.91,4.1,"1,302","6,512",0,0
"월요일",17시~18시,10,1.23,5.1,"1,217","12,166",0,0
"월요일",18시~19시,5,0.85,4.4,"1,137","5,687",0,0
"월요일",19시~20시,6,0.7,4.1,"1,162","6,974",1,"650,000"
"월요일",20시~21시,7,1.26,4.3,"1,224","8,569",0,0
"월요일",21시~22시,3,0.58,4,"1,177","3,531",0,0
"월요일",22시~23시,2,0.8,4,644,"1,287",0,0
"월요일",23시~00시,5,1.63,3.7,"1,124","5,621",0,0
"화요일",00시~01시,1,0.64,4.7,759,759,0,0
"화요일",01시~02시,2,0.82,4.8,"1,144","2,288",0,0
"화요일",02시~03시,4,2.37,4.2,"1,034","4,136",0,0
"화요일",03시~04시,1,0.92,5.9,"1,287","1,287",0,0
"화요일",04시~05시,0,0,3.1,0,0,0,0
"화요일",05시~06시,0,0,4.1,0,0,0,0
"화요일",06시~07시,2,0.99,4.1,"1,331","2,662",0,0
"화요일",07시~08시,10,2.95,4.3,"1,060","10,604",0,0
"화요일",08시~09시,3,0.67,3.7,"1,375","4,125",0,0
"화요일",09시~10시,7,1.19,4.2,"1,251","8,756",0,0
"화요일",10시~11시,11,1.42,3.8,"1,346","14,806",0,0
"화요일",11시~12시,14,1.79,3.5,"1,329","18,601",0,0
"화요일",12시~13시,10,1.15,4.4,985,"9,845",0,0
"화요일",13시~14시,10,1.06,4.4,986,"9,856",0,0
"화요일",14시~15시,6,0.86,4,"1,289","7,733",0,0
"화요일",15시~16시,7,1.36,3.4,"1,076","7,535",0,0
"화요일",16시~17시,5,1.09,4,"1,190","5,951",0,0
"화요일",17시~18시,8,2.06,4.2,964,"7,711",0,0
"화요일",18시~19시,1,0.28,4.6,693,693,0,0
"화요일",19시~20시,3,0.81,4.6,887,"2,662",0,0
"화요일",20시~21시,3,0.4,4.8,818,"2,453",0,0
"화요일",21시~22시,5,0.64,4.9,"1,243","6,215",0,0
"화요일",22시~23시,4,0.93,4.7,908,"3,630",0,0
"화요일",23시~00시,4,1.31,5.5,"1,152","4,609",0,0
"수요일",00시~01시,2,1.39,3.8,"1,276","2,552",0,0
"수요일",01시~02시,1,0.38,4.6,"1,298","1,298",0,0
"수요일",02시~03시,1,0.55,4.6,"1,342","1,342",0,0
"수요일",03시~04시,1,0.66,5.2,935,935,0,0
"수요일",04시~05시,0,0,5.5,0,0,0,0
"수요일",05시~06시,1,0.36,5.3,308,308,0,0
"수요일",06시~07시,2,0.63,5.1,748,"1,496",0,0
"수요일",07시~08시,1,0.31,4.9,"1,320","1,320",0,0
"수요일",08시~09시,5,1.69,4.7,"1,362","6,809",0,0
"수요일",09시~10시,6,1.11,3.8,"1,267","7,601",1,"390,000"
"수요일",10시~11시,9,1.53,3.7,"1,305","11,748",0,0
"수요일",11시~12시,4,0.82,4.3,"1,312","5,247",0,0
"수요일",12시~13시,5,0.97,4,"1,195","5,973",0,0
"수요일",13시~14시,9,1.35,4.2,"1,236","11,121",0,0
"수요일",14시~15시,7,1.06,3.7,"1,070","7,491",0,0
"수요일",15시~16시,6,0.97,3.5,"1,287","7,722",0,0
