"일별보고서(2024.10.28.~2024.12.31.),5g95g9"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.11.01.,PC,"6,768",20,0.3,177,"3,531",0,0
2024.11.01.,모바일,"7,362",41,0.56,184,"7,546",0,0
2024.11.02.,PC,"4,735",17,0.36,150,"2,552",0,0
2024.11.02.,모바일,"7,881",33,0.42,229,"7,568",0,0
2024.11.03.,PC,"4,939",7,0.15,198,"1,386",0,0
2024.11.03.,모바일,"9,365",38,0.41,242,"9,185",0,0
2024.11.04.,PC,"8,161",23,0.29,198,"4,543",0,0
2024.11.04.,모바일,"9,375",37,0.4,191,"7,084",0,0
2024.11.05.,PC,"8,019",25,0.32,223,"5,577",0,0
2024.11.05.,모바일,"8,550",26,0.31,231,"6,017",0,0
2024.11.06.,PC,"7,350",25,0.35,150,"3,762",0,0
2024.11.06.,모바일,"8,130",34,0.42,239,"8,140",0,0
2024.11.07.,PC,"7,098",28,0.4,157,"4,400",0,0
2024.11.07.,모바일,"8,381",37,0.45,173,"6,413",0,0
2024.11.08.,PC,"6,102",31,0.51,175,"5,412",0,0
2024.11.08.,모바일,"7,973",43,0.54,186,"7,997",0,0
2024.11.09.,PC,"4,952",12,0.25,161,"1,936",0,0
2024.11.09.,모바일,"8,383",41,0.49,214,"8,778",0,0
2024.11.10.,PC,"5,488",9,0.17,198,"1,782",0,0
2024.11.10.,모바일,"9,570",25,0.27,201,"5,027",0,0
2024.11.11.,PC,"8,223",17,0.21,162,"2,750",0,0
2024.11.11.,모바일,"8,932",38,0.43,192,"7,304",0,0
2024.11.12.,PC,"8,332",34,0.41,194,"6,600",0,0
2024.11.12.,모바일,"8,169",33,0.41,187,"6,160",0,0
2024.11.13.,PC,"8,778",44,0.51,156,"6,853",0,0
2024.11.13.,모바일,"8,469",38,0.45,203,"7,711",0,0
2024.11.14.,PC,"8,233",22,0.27,199,"4,367",0,0
2024.11.14.,모바일,"7,835",32,0.41,239,"7,634",0,0
2024.11.15.,PC,"7,147",23,0.33,188,"4,334",0,0
2024.11.15.,모바일,"6,130",29,0.48,159,"4,620",0,0
2024.11.16.,PC,"4,177",14,0.34,163,"2,288",0,0
2024.11.16.,모바일,"5,771",32,0.56,246,"7,865",0,0
