"일별보고서(2024.10.28.~2024.12.31.),aldoalwls:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"7,704",50,0.65,310,"15,510",0,0
2024.10.28.,모바일,"30,969",197,0.64,278,"54,769",0,0
2024.10.29.,PC,"2,907",32,1.11,320,"10,230",0,0
2024.10.29.,모바일,"19,465",149,0.77,291,"43,406",1,"1,400,000"
2024.10.30.,PC,"1,846",22,1.2,243,"5,335",0,0
2024.10.30.,모바일,"12,189",77,0.64,332,"25,597",1,"1,250,000"
2024.10.31.,PC,"3,324",14,0.43,347,"4,862",0,0
2024.10.31.,모바일,"15,298",100,0.66,325,"32,516",1,"1,050,000"
2024.11.01.,PC,"3,984",25,0.63,337,"8,426",0,0
2024.11.01.,모바일,"15,353",108,0.71,310,"33,440",0,0
2024.11.02.,PC,"1,741",11,0.64,333,"3,663",0,0
2024.11.02.,모바일,"21,251",123,0.58,283,"34,760",0,0
2024.11.03.,PC,929,5,0.54,293,"1,463",0,0
2024.11.03.,모바일,"14,566",82,0.57,321,"26,356",0,0
2024.11.04.,PC,"4,937",23,0.47,275,"6,314",1,"1,449,000"
2024.11.04.,모바일,"19,874",105,0.53,292,"30,613",0,0
2024.11.05.,PC,"3,800",24,0.64,363,"8,712",0,0
2024.11.05.,모바일,"18,709",124,0.67,284,"35,222",0,0
2024.11.06.,PC,"3,964",16,0.41,318,"5,093",0,0
2024.11.06.,모바일,"22,088",130,0.59,296,"38,489",1,"1,349,000"
2024.11.07.,PC,"1,884",18,0.96,419,"7,535",0,0
2024.11.07.,모바일,"17,515",84,0.48,268,"22,484",0,0
2024.11.08.,PC,"1,843",10,0.55,421,"4,213",0,0
2024.11.08.,모바일,"18,811",74,0.4,310,"22,957",0,0
2024.11.09.,PC,"1,142",9,0.79,373,"3,355",0,0
2024.11.09.,모바일,"15,618",87,0.56,264,"23,001",0,0
2024.11.10.,PC,"1,042",17,1.64,327,"5,566",0,0
2024.11.10.,모바일,"17,351",94,0.55,256,"24,057",0,0
2024.11.11.,PC,"4,058",25,0.62,366,"9,141",1,"1,199,000"
2024.11.11.,모바일,"20,011",97,0.49,273,"26,477",0,0
2024.11.12.,PC,"2,527",11,0.44,163,"1,793",0,0
2024.11.12.,모바일,"15,728",107,0.69,267,"28,545",0,0
2024.11.13.,PC,"3,301",18,0.55,303,"5,445",0,0
2024.11.13.,모바일,"16,948",118,0.7,233,"27,467",1,"1,350,000"
2024.11.14.,PC,"2,459",18,0.74,273,"4,906",0,0
2024.11.14.,모바일,"15,737",83,0.53,210,"17,391",0,0
2024.11.15.,PC,"2,264",11,0.49,137,"1,507",0,0
2024.11.15.,모바일,"13,314",83,0.63,284,"23,551",0,0
2024.11.16.,PC,"1,026",5,0.49,244,"1,221",0,0
2024.11.16.,모바일,"16,576",104,0.63,203,"21,120",0,0
2024.11.17.,PC,"1,519",11,0.73,225,"2,475",0,0
2024.11.17.,모바일,"17,905",132,0.74,239,"31,493",0,0
2024.11.18.,PC,"3,135",23,0.74,295,"6,776",0,0
2024.11.18.,모바일,"18,437",127,0.69,232,"29,414",0,0
2024.11.19.,PC,"2,534",20,0.79,292,"5,830",0,0
2024.11.19.,모바일,"18,103",115,0.64,254,"29,183",0,0
