"일별보고서(2024.10.28.~2024.12.31.),chungsu1204:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"12,035",25,0.21,605,"15,114",2,"51,000"
2024.10.28.,모바일,"17,169",161,0.94,605,"97,350",9,"266,410"
2024.10.29.,PC,"13,623",32,0.24,643,"20,581",3,"58,500"
2024.10.29.,모바일,"18,370",195,1.07,582,"113,432",15,"287,620"
2024.10.30.,PC,"5,450",9,0.17,507,"4,565",1,"20,800"
2024.10.30.,모바일,"7,391",83,1.13,580,"48,103",7,"116,260"
2024.10.31.,PC,"10,690",30,0.29,556,"16,665",2,"69,850"
2024.10.31.,모바일,"15,472",156,1.01,546,"85,228",7,"267,440"
2024.11.01.,PC,"9,776",28,0.29,493,"13,816",2,"43,500"
2024.11.01.,모바일,"16,437",146,0.89,624,"91,058",10,"233,330"
2024.11.02.,PC,"4,495",14,0.32,736,"10,307",0,0
2024.11.02.,모바일,"24,439",230,0.95,734,"168,707",20,"396,000"
2024.11.03.,PC,"4,741",19,0.41,509,"9,669",3,"105,800"
2024.11.03.,모바일,"22,627",230,1.02,664,"152,724",15,"324,960"
2024.11.04.,PC,"12,156",29,0.24,552,"15,994",1,"16,900"
2024.11.04.,모바일,"22,133",184,0.84,633,"116,380",9,"147,660"
2024.11.05.,PC,"12,285",31,0.26,629,"19,492",2,"30,500"
2024.11.05.,모바일,"26,038",197,0.76,622,"122,529",14,"298,430"
2024.11.06.,PC,"11,017",28,0.26,608,"17,017",3,"44,500"
2024.11.06.,모바일,"20,030",157,0.79,595,"93,423",10,"237,320"
2024.11.07.,PC,"10,720",31,0.29,748,"23,199",2,"45,100"
2024.11.07.,모바일,"19,623",127,0.65,671,"85,206",9,"133,210"
2024.11.08.,PC,"9,270",25,0.27,452,"11,297",1,"12,900"
2024.11.08.,모바일,"17,629",171,0.97,634,"108,416",13,"237,800"
2024.11.09.,PC,"3,871",12,0.31,595,"7,139",1,"18,900"
2024.11.09.,모바일,"19,851",159,0.81,605,"96,118",9,"205,160"
2024.11.10.,PC,"4,514",9,0.2,508,"4,576",0,0
2024.11.10.,모바일,"22,567",208,0.93,600,"124,762",9,"190,730"
2024.11.11.,PC,"11,881",29,0.25,652,"18,898",3,"85,100"
2024.11.11.,모바일,"20,549",162,0.79,638,"103,334",10,"309,240"
2024.11.12.,PC,"10,619",38,0.36,583,"22,154",1,"14,500"
2024.11.12.,모바일,"18,899",138,0.74,546,"75,306",10,"427,750"
2024.11.13.,PC,"10,276",26,0.26,679,"17,644",2,"74,720"
2024.11.13.,모바일,"20,028",156,0.78,661,"103,125",14,"315,140"
2024.11.14.,PC,"11,777",26,0.23,739,"19,206",2,"40,400"
2024.11.14.,모바일,"19,864",146,0.74,640,"93,456",13,"266,580"
2024.11.15.,PC,"10,654",34,0.32,598,"20,339",2,"90,030"
2024.11.15.,모바일,"21,170",196,0.93,552,"108,262",11,"153,630"
2024.11.16.,PC,"4,757",13,0.28,688,"8,943",5,"144,150"
2024.11.16.,모바일,"23,555",203,0.87,668,"135,685",13,"197,270"
2024.11.17.,PC,"4,492",22,0.49,665,"14,630",4,"95,440"
2024.11.17.,모바일,"23,355",171,0.74,656,"112,222",16,"286,220"
2024.11.18.,PC,"11,426",35,0.31,707,"24,728",5,"113,490"
2024.11.18.,모바일,"19,934",217,1.09,602,"130,614",17,"248,240"
2024.11.19.,PC,"9,834",27,0.28,627,"16,918",2,"36,520"
2024.11.19.,모바일,"19,155",189,0.99,583,"110,253",11,"303,630"
2024.11.20.,PC,"8,602",25,0.3,698,"17,446",4,"70,530"
2024.11.20.,모바일,"18,384",167,0.91,708,"118,173",10,"262,040"
2024.11.21.,PC,"8,419",30,0.36,507,"15,224",2,"84,830"
2024.11.21.,모바일,"21,649",169,0.79,636,"107,470",14,"236,780"
2024.11.22.,PC,"6,636",24,0.37,477,"11,451",1,"18,500"
2024.11.22.,모바일,"16,324",154,0.95,586,"90,189",12,"288,990"
2024.11.23.,PC,"3,326",14,0.43,571,"7,997",0,0
2024.11.23.,모바일,"15,335",158,1.04,640,"101,156",11,"410,360"
2024.11.24.,PC,"3,362",13,0.39,712,"9,251",0,0
2024.11.24.,모바일,"18,972",174,0.92,684,"118,954",11,"168,280"
2024.11.25.,PC,"7,273",26,0.36,695,"18,073",2,"32,800"
2024.11.25.,모바일,"15,581",142,0.92,637,"90,387",9,"172,920"
2024.11.26.,PC,"7,153",20,0.28,426,"8,525",1,"17,400"
2024.11.26.,모바일,"14,417",183,1.27,705,"129,085",20,"374,920"
2024.11.27.,PC,"6,132",26,0.43,582,"15,136",15,"85,020"
2024.11.27.,모바일,"13,849",152,1.1,600,"91,245",6,"259,600"
2024.11.28.,PC,"6,216",22,0.36,647,"14,234",1,"12,500"
2024.11.28.,모바일,"12,854",107,0.84,698,"74,635",3,"59,350"
2024.11.29.,PC,"6,639",22,0.34,465,"10,230",2,"67,400"
2024.11.29.,모바일,"11,613",119,1.03,584,"69,520",9,"221,130"
2024.11.30.,PC,"3,523",10,0.29,947,"9,471",2,"52,870"
2024.11.30.,모바일,"13,499",143,1.06,665,"95,128",12,"159,420"
2024.12.01.,PC,"3,333",14,0.43,650,"9,097",0,0
2024.12.01.,모바일,"15,477",154,1,626,"96,437",15,"254,000"
2024.12.02.,PC,"8,242",25,0.31,620,"15,510",0,0
2024.12.02.,모바일,"13,639",143,1.05,573,"81,939",8,"175,740"
2024.12.03.,PC,"7,965",26,0.33,594,"15,455",0,0
2024.12.03.,모바일,"17,183",139,0.81,636,"88,440",14,"454,100"
2024.12.04.,PC,"6,114",14,0.23,546,"7,645",0,0
2024.12.04.,모바일,"13,755",78,0.57,542,"42,251",8,"141,820"
2024.12.05.,PC,"6,072",12,0.2,692,"8,305",0,0
2024.12.05.,모바일,"11,684",122,1.05,609,"74,327",10,"229,990"
2024.12.06.,PC,"5,770",15,0.26,765,"11,473",2,"70,700"
2024.12.06.,모바일,"14,180",178,1.26,689,"122,694",9,"208,240"
2024.12.07.,PC,"2,620",12,0.46,847,"10,164",0,0
2024.12.07.,모바일,"12,596",139,1.11,609,"84,711",3,"47,930"
2024.12.08.,PC,"2,780",10,0.36,497,"4,972",3,"395,120"
2024.12.08.,모바일,"14,027",130,0.93,697,"90,607",7,"258,730"
2024.12.09.,PC,"7,003",22,0.32,893,"19,635",3,"52,900"
2024.12.09.,모바일,"16,941",204,1.21,795,"162,118",14,"297,600"
2024.12.10.,PC,"6,928",20,0.29,691,"13,816",0,0
2024.12.10.,모바일,"13,203",123,0.94,605,"74,437",6,"183,730"
2024.12.11.,PC,"6,622",18,0.28,600,"10,791",2,"29,400"
2024.12.11.,모바일,"15,447",100,0.65,611,"61,050",7,"221,080"
2024.12.12.,PC,"6,376",14,0.22,598,"8,371",1,"19,900"
2024.12.12.,모바일,"16,357",114,0.7,559,"63,778",12,"222,970"
2024.12.13.,PC,"5,792",19,0.33,637,"12,111",0,0
2024.12.13.,모바일,"16,093",125,0.78,670,"83,710",3,"45,140"
2024.12.14.,PC,"2,786",7,0.26,522,"3,652",2,"45,400"
2024.12.14.,모바일,"20,500",184,0.9,736,"135,399",11,"229,220"
2024.12.15.,PC,"2,784",19,0.69,441,"8,382",3,"84,430"
2024.12.15.,모바일,"18,871",170,0.91,745,"126,676",14,"380,280"
2024.12.16.,PC,"6,762",20,0.3,752,"15,037",3,"50,350"
2024.12.16.,모바일,"16,179",124,0.77,617,"76,505",9,"188,200"
2024.12.17.,PC,"6,570",27,0.42,566,"15,279",6,"53,200"
2024.12.17.,모바일,"16,658",177,1.07,649,"114,928",17,"320,580"
2024.12.18.,PC,"6,984",30,0.43,699,"20,977",6,"138,240"
2024.12.18.,모바일,"14,930",129,0.87,658,"84,898",15,"424,400"
2024.12.19.,PC,"6,411",19,0.3,"1,020","19,371",3,"135,400"
2024.12.19.,모바일,"12,461",113,0.91,673,"76,032",11,"272,110"
2024.12.20.,PC,"5,708",11,0.2,528,"5,808",1,"15,400"
2024.12.20.,모바일,"10,710",97,0.91,562,"54,516",2,"42,400"
2024.12.21.,PC,"2,751",15,0.55,524,"7,854",2,"47,930"
2024.12.21.,모바일,"11,450",131,1.15,745,"97,625",12,"294,790"
2024.12.22.,PC,"2,478",12,0.49,607,"7,282",0,0
2024.12.22.,모바일,"12,588",144,1.15,658,"94,688",12,"515,150"
2024.12.23.,PC,"6,845",19,0.28,582,"11,055",1,"9,900"
2024.12.23.,모바일,"12,554",113,0.91,517,"58,465",9,"195,860"
2024.12.24.,PC,"5,367",19,0.36,951,"18,073",3,"79,700"
2024.12.24.,모바일,"12,037",97,0.81,564,"54,681",9,"200,260"
2024.12.25.,PC,"2,462",12,0.49,907,"10,879",2,"76,000"
2024.12.25.,모바일,"13,592",111,0.82,617,"68,519",8,"197,350"
2024.12.26.,PC,"6,512",16,0.25,527,"8,426",0,0
2024.12.26.,모바일,"14,111",124,0.88,640,"79,310",7,"110,640"
2024.12.27.,PC,"6,032",14,0.24,406,"5,687",0,0
2024.12.27.,모바일,"13,033",105,0.81,567,"59,488",13,"303,960"
2024.12.28.,PC,"2,546",13,0.52,480,"6,237",1,"12,500"
