"일별보고서(2024.10.28.~2024.12.31.),dawonena"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"1,555",10,0.65,375,"3,751",0,0
2024.10.28.,모바일,"31,189",47,0.16,407,"19,129",3,"781,000"
2024.10.29.,PC,"1,467",3,0.21,213,638,0,0
2024.10.29.,모바일,"31,123",42,0.14,329,"13,816",1,"249,000"
2024.10.30.,PC,"2,044",8,0.4,459,"3,674",0,0
2024.10.30.,모바일,"27,240",19,0.07,325,"6,182",0,0
2024.10.31.,PC,"2,959",6,0.21,442,"2,651",0,0
2024.10.31.,모바일,"26,461",33,0.13,347,"11,451",1,"37,000"
2024.11.01.,PC,"1,785",7,0.4,255,"1,782",0,0
2024.11.01.,모바일,"28,114",21,0.08,349,"7,326",0,0
2024.11.02.,PC,732,2,0.28,270,539,0,0
2024.11.02.,모바일,"29,705",29,0.1,345,"9,999",3,"551,000"
2024.11.03.,PC,"1,299",5,0.39,576,"2,882",1,"249,000"
2024.11.03.,모바일,"34,338",36,0.11,325,"11,704",0,0
2024.11.04.,PC,"4,242",9,0.22,511,"4,598",0,0
2024.11.04.,모바일,"28,166",27,0.1,378,"10,219",1,"248,000"
2024.11.05.,PC,"4,693",5,0.11,585,"2,926",0,0
2024.11.05.,모바일,"29,117",33,0.12,355,"11,726",1,"205,000"
2024.11.06.,PC,"2,745",6,0.22,334,"2,002",0,0
2024.11.06.,모바일,"28,581",36,0.13,331,"11,913",0,0
2024.11.07.,PC,"1,540",6,0.39,425,"2,552",1,"283,000"
2024.11.07.,모바일,"17,695",27,0.16,374,"10,087",1,"205,000"
2024.11.08.,PC,"4,471",8,0.18,393,"3,146",0,0
2024.11.08.,모바일,"11,965",24,0.21,326,"7,821",0,0
2024.11.09.,PC,812,1,0.13,363,363,0,0
2024.11.09.,모바일,"26,286",34,0.13,289,"9,823",0,0
2024.11.10.,PC,538,6,1.12,469,"2,816",0,0
2024.11.10.,모바일,"31,335",32,0.11,349,"11,165",0,0
2024.11.11.,PC,"1,132",7,0.62,372,"2,607",0,0
2024.11.11.,모바일,"8,895",21,0.24,299,"6,270",0,0
2024.11.12.,PC,"1,265",7,0.56,374,"2,618",0,0
2024.11.12.,모바일,"1,230",8,0.66,293,"2,343",1,"249,000"
2024.11.13.,PC,"1,300",5,0.39,343,"1,716",0,0
2024.11.13.,모바일,"1,231",11,0.9,347,"3,817",0,0
2024.11.14.,PC,"1,338",10,0.75,425,"4,246",1,"248,000"
2024.11.14.,모바일,"1,023",11,1.08,330,"3,630",0,0
2024.11.15.,PC,"1,277",5,0.4,253,"1,265",1,"206,000"
2024.11.15.,모바일,"1,141",11,0.97,298,"3,278",0,0
2024.11.16.,PC,398,2,0.51,380,759,0,0
2024.11.16.,모바일,"1,270",18,1.42,255,"4,598",0,0
2024.11.17.,PC,475,4,0.85,531,"2,123",0,0
2024.11.17.,모바일,"1,260",15,1.2,354,"5,313",1,"249,000"
2024.11.18.,PC,"1,497",5,0.34,389,"1,947",0,0
2024.11.18.,모바일,"1,248",6,0.49,396,"2,376",0,0
2024.11.19.,PC,"1,408",7,0.5,286,"2,002",0,0
2024.11.19.,모바일,"1,463",9,0.62,270,"2,431",0,0
2024.11.20.,PC,"1,326",5,0.38,350,"1,749",2,"566,000"
2024.11.20.,모바일,"1,718",16,0.94,448,"7,161",1,"240,000"
2024.11.21.,PC,"1,416",1,0.08,220,220,0,0
2024.11.21.,모바일,"1,407",10,0.72,364,"3,641",0,0
2024.11.22.,PC,910,4,0.44,473,"1,892",0,0
2024.11.22.,모바일,"1,321",8,0.61,419,"3,355",0,0
2024.11.23.,PC,381,2,0.53,429,858,0,0
2024.11.23.,모바일,"1,416",12,0.85,289,"3,465",0,0
2024.11.24.,PC,400,0,0,0,0,0,0
2024.11.24.,모바일,"1,664",19,1.15,369,"7,018",0,0
2024.11.25.,PC,"1,543",4,0.26,371,"1,485",1,"206,000"
2024.11.25.,모바일,"1,772",12,0.68,299,"3,586",1,"53,000"
2024.11.26.,PC,"1,104",3,0.28,264,792,0,0
2024.11.26.,모바일,"1,535",10,0.66,309,"3,091",1,"239,000"
2024.11.27.,PC,893,4,0.45,272,"1,089",0,0
2024.11.27.,모바일,"1,398",15,1.08,329,"4,928",1,"240,530"
2024.11.28.,PC,865,6,0.7,266,"1,595",1,"240,530"
2024.11.28.,모바일,"1,667",10,0.6,303,"3,025",0,0
2024.11.29.,PC,776,2,0.26,506,"1,012",0,0
2024.11.29.,모바일,"1,584",6,0.38,409,"2,453",0,0
2024.11.30.,PC,290,0,0,0,0,0,0
2024.11.30.,모바일,"1,956",9,0.47,471,"4,235",0,0
2024.12.01.,PC,307,2,0.66,303,605,0,0
2024.12.01.,모바일,"2,279",10,0.44,536,"5,357",0,0
2024.12.02.,PC,"1,016",4,0.4,206,825,0,0
2024.12.02.,모바일,"1,860",6,0.33,380,"2,277",1,"249,000"
2024.12.03.,PC,886,2,0.23,567,"1,133",0,0
2024.12.03.,모바일,"2,782",11,0.4,396,"4,356",0,0
2024.12.04.,PC,749,3,0.41,396,"1,188",0,0
2024.12.04.,모바일,"2,404",6,0.25,515,"3,091",0,0
2024.12.05.,PC,827,2,0.25,468,935,0,0
2024.12.05.,모바일,"1,844",12,0.66,245,"2,937",0,0
2024.12.06.,PC,728,3,0.42,165,495,0,0
2024.12.06.,모바일,"1,642",13,0.8,406,"5,280",0,0
2024.12.07.,PC,376,1,0.27,77,77,0,0
2024.12.07.,모바일,"1,886",15,0.8,314,"4,708",0,0
2024.12.08.,PC,339,3,0.89,370,"1,111",0,0
2024.12.08.,모바일,"1,767",14,0.8,364,"5,093",1,"248,000"
