"일별보고서(2024.10.28.~2024.12.31.),edupeacenet"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.29.,PC,0,0,0,0,0,1,"43,000"
2024.10.30.,PC,"1,989",15,0.76,205,"3,069",0,0
2024.10.30.,모바일,"5,481",13,0.24,190,"2,475",1,"53,000"
2024.10.31.,PC,"1,988",12,0.61,201,"2,409",0,0
2024.10.31.,모바일,"7,344",16,0.22,335,"5,357",0,0
2024.11.01.,PC,"1,762",14,0.8,219,"3,069",0,0
2024.11.01.,모바일,"6,964",18,0.26,339,"6,105",0,0
2024.11.02.,PC,648,1,0.16,451,451,0,0
2024.11.02.,모바일,"3,868",32,0.83,274,"8,778",1,"15,000"
2024.11.03.,PC,923,1,0.11,"1,221","1,221",0,0
2024.11.03.,모바일,"4,498",18,0.41,408,"7,348",0,0
2024.11.04.,PC,"2,484",19,0.77,449,"8,536",0,0
2024.11.04.,모바일,"8,543",11,0.13,489,"5,379",0,0
2024.11.05.,PC,"2,498",22,0.89,231,"5,082",0,0
2024.11.05.,모바일,"8,210",28,0.35,335,"9,372",0,0
2024.11.06.,PC,"2,497",9,0.37,506,"4,554",0,0
2024.11.06.,모바일,"8,561",16,0.19,291,"4,653",0,0
2024.11.07.,PC,"2,186",10,0.46,334,"3,344",0,0
2024.11.07.,모바일,"8,275",19,0.23,368,"6,985",0,0
2024.11.08.,PC,"1,703",9,0.53,247,"2,222",0,0
2024.11.08.,모바일,"8,027",31,0.39,404,"12,518",0,0
2024.11.09.,PC,676,2,0.3,281,561,0,0
2024.11.09.,모바일,"4,545",34,0.75,335,"11,374",0,0
2024.11.10.,PC,802,1,0.13,132,132,0,0
2024.11.10.,모바일,"4,612",21,0.46,414,"8,690",0,0
2024.11.11.,PC,"2,414",14,0.58,230,"3,223",0,0
2024.11.11.,모바일,"7,360",23,0.32,318,"7,304",0,0
2024.11.12.,PC,"2,532",11,0.44,302,"3,322",0,0
2024.11.12.,모바일,"7,398",26,0.36,368,"9,570",0,0
2024.11.13.,PC,"1,984",15,0.76,329,"4,928",0,0
2024.11.13.,모바일,"7,175",27,0.38,290,"7,843",0,0
2024.11.14.,PC,"1,883",12,0.64,237,"2,838",0,0
2024.11.14.,모바일,"6,267",33,0.53,242,"7,997",0,0
2024.11.15.,PC,"1,630",9,0.56,183,"1,650",0,0
2024.11.15.,모바일,"5,775",10,0.18,183,"1,826",0,0
2024.11.16.,PC,646,2,0.31,946,"1,892",0,0
2024.11.16.,모바일,"4,651",20,0.44,315,"6,303",0,0
2024.11.17.,PC,802,3,0.38,235,704,0,0
2024.11.17.,모바일,"4,185",18,0.44,330,"5,940",0,0
2024.11.18.,PC,"2,431",16,0.66,300,"4,796",0,0
2024.11.18.,모바일,"6,298",22,0.35,297,"6,523",0,0
2024.11.19.,PC,"2,420",14,0.58,255,"3,564",0,0
2024.11.19.,모바일,"7,071",19,0.27,192,"3,641",0,0
2024.11.20.,PC,"2,289",14,0.62,198,"2,772",0,0
2024.11.20.,모바일,"8,390",24,0.29,197,"4,730",0,0
2024.11.21.,PC,"2,094",3,0.15,92,275,0,0
2024.11.21.,모바일,"6,086",22,0.37,343,"7,546",0,0
2024.11.22.,PC,"1,678",15,0.9,166,"2,486",0,0
2024.11.22.,모바일,"7,085",22,0.32,290,"6,380",0,0
2024.11.23.,PC,676,3,0.45,231,693,0,0
2024.11.23.,모바일,"5,400",15,0.28,378,"5,665",0,0
2024.11.24.,PC,965,3,0.32,92,275,0,0
2024.11.24.,모바일,"5,089",18,0.36,543,"9,768",0,0
2024.11.25.,PC,"2,173",11,0.51,352,"3,872",0,0
2024.11.25.,모바일,"6,754",24,0.36,471,"11,308",0,0
2024.11.26.,PC,"2,420",16,0.67,296,"4,741",0,0
2024.11.26.,모바일,"7,970",20,0.26,411,"8,228",0,0
2024.11.27.,PC,"1,984",12,0.61,222,"2,662",0,0
2024.11.27.,모바일,"7,578",20,0.27,344,"6,886",0,0
2024.11.28.,PC,"2,038",7,0.35,173,"1,210",0,0
2024.11.28.,모바일,"7,741",28,0.37,331,"9,262",1,"30,000"
2024.11.29.,PC,"1,807",8,0.45,487,"3,894",0,0
2024.11.29.,모바일,"8,050",32,0.4,431,"13,805",0,0
2024.11.30.,PC,788,5,0.64,77,385,0,0
