"일별보고서(2024.10.28.~2024.12.31.),eslighting"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,436,2,0.46,99,198,0,0
2024.10.28.,모바일,852,3,0.36,95,286,0,0
2024.10.29.,PC,407,1,0.25,407,407,0,0
2024.10.29.,모바일,659,6,0.92,165,990,0,0
2024.10.30.,PC,413,5,1.22,90,451,0,0
2024.10.30.,모바일,"1,002",5,0.5,229,"1,144",0,0
2024.10.31.,PC,425,3,0.71,77,231,0,0
2024.10.31.,모바일,724,5,0.7,268,"1,342",0,0
2024.11.01.,PC,432,4,0.93,83,330,0,0
2024.11.01.,모바일,781,4,0.52,146,583,0,0
2024.11.02.,PC,208,0,0,0,0,0,0
2024.11.02.,모바일,"1,045",4,0.39,162,649,0,0
2024.11.03.,PC,191,0,0,0,0,0,0
2024.11.03.,모바일,935,2,0.22,72,143,0,0
2024.11.04.,PC,446,2,0.45,77,154,0,0
2024.11.04.,모바일,973,2,0.21,55,110,0,0
2024.11.05.,PC,467,0,0,0,0,0,0
2024.11.05.,모바일,"1,166",4,0.35,96,385,0,0
2024.11.06.,PC,522,2,0.39,88,176,0,0
2024.11.06.,모바일,769,3,0.4,73,220,1,"8,000"
2024.11.07.,PC,491,2,0.41,77,154,0,0
2024.11.07.,모바일,766,0,0,0,0,0,0
2024.11.08.,PC,457,4,0.88,204,814,0,0
2024.11.08.,모바일,"1,159",1,0.09,77,77,0,0
2024.11.09.,PC,185,1,0.55,77,77,0,0
2024.11.09.,모바일,972,0,0,0,0,0,0
2024.11.10.,PC,215,2,0.94,132,264,0,0
2024.11.10.,모바일,"1,240",2,0.17,242,484,0,0
2024.11.11.,PC,460,2,0.44,77,154,0,0
2024.11.11.,모바일,"1,757",3,0.18,253,759,0,0
2024.11.12.,PC,500,3,0.6,132,396,0,0
2024.11.12.,모바일,"1,352",1,0.08,121,121,0,0
2024.11.13.,PC,517,2,0.39,99,198,0,0
2024.11.13.,모바일,"1,219",5,0.42,180,902,0,0
2024.11.14.,PC,511,2,0.4,248,495,0,0
2024.11.14.,모바일,"1,964",4,0.21,173,693,1,"11,000"
2024.11.15.,PC,340,3,0.89,154,462,0,0
2024.11.15.,모바일,"1,553",3,0.2,84,253,0,0
2024.11.16.,PC,177,0,0,0,0,0,0
2024.11.16.,모바일,"2,155",3,0.14,414,"1,243",0,0
2024.11.17.,PC,180,2,1.12,88,176,0,0
2024.11.17.,모바일,"1,689",2,0.12,220,440,0,0
2024.11.18.,PC,479,4,0.84,151,605,0,0
2024.11.18.,모바일,"1,375",2,0.15,270,539,1,"15,600"
2024.11.19.,PC,442,1,0.23,110,110,0,0
2024.11.19.,모바일,"1,503",2,0.14,275,550,0,0
2024.11.20.,PC,439,5,1.14,77,385,0,0
2024.11.20.,모바일,"1,265",3,0.24,165,495,0,0
2024.11.21.,PC,331,2,0.61,655,"1,309",0,0
2024.11.21.,모바일,"1,646",2,0.13,248,495,0,0
2024.11.22.,PC,312,4,1.29,201,803,0,0
2024.11.22.,모바일,"1,094",4,0.37,201,803,0,0
2024.11.23.,PC,195,1,0.52,77,77,0,0
2024.11.23.,모바일,"1,337",2,0.15,220,440,0,0
2024.11.24.,PC,170,1,0.59,88,88,0,0
2024.11.24.,모바일,"1,297",3,0.24,73,220,0,0
2024.11.25.,PC,363,1,0.28,77,77,0,0
2024.11.25.,모바일,"1,110",5,0.46,174,869,0,0
2024.11.26.,PC,396,2,0.51,77,154,0,0
2024.11.26.,모바일,"1,080",0,0,0,0,0,0
