"일별보고서(2024.10.28.~2024.12.31.),hanarack1095"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"3,311",39,1.18,"1,911","74,536",1,10
2024.10.28.,모바일,"579,981",239,0.05,"1,445","345,279",3,0
2024.10.29.,PC,"3,287",28,0.86,"1,645","46,057",3,"405,200"
2024.10.29.,모바일,"818,950",216,0.03,"1,636","353,309",1,100
2024.10.30.,PC,"2,846",31,1.09,"1,898","58,850",2,"210,800"
2024.10.30.,모바일,"618,374",183,0.03,"1,772","324,313",1,"303,000"
2024.10.31.,PC,"3,032",21,0.7,"1,712","35,948",2,0
2024.10.31.,모바일,"756,581",222,0.03,"1,579","350,592",1,0
2024.11.01.,PC,"2,467",28,1.14,"1,679","47,014",0,0
2024.11.01.,모바일,"912,567",205,0.03,"1,696","347,688",1,"432,300"
2024.11.02.,PC,"2,055",15,0.73,"2,618","39,270",0,0
2024.11.02.,모바일,"933,905",219,0.03,"1,651","361,482",0,0
2024.11.03.,PC,600,2,0.34,"2,987","5,973",0,0
2024.11.03.,모바일,"120,313",78,0.07,955,"74,481",0,0
2024.11.04.,PC,"3,081",34,1.11,"1,872","63,657",3,"695,300"
2024.11.04.,모바일,"882,542",211,0.03,"1,540","325,006",1,0
2024.11.05.,PC,"3,501",48,1.38,"1,772","85,063",10,0
2024.11.05.,모바일,"1,066,557",211,0.02,"1,592","335,808",0,0
2024.11.06.,PC,"3,275",41,1.26,"1,733","71,071",3,"277,400"
2024.11.06.,모바일,"1,072,101",190,0.02,"1,699","322,762",0,0
2024.11.07.,PC,"2,780",30,1.08,"2,348","70,433",7,"1,550,600"
2024.11.07.,모바일,"978,724",201,0.03,"1,785","358,754",0,0
2024.11.08.,PC,"2,677",23,0.86,"1,981","45,573",1,"46,530"
2024.11.08.,모바일,"899,899",216,0.03,"1,616","349,107",2,"118,900"
2024.11.09.,PC,"2,076",14,0.68,"2,011","28,149",0,0
2024.11.09.,모바일,"962,004",218,0.03,"1,701","370,810",0,0
2024.11.10.,PC,403,2,0.5,"1,557","3,113",0,0
2024.11.10.,모바일,"104,118",72,0.07,817,"58,839",1,"118,800"
2024.11.11.,PC,"3,359",34,1.02,"1,656","56,298",4,200
