"일별보고서(2024.10.28.~2024.12.31.),handdshd:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,227,2,0.89,231,462,0,0
2024.10.28.,모바일,330,4,1.22,129,517,0,0
2024.10.29.,PC,247,4,1.62,138,550,0,0
2024.10.29.,모바일,302,2,0.67,116,231,0,0
2024.10.30.,PC,209,2,0.96,132,264,0,0
2024.10.30.,모바일,289,3,1.04,158,473,0,0
2024.10.31.,PC,183,5,2.74,103,517,0,0
2024.10.31.,모바일,197,1,0.51,176,176,0,0
2024.11.01.,PC,152,3,1.98,271,814,0,0
2024.11.01.,모바일,243,4,1.65,176,704,0,0
2024.11.02.,PC,70,1,1.43,275,275,0,0
2024.11.02.,모바일,278,3,1.08,209,627,0,0
2024.11.03.,PC,87,2,2.3,165,330,0,0
2024.11.03.,모바일,283,3,1.07,202,605,0,0
2024.11.04.,PC,170,3,1.77,114,341,0,0
2024.11.04.,모바일,256,1,0.4,275,275,0,0
2024.11.05.,PC,164,3,1.83,106,319,0,0
2024.11.05.,모바일,324,5,1.55,242,"1,210",0,0
2024.11.06.,PC,154,3,1.95,139,418,0,0
2024.11.06.,모바일,252,2,0.8,127,253,0,0
2024.11.07.,PC,191,3,1.58,128,385,0,0
2024.11.07.,모바일,213,4,1.88,248,990,0,0
2024.11.08.,PC,134,6,4.48,121,726,0,0
2024.11.08.,모바일,156,1,0.65,154,154,0,0
2024.11.09.,PC,88,2,2.28,77,154,0,0
2024.11.09.,모바일,323,4,1.24,201,803,0,0
2024.11.10.,PC,63,0,0,0,0,0,0
2024.11.10.,모바일,359,4,1.12,195,781,0,0
2024.11.11.,PC,118,3,2.55,172,517,0,0
2024.11.11.,모바일,238,6,2.53,169,"1,012",0,0
2024.11.12.,PC,204,1,0.5,165,165,0,0
2024.11.12.,모바일,200,2,1,198,396,1,"20,000"
2024.11.13.,PC,205,2,0.98,116,231,0,0
2024.11.13.,모바일,232,5,2.16,156,781,0,0
2024.11.14.,PC,210,5,2.39,119,594,0,0
2024.11.14.,모바일,358,5,1.4,266,"1,331",1,"40,000"
2024.11.15.,PC,163,2,1.23,160,319,0,0
2024.11.15.,모바일,201,1,0.5,88,88,0,0
2024.11.16.,PC,157,2,1.28,215,429,0,0
2024.11.16.,모바일,268,2,0.75,275,550,0,0
2024.11.17.,PC,99,3,3.04,264,792,0,0
2024.11.17.,모바일,330,4,1.22,193,770,1,"40,000"
2024.11.18.,PC,300,2,0.67,121,242,0,0
2024.11.18.,모바일,265,5,1.89,167,836,0,0
2024.11.19.,PC,239,2,0.84,215,429,0,0
2024.11.19.,모바일,285,5,1.76,145,726,0,0
2024.11.20.,PC,187,4,2.14,77,308,0,0
2024.11.20.,모바일,209,1,0.48,176,176,0,0
2024.11.21.,PC,230,1,0.44,77,77,0,0
2024.11.21.,모바일,176,0,0,0,0,0,0
2024.11.22.,PC,221,4,1.81,135,539,0,0
2024.11.22.,모바일,211,1,0.48,275,275,0,0
2024.11.23.,PC,136,2,1.48,176,352,0,0
2024.11.23.,모바일,312,1,0.33,275,275,0,0
2024.11.24.,PC,90,0,0,0,0,0,0
2024.11.24.,모바일,339,6,1.77,209,"1,254",0,0
2024.11.25.,PC,300,1,0.34,275,275,0,0
2024.11.25.,모바일,392,6,1.54,183,"1,100",0,0
2024.11.26.,PC,265,0,0,0,0,0,0
2024.11.26.,모바일,328,4,1.22,168,671,0,0
2024.11.27.,PC,244,5,2.05,110,550,0,0
2024.11.27.,모바일,289,3,1.04,147,440,0,0
2024.11.28.,PC,266,4,1.51,140,561,0,0
2024.11.28.,모바일,304,14,4.61,131,"1,837",0,0
2024.11.29.,PC,235,7,2.98,134,935,0,0
2024.11.29.,모바일,321,16,4.99,163,"2,607",1,"250,000"
2024.11.30.,PC,133,2,1.51,143,286,0,0
2024.11.30.,모바일,256,7,2.74,108,759,0,0
2024.12.01.,PC,131,3,2.3,136,407,0,0
2024.12.01.,모바일,367,7,1.91,204,"1,430",0,0
2024.12.02.,PC,335,6,1.8,160,957,1,"43,000"
2024.12.02.,모바일,229,3,1.32,117,352,0,0
2024.12.03.,PC,252,4,1.59,149,594,0,0
2024.12.03.,모바일,235,4,1.71,116,462,0,0
2024.12.04.,PC,198,1,0.51,77,77,0,0
2024.12.04.,모바일,188,6,3.2,132,792,0,0
2024.12.05.,PC,216,7,3.25,124,869,0,0
2024.12.05.,모바일,242,7,2.9,157,"1,100",0,0
2024.12.06.,PC,191,3,1.58,99,297,0,0
2024.12.06.,모바일,194,1,0.52,154,154,0,0
2024.12.07.,PC,103,2,1.95,110,220,0,0
2024.12.07.,모바일,294,2,0.69,182,363,0,0
2024.12.08.,PC,109,2,1.84,182,363,0,0
2024.12.08.,모바일,363,8,2.21,157,"1,254",0,0
2024.12.09.,PC,223,3,1.35,194,583,0,0
2024.12.09.,모바일,363,1,0.28,154,154,0,0
2024.12.10.,PC,317,9,2.84,196,"1,760",0,0
2024.12.10.,모바일,426,5,1.18,180,902,0,0
2024.12.11.,PC,150,3,2,139,418,0,0
2024.12.11.,모바일,257,3,1.17,198,594,0,0
2024.12.12.,PC,210,3,1.43,84,253,0,0
2024.12.12.,모바일,267,2,0.75,149,297,0,0
2024.12.13.,PC,157,4,2.55,107,429,0,0
2024.12.13.,모바일,261,5,1.92,132,660,0,0
2024.12.14.,PC,84,1,1.2,165,165,0,0
2024.12.14.,모바일,352,4,1.14,209,836,0,0
2024.12.15.,PC,79,3,3.8,77,231,0,0
2024.12.15.,모바일,380,3,0.79,238,715,0,0
2024.12.16.,PC,199,2,1.01,77,154,0,0
