"일별보고서(2024.10.28.~2024.12.31.),kjss2106:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"1,761",6,0.35,759,"4,554",0,0
2024.10.28.,모바일,"3,284",5,0.16,"1,936","9,680",1,10
2024.10.29.,PC,"3,406",8,0.24,382,"3,058",0,0
2024.10.29.,모바일,"6,004",6,0.1,"1,652","9,911",0,0
2024.10.30.,PC,"3,249",16,0.5,"1,822","29,150",1,10
2024.10.30.,모바일,"5,127",8,0.16,672,"5,379",0,0
2024.10.31.,PC,"3,097",10,0.33,656,"6,556",0,0
2024.10.31.,모바일,"4,386",4,0.1,"2,093","8,371",0,0
2024.11.01.,PC,"2,699",10,0.38,"1,497","14,971",0,0
2024.11.01.,모바일,"5,689",13,0.23,"1,658","21,560",0,0
2024.11.02.,PC,"1,394",0,0,0,0,0,0
2024.11.02.,모바일,"5,496",10,0.19,"1,045","10,450",0,0
2024.11.03.,PC,"1,376",3,0.22,"2,086","6,259",0,0
2024.11.03.,모바일,"5,954",7,0.12,"3,151","22,055",0,0
2024.11.04.,PC,"2,691",13,0.49,"2,154","28,006",0,0
2024.11.04.,모바일,"4,195",10,0.24,"1,758","17,578",0,0
2024.11.05.,PC,"2,463",14,0.57,"1,610","22,539",0,0
2024.11.05.,모바일,"3,657",8,0.22,861,"6,886",0,0
2024.11.06.,PC,"2,279",13,0.58,"2,126","27,632",1,10
2024.11.06.,모바일,"2,653",10,0.38,"1,887","18,865",0,0
2024.11.07.,PC,"2,458",13,0.53,"1,307","16,995",0,0
2024.11.07.,모바일,"3,031",14,0.47,"1,204","16,852",0,0
2024.11.08.,PC,"2,287",15,0.66,"1,874","28,116",0,0
2024.11.08.,모바일,"2,235",8,0.36,"1,052","8,415",0,0
2024.11.09.,PC,928,2,0.22,"1,348","2,695",0,0
2024.11.09.,모바일,"1,792",8,0.45,"1,049","8,393",0,0
2024.11.10.,PC,813,4,0.5,"1,702","6,809",0,0
2024.11.10.,모바일,"1,887",8,0.43,"1,558","12,463",0,0
2024.11.11.,PC,"2,779",6,0.22,922,"5,533",0,0
2024.11.11.,모바일,"2,017",9,0.45,"1,930","17,369",0,0
2024.11.12.,PC,"3,436",13,0.38,"2,707","35,189",1,10
2024.11.12.,모바일,"1,914",7,0.37,"1,740","12,177",0,0
2024.11.13.,PC,"2,756",16,0.59,"1,073","17,171",0,0
2024.11.13.,모바일,"1,681",11,0.66,"2,934","32,274",0,0
2024.11.14.,PC,"3,704",14,0.38,"2,129","29,810",1,10
2024.11.14.,모바일,"3,020",12,0.4,"1,255","15,059",0,0
2024.11.15.,PC,"3,746",14,0.38,888,"12,430",0,0
2024.11.15.,모바일,"2,180",10,0.46,"1,484","14,839",0,0
2024.11.16.,PC,"1,520",6,0.4,"2,853","17,116",0,0
2024.11.16.,모바일,"2,341",4,0.18,501,"2,002",0,0
2024.11.17.,PC,"1,597",4,0.26,674,"2,695",0,0
2024.11.17.,모바일,"2,721",9,0.34,955,"8,591",0,0
2024.11.18.,PC,"4,503",16,0.36,"1,227","19,635",0,0
2024.11.18.,모바일,"2,401",7,0.3,"1,834","12,837",0,0
2024.11.19.,PC,"4,025",18,0.45,"1,450","26,092",0,0
2024.11.19.,모바일,"3,020",10,0.34,"2,089","20,889",0,0
2024.11.20.,PC,"3,301",17,0.52,"1,981","33,671",0,0
2024.11.20.,모바일,"1,819",7,0.39,"2,296","16,071",0,0
2024.11.21.,PC,"3,240",17,0.53,"1,521","25,850",0,0
2024.11.21.,모바일,"1,968",12,0.61,"2,153","25,839",0,0
2024.11.22.,PC,"3,592",16,0.45,"1,862","29,799",0,0
2024.11.22.,모바일,"2,185",16,0.74,"1,687","26,994",0,0
2024.11.23.,PC,978,5,0.52,"2,490","12,452",0,0
2024.11.23.,모바일,"2,042",5,0.25,"1,846","9,229",1,"297,000"
2024.11.24.,PC,853,2,0.24,699,"1,397",0,0
2024.11.24.,모바일,"2,320",3,0.13,"2,013","6,039",0,0
2024.11.25.,PC,"3,530",19,0.54,"1,570","29,821",1,10
2024.11.25.,모바일,"2,549",10,0.4,"1,800","17,996",0,0
2024.11.26.,PC,"2,565",11,0.43,"2,033","22,363",0,0
2024.11.26.,모바일,"2,994",13,0.44,"2,522","32,780",0,0
2024.11.27.,PC,"4,296",15,0.35,"1,579","23,683",0,0
2024.11.27.,모바일,"3,989",12,0.31,"1,542","18,502",0,0
2024.11.28.,PC,"4,774",15,0.32,"1,266","18,986",0,0
2024.11.28.,모바일,"3,352",8,0.24,"1,268","10,142",0,0
2024.11.29.,PC,"4,446",14,0.32,"1,233","17,259",0,0
2024.11.29.,모바일,"5,592",13,0.24,"2,719","35,343",0,0
2024.11.30.,PC,"1,127",3,0.27,"1,690","5,071",0,0
2024.11.30.,모바일,"11,211",11,0.1,"1,337","14,707",0,0
2024.12.01.,PC,"1,043",3,0.29,"1,932","5,797",0,0
2024.12.01.,모바일,"8,897",7,0.08,"2,442","17,094",0,0
2024.12.02.,PC,"4,939",18,0.37,673,"12,111",0,0
2024.12.02.,모바일,"10,606",21,0.2,"2,286","48,004",0,0
2024.12.03.,PC,"3,722",8,0.22,"1,141","9,130",1,10
2024.12.03.,모바일,"9,067",18,0.2,"2,553","45,947",0,0
2024.12.04.,PC,"3,631",13,0.36,"1,853","24,090",0,0
2024.12.04.,모바일,"6,847",15,0.22,"1,367","20,504",0,0
2024.12.05.,PC,"3,483",13,0.38,806,"10,483",0,0
2024.12.05.,모바일,"6,601",11,0.17,"2,572","28,292",0,0
2024.12.06.,PC,"2,781",16,0.58,"1,682","26,917",1,10
2024.12.06.,모바일,"7,520",8,0.11,"1,126","9,009",0,0
2024.12.07.,PC,948,5,0.53,"3,553","17,765",0,0
2024.12.07.,모바일,"9,418",9,0.1,"1,723","15,510",0,0
2024.12.08.,PC,"1,123",3,0.27,653,"1,958",0,0
2024.12.08.,모바일,"22,521",8,0.04,"2,086","16,687",0,0
2024.12.09.,PC,"3,331",12,0.37,"2,173","26,070",2,20
2024.12.09.,모바일,"20,560",12,0.06,"2,842","34,100",0,0
2024.12.10.,PC,"3,277",12,0.37,"1,684","20,207",0,0
2024.12.10.,모바일,"10,823",16,0.15,"2,348","37,565",0,0
2024.12.11.,PC,"3,291",14,0.43,"1,855","25,971",0,0
2024.12.11.,모바일,"4,542",10,0.23,"2,368","23,683",0,0
2024.12.12.,PC,"3,386",21,0.63,"1,139","23,914",0,0
2024.12.12.,모바일,"7,490",11,0.15,"1,261","13,871",0,0
2024.12.13.,PC,"3,287",8,0.25,"1,181","9,449",0,0
2024.12.13.,모바일,"31,949",24,0.08,"1,976","47,421",0,0
2024.12.14.,PC,"1,245",4,0.33,"2,296","9,185",0,0
2024.12.14.,모바일,"10,681",19,0.18,"1,799","34,177",0,0
2024.12.15.,PC,"1,342",6,0.45,"1,830","10,978",0,0
2024.12.15.,모바일,"26,792",12,0.05,"1,308","15,697",0,0
2024.12.16.,PC,"3,629",17,0.47,"1,082","18,392",1,10
2024.12.16.,모바일,"21,382",13,0.07,"1,976","25,685",0,0
2024.12.17.,PC,"3,735",6,0.17,"2,653","15,917",0,0
2024.12.17.,모바일,"32,401",19,0.06,"2,392","45,441",0,0
2024.12.18.,PC,"3,339",14,0.42,"1,535","21,483",0,0
2024.12.18.,모바일,"19,937",15,0.08,"1,541","23,122",0,0
2024.12.19.,PC,"3,110",13,0.42,"2,948","38,324",0,0
2024.12.19.,모바일,"5,543",8,0.15,"1,558","12,463",0,0
2024.12.20.,PC,"2,476",10,0.41,"1,002","10,021",0,0
2024.12.20.,모바일,"1,263",9,0.72,"1,704","15,334",0,0
2024.12.21.,PC,891,2,0.23,957,"1,914",0,0
2024.12.21.,모바일,959,10,1.05,"1,208","12,078",0,0
2024.12.22.,PC,740,2,0.28,"1,089","2,178",0,0
2024.12.22.,모바일,"1,019",4,0.4,487,"1,947",0,0
2024.12.23.,PC,"3,503",16,0.46,"1,451","23,210",0,0
2024.12.23.,모바일,"1,424",10,0.71,"1,646","16,456",0,0
2024.12.24.,PC,"2,685",16,0.6,"1,275","20,394",0,0
2024.12.24.,모바일,"1,442",6,0.42,"1,729","10,373",0,0
2024.12.25.,PC,"1,050",5,0.48,781,"3,905",0,0
2024.12.25.,모바일,"1,325",12,0.91,"1,315","15,774",0,0
2024.12.26.,PC,"2,689",10,0.38,828,"8,283",0,0
2024.12.26.,모바일,"1,484",16,1.08,"1,678","26,851",0,0
2024.12.27.,PC,"2,497",11,0.45,"2,132","23,452",1,10
2024.12.27.,모바일,"1,518",10,0.66,"2,658","26,576",0,0
2024.12.28.,PC,"1,004",4,0.4,"1,848","7,392",0,0
2024.12.28.,모바일,"1,094",6,0.55,"2,068","12,408",0,0
2024.12.29.,PC,801,0,0,0,0,0,0
2024.12.29.,모바일,"1,051",5,0.48,"1,135","5,676",0,0
2024.12.30.,PC,"2,423",13,0.54,"1,688","21,945",0,0
2024.12.30.,모바일,"1,476",12,0.82,"1,421","17,050",0,0
2024.12.31.,PC,"1,962",5,0.26,416,"2,079",0,0
2024.12.31.,모바일,"1,344",7,0.53,"1,608","11,253",0,0
