"일별보고서(2024.10.28.~2024.12.31.),missko_1983:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"1,859",16,0.87,130,"2,079",0,0
2024.10.28.,모바일,"148,553",255,0.18,162,"41,239",5,"2,553,000"
2024.10.29.,PC,"1,959",15,0.77,109,"1,639",2,"1,070,000"
2024.10.29.,모바일,"154,759",302,0.2,163,"49,181",1,"610,000"
2024.10.30.,PC,"2,096",9,0.43,128,"1,155",0,0
2024.10.30.,모바일,"196,821",295,0.15,173,"51,051",1,"618,000"
2024.10.31.,PC,"1,338",11,0.83,137,"1,507",0,0
2024.10.31.,모바일,"136,773",253,0.19,163,"41,151",0,0
2024.11.01.,PC,"1,393",10,0.72,108,"1,078",0,0
2024.11.01.,모바일,"144,359",217,0.16,166,"36,102",2,"1,176,000"
2024.11.02.,PC,937,12,1.29,127,"1,529",0,0
2024.11.02.,모바일,"176,407",269,0.16,149,"40,194",3,"1,698,000"
2024.11.03.,PC,846,7,0.83,138,968,0,0
2024.11.03.,모바일,"184,891",290,0.16,171,"49,665",2,"1,087,000"
2024.11.04.,PC,"2,341",21,0.9,131,"2,761",0,0
2024.11.04.,모바일,"181,602",268,0.15,156,"41,877",5,"3,037,000"
2024.11.05.,PC,"1,426",11,0.78,134,"1,474",0,0
2024.11.05.,모바일,"196,645",245,0.13,153,"37,444",4,"2,089,000"
2024.11.06.,PC,"1,178",13,1.11,108,"1,408",0,0
2024.11.06.,모바일,"170,129",209,0.13,168,"35,200",4,"2,045,000"
2024.11.07.,PC,930,6,0.65,70,418,0,0
2024.11.07.,모바일,"149,985",198,0.14,157,"31,075",1,"449,000"
2024.11.08.,PC,"1,156",7,0.61,94,660,0,0
2024.11.08.,모바일,"232,258",257,0.12,148,"38,093",3,"1,450,000"
2024.11.09.,PC,665,6,0.91,127,759,0,0
2024.11.09.,모바일,"174,593",275,0.16,171,"46,981",1,"446,000"
2024.11.10.,PC,"1,139",7,0.62,143,"1,001",0,0
2024.11.10.,모바일,"233,436",283,0.13,160,"45,386",2,"1,102,000"
2024.11.11.,PC,"1,196",10,0.84,91,913,0,0
2024.11.11.,모바일,"243,713",267,0.11,147,"39,204",1,"633,000"
2024.11.12.,PC,"1,686",18,1.07,103,"1,848",0,0
2024.11.12.,모바일,"230,734",246,0.11,153,"37,609",3,"1,727,000"
2024.11.13.,PC,"1,678",19,1.14,98,"1,859",0,0
2024.11.13.,모바일,"199,397",287,0.15,155,"44,462",1,"475,000"
2024.11.14.,PC,"1,997",18,0.91,110,"1,980",0,0
2024.11.14.,모바일,"198,744",232,0.12,154,"35,783",1,"442,000"
2024.11.15.,PC,"2,579",19,0.74,107,"2,024",0,0
2024.11.15.,모바일,"207,070",244,0.12,153,"37,301",1,"558,000"
2024.11.16.,PC,988,6,0.61,128,770,0,0
2024.11.16.,모바일,"217,629",287,0.14,171,"49,148",3,"1,797,000"
2024.11.17.,PC,560,3,0.54,114,341,0,0
2024.11.17.,모바일,"235,821",243,0.11,166,"40,271",4,"2,189,000"
