"일별보고서(2024.10.28.~2024.12.31.),ss_1112:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),평균노출순위,"총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"1,325",12,0.91,9.5,"4,169",0,0
2024.10.28.,모바일,"25,448",26,0.11,13.2,"8,305",1,1
2024.10.29.,PC,894,14,1.57,11.9,"4,246",4,"113,903"
2024.10.29.,모바일,"23,474",24,0.11,13.6,"9,339",8,8
2024.10.30.,PC,832,8,0.97,10.8,"2,728",0,0
2024.10.30.,모바일,"27,047",24,0.09,13.5,"6,776",1,1
2024.10.31.,PC,567,12,2.12,9.9,"3,586",0,0
2024.10.31.,모바일,"32,959",27,0.09,14.5,"7,018",2,2
2024.11.01.,PC,544,10,1.84,7.5,"5,808",0,0
2024.11.01.,모바일,"27,379",32,0.12,12.2,"9,691",1,1
2024.11.02.,PC,452,7,1.55,8.9,"3,212",1,"47,380"
2024.11.02.,모바일,"30,336",19,0.07,13.2,"5,962",7,7
2024.11.03.,PC,490,5,1.03,10,"1,793",0,0
2024.11.03.,모바일,"45,605",27,0.06,12.4,"8,547",8,"182,907"
2024.11.04.,PC,607,12,1.98,8.4,"4,785",0,0
2024.11.04.,모바일,"49,682",32,0.07,12.9,"8,866",1,1
2024.11.05.,PC,641,16,2.5,10.8,"8,272",1,1
2024.11.05.,모바일,"33,517",24,0.08,17.7,"7,425",2,2
2024.11.06.,PC,600,15,2.5,9,"5,566",1,1
2024.11.06.,모바일,"33,211",29,0.09,16.9,"9,108",8,8
2024.11.07.,PC,516,16,3.11,8.6,"7,205",4,4
2024.11.07.,모바일,"42,381",24,0.06,16.6,"7,447",1,1
2024.11.08.,PC,556,11,1.98,7.7,"5,687",0,0
2024.11.08.,모바일,"29,397",24,0.09,16.2,"6,402",12,"181,010"
2024.11.09.,PC,376,15,3.99,8.4,"4,708",1,1
2024.11.09.,모바일,"49,699",38,0.08,16.4,"15,158",3,"56,002"
2024.11.10.,PC,268,8,2.99,8.1,"2,673",0,0
2024.11.10.,모바일,"74,956",34,0.05,17.1,"10,362",1,1
2024.11.11.,PC,546,13,2.39,8.7,"4,323",4,"138,002"
2024.11.11.,모바일,"32,972",39,0.12,15,"11,418",5,"181,003"
2024.11.12.,PC,505,17,3.37,9,"6,567",0,0
2024.11.12.,모바일,"34,743",27,0.08,15.7,"9,504",9,"56,008"
2024.11.13.,PC,744,12,1.62,9,"3,993",0,0
2024.11.13.,모바일,"37,895",27,0.08,17.3,"11,374",1,1
2024.11.14.,PC,646,16,2.48,7.5,"5,632",0,0
2024.11.14.,모바일,"27,146",35,0.13,18.1,"10,890",2,2
2024.11.15.,PC,667,18,2.7,8.5,"7,634",1,1
2024.11.15.,모바일,"23,076",17,0.08,18.2,"6,160",0,0
2024.11.16.,PC,423,3,0.71,6.8,451,0,0
2024.11.16.,모바일,"37,262",23,0.07,17.8,"7,260",1,1
2024.11.17.,PC,481,3,0.63,8.1,"1,045",0,0
