"일별보고서(2024.10.28.~2024.12.31.),swm46625:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"2,281",14,0.62,435,"6,094",1,"35,100"
2024.10.28.,모바일,"10,068",41,0.41,339,"13,904",0,0
2024.10.29.,PC,"2,243",10,0.45,477,"4,774",0,0
2024.10.29.,모바일,"14,046",50,0.36,298,"14,894",3,"88,800"
2024.10.30.,PC,"2,788",9,0.33,340,"3,058",0,0
2024.10.30.,모바일,"13,182",36,0.28,369,"13,288",2,"74,500"
2024.10.31.,PC,"3,470",10,0.29,303,"3,025",1,"196,900"
2024.10.31.,모바일,"18,825",35,0.19,414,"14,476",1,"19,000"
2024.11.01.,PC,"2,306",13,0.57,323,"4,202",0,0
2024.11.01.,모바일,"16,023",31,0.2,391,"12,122",2,"54,000"
2024.11.02.,PC,875,3,0.35,462,"1,386",0,0
2024.11.02.,모바일,"16,195",46,0.29,325,"14,960",2,"54,000"
2024.11.03.,PC,987,4,0.41,391,"1,562",0,0
2024.11.03.,모바일,"19,656",60,0.31,351,"21,087",1,"34,500"
2024.11.04.,PC,"2,443",13,0.54,438,"5,698",0,0
2024.11.04.,모바일,"19,214",38,0.2,307,"11,660",2,"84,100"
2024.11.05.,PC,"3,102",11,0.36,257,"2,827",1,"31,500"
2024.11.05.,모바일,"14,672",48,0.33,295,"14,168",1,"57,000"
2024.11.06.,PC,"3,425",8,0.24,403,"3,223",0,0
2024.11.06.,모바일,"24,369",39,0.17,383,"14,927",3,"98,500"
2024.11.07.,PC,"2,534",13,0.52,280,"3,641",0,0
2024.11.07.,모바일,"20,023",44,0.22,351,"15,455",1,"34,000"
2024.11.08.,PC,"2,401",18,0.75,342,"6,160",1,"19,100"
2024.11.08.,모바일,"14,133",36,0.26,359,"12,925",0,0
2024.11.09.,PC,699,2,0.29,457,913,0,0
2024.11.09.,모바일,"14,786",44,0.3,355,"15,598",0,0
2024.11.10.,PC,642,5,0.78,365,"1,826",0,0
2024.11.10.,모바일,"17,087",36,0.22,413,"14,872",3,"90,500"
2024.11.11.,PC,"1,945",14,0.72,438,"6,138",1,"105,000"
2024.11.11.,모바일,"13,217",33,0.25,335,"11,055",1,"34,000"
2024.11.12.,PC,"1,804",8,0.45,503,"4,026",0,0
2024.11.12.,모바일,"14,438",25,0.18,298,"7,458",0,0
2024.11.13.,PC,"2,555",5,0.2,433,"2,167",1,"57,000"
2024.11.13.,모바일,"16,733",29,0.18,360,"10,428",1,"19,000"
2024.11.14.,PC,"2,705",12,0.45,445,"5,335",0,0
2024.11.14.,모바일,"15,478",33,0.22,293,"9,680",1,"19,000"
2024.11.15.,PC,"1,920",11,0.58,352,"3,872",0,0
2024.11.15.,모바일,"18,192",26,0.15,296,"7,689",0,0
2024.11.16.,PC,639,0,0,0,0,0,0
2024.11.16.,모바일,"18,472",28,0.16,360,"10,087",0,0
2024.11.17.,PC,633,1,0.16,55,55,1,"34,000"
2024.11.17.,모바일,"15,060",31,0.21,339,"10,505",0,0
2024.11.18.,PC,"1,668",9,0.54,614,"5,522",0,0
2024.11.18.,모바일,"12,940",27,0.21,268,"7,249",0,0
2024.11.19.,PC,"2,188",9,0.42,438,"3,938",0,0
2024.11.19.,모바일,"15,780",27,0.18,254,"6,853",0,0
2024.11.20.,PC,"1,785",9,0.51,412,"3,707",0,0
2024.11.20.,모바일,"17,142",23,0.14,384,"8,822",1,"19,000"
2024.11.21.,PC,"2,825",10,0.36,505,"5,049",0,0
2024.11.21.,모바일,"15,027",26,0.18,270,"7,007",0,0
2024.11.22.,PC,"2,204",4,0.19,294,"1,177",0,0
2024.11.22.,모바일,"15,984",25,0.16,402,"10,043",0,0
2024.11.23.,PC,450,4,0.89,195,781,1,"22,600"
2024.11.23.,모바일,"17,212",21,0.13,415,"8,712",0,0
2024.11.24.,PC,575,1,0.18,484,484,0,0
2024.11.24.,모바일,"17,952",29,0.17,493,"14,300",0,0
2024.11.25.,PC,"1,558",5,0.33,290,"1,452",0,0
2024.11.25.,모바일,"20,350",31,0.16,363,"11,264",1,"34,000"
2024.11.26.,PC,"2,114",5,0.24,282,"1,408",0,0
