"일별보고서(2024.10.28.~2024.12.31.),wlsdo0191"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"4,475",36,0.81,"1,191","42,889",0,0
2024.10.28.,모바일,"12,091",58,0.48,841,"48,763",0,0
2024.10.29.,PC,"3,318",23,0.7,"1,090","25,080",0,0
2024.10.29.,모바일,"7,736",41,0.53,999,"40,964",0,0
2024.10.30.,PC,"4,675",27,0.58,"1,629","43,989",0,0
2024.10.30.,모바일,"13,493",78,0.58,"1,230","95,964",0,0
2024.10.31.,PC,"4,540",27,0.6,"1,119","30,217",0,0
2024.10.31.,모바일,"9,863",46,0.47,"1,234","56,749",0,0
2024.11.01.,PC,"4,422",36,0.82,"1,973","71,016",0,0
2024.11.01.,모바일,"12,228",64,0.53,999,"63,965",0,0
2024.11.02.,PC,"1,496",11,0.74,"1,059","11,649",0,0
2024.11.02.,모바일,"2,874",63,2.2,"1,442","90,871",0,0
2024.11.03.,PC,91,0,0,0,0,0,0
2024.11.03.,모바일,202,3,1.49,"1,082","3,245",0,0
2024.11.04.,PC,"4,254",17,0.4,"1,790","30,426",0,0
2024.11.04.,모바일,"8,169",44,0.54,"1,651","72,644",0,0
2024.11.05.,PC,"6,498",39,0.61,"1,273","49,665",0,0
2024.11.05.,모바일,"10,835",79,0.73,"1,511","119,394",0,0
2024.11.06.,PC,"2,828",14,0.5,"1,339","18,744",0,0
2024.11.06.,모바일,"5,783",74,1.28,"1,564","115,764",0,0
2024.11.07.,PC,"6,648",47,0.71,"1,963","92,279",0,0
2024.11.07.,모바일,"10,980",72,0.66,"1,287","92,697",0,0
2024.11.08.,PC,"5,697",34,0.6,"1,954","66,451",0,0
2024.11.08.,모바일,"12,903",86,0.67,"1,566","134,684",0,0
2024.11.09.,PC,"2,243",10,0.45,"1,471","14,707",0,0
2024.11.09.,모바일,"8,285",88,1.07,"1,726","151,866",0,0
2024.11.10.,PC,"1,106",7,0.64,"1,647","11,528",0,0
2024.11.10.,모바일,"4,546",53,1.17,"1,632","86,471",0,0
2024.11.11.,PC,"4,577",31,0.68,"1,478","45,826",0,0
2024.11.11.,모바일,"16,513",75,0.46,"1,730","129,745",0,0
2024.11.12.,PC,"4,852",45,0.93,"1,454","65,428",0,0
2024.11.12.,모바일,"15,799",84,0.54,"1,160","97,471",0,0
2024.11.13.,PC,"4,995",29,0.59,"1,233","35,761",0,0
2024.11.13.,모바일,"16,734",95,0.57,"1,172","111,353",0,0
2024.11.14.,PC,"4,845",37,0.77,"1,437","53,185",0,0
2024.11.14.,모바일,"17,677",77,0.44,"1,409","108,471",0,0
2024.11.15.,PC,"3,713",22,0.6,"1,471","32,362",0,0
2024.11.15.,모바일,"12,921",74,0.58,"1,326","98,109",0,0
2024.11.16.,PC,"1,111",3,0.28,917,"2,750",0,0
2024.11.16.,모바일,"3,123",34,1.09,"1,579","53,680",0,0
2024.11.17.,PC,822,4,0.49,"1,042","4,169",0,0
2024.11.17.,모바일,"2,802",36,1.29,"1,430","51,491",0,0
2024.11.18.,PC,"7,687",52,0.68,"1,694","88,099",0,0
2024.11.18.,모바일,"16,594",170,1.03,"1,277","217,173",0,0
2024.11.19.,PC,"8,375",69,0.83,"1,202","82,918",0,0
2024.11.19.,모바일,"20,765",185,0.9,"1,385","256,201",0,0
2024.11.20.,PC,"10,748",64,0.6,"1,340","85,778",0,0
2024.11.20.,모바일,"22,727",204,0.9,"1,149","234,410",0,0
2024.11.21.,PC,"11,739",66,0.57,"1,291","85,184",0,0
2024.11.21.,모바일,"25,284",186,0.74,"1,225","227,832",0,0
2024.11.22.,PC,"7,896",55,0.7,"1,332","73,238",0,0
2024.11.22.,모바일,"23,096",202,0.88,"1,214","245,135",0,0
2024.11.23.,PC,705,1,0.15,858,858,0,0
2024.11.23.,모바일,"2,233",17,0.77,"1,101","18,711",0,0
2024.11.24.,PC,178,1,0.57,"1,056","1,056",0,0
2024.11.24.,모바일,"1,071",16,1.5,"1,303","20,845",0,0
2024.11.25.,PC,"12,922",45,0.35,"1,326","59,653",0,0
2024.11.25.,모바일,"21,637",161,0.75,"1,237","199,166",0,0
2024.11.26.,PC,"10,953",62,0.57,"1,362","84,414",0,0
2024.11.26.,모바일,"20,594",201,0.98,"1,179","237,006",0,0
2024.11.27.,PC,"13,807",93,0.68,"1,291","120,109",0,0
2024.11.27.,모바일,"35,185",328,0.94,"1,305","428,021",0,0
2024.11.28.,PC,"13,288",105,0.8,"1,279","134,244",0,0
2024.11.28.,모바일,"39,364",350,0.89,"1,310","458,524",0,0
2024.11.29.,PC,"10,966",83,0.76,"1,613","133,903",0,0
2024.11.29.,모바일,"29,756",239,0.81,"1,225","292,853",0,0
2024.11.30.,PC,"5,462",30,0.55,"1,007","30,195",0,0
2024.11.30.,모바일,"17,214",199,1.16,"1,074","213,686",0,0
2024.12.01.,PC,"3,526",32,0.91,"1,142","36,531",0,0
2024.12.01.,모바일,"15,865",166,1.05,"1,073","178,189",0,0
2024.12.02.,PC,"9,232",49,0.54,"1,332","65,274",0,0
2024.12.02.,모바일,"19,418",144,0.75,"1,219","175,549",0,0
2024.12.03.,PC,"11,987",71,0.6,"1,508","107,041",0,0
2024.12.03.,모바일,"32,586",254,0.78,"1,362","345,906",0,0
2024.12.04.,PC,"7,026",40,0.57,"1,389","55,561",0,0
2024.12.04.,모바일,"22,634",150,0.67,"1,265","189,805",0,0
2024.12.05.,PC,"9,159",69,0.76,"1,449","100,012",0,0
2024.12.05.,모바일,"26,721",210,0.79,"1,148","241,021",0,0
2024.12.06.,PC,"5,899",35,0.6,"1,224","42,856",0,0
2024.12.06.,모바일,"20,114",138,0.69,"1,274","175,769",0,0
2024.12.07.,PC,"3,595",22,0.62,"1,116","24,541",0,0
2024.12.07.,모바일,"14,473",145,1.01,"1,239","179,586",0,0
2024.12.08.,PC,"1,862",9,0.49,"1,485","13,365",0,0
2024.12.08.,모바일,"6,798",76,1.12,"1,157","87,967",0,0
2024.12.09.,PC,"9,340",47,0.51,"1,841","86,504",0,0
2024.12.09.,모바일,"10,907",68,0.63,"1,587","107,888",0,0
2024.12.10.,PC,"5,000",37,0.74,"1,760","65,120",0,0
2024.12.10.,모바일,"18,693",119,0.64,"1,471","175,021",0,0
2024.12.11.,PC,"5,749",31,0.54,"1,530","47,432",2,"1,210,000"
2024.12.11.,모바일,"21,658",120,0.56,"1,464","175,703",1,1
2024.12.12.,PC,"8,192",38,0.47,"1,706","64,845",1,100
2024.12.12.,모바일,"16,504",88,0.54,"1,463","128,766",3,"2,376,002"
2024.12.13.,PC,"8,708",42,0.49,"1,701","71,434",0,0
2024.12.13.,모바일,"18,934",113,0.6,"1,833","207,185",2,101
2024.12.14.,PC,"1,951",11,0.57,963,"10,593",0,0
2024.12.14.,모바일,"10,509",70,0.67,"2,114","147,994",0,0
2024.12.16.,PC,"11,349",58,0.52,"1,588","92,092",1,1
2024.12.16.,모바일,"26,260",133,0.51,"1,573","209,275",1,0
2024.12.17.,PC,"9,808",49,0.5,"1,932","94,688",4,301
2024.12.17.,모바일,"18,737",118,0.63,"1,749","206,415",3,201
2024.12.18.,PC,"10,674",48,0.45,"1,817","87,230",2,2
2024.12.18.,모바일,"21,495",153,0.72,"1,743","266,750",3,201
2024.12.19.,PC,"8,776",52,0.6,"2,090","108,680",2,2
2024.12.19.,모바일,"14,847",102,0.69,"1,897","193,468",3,201
2024.12.20.,PC,"8,262",31,0.38,"1,711","53,042",1,100
2024.12.20.,모바일,"20,105",139,0.7,"1,549","215,325",0,0
2024.12.21.,PC,263,2,0.77,748,"1,496",0,0
2024.12.21.,모바일,"2,697",25,0.93,"1,485","37,125",1,100
2024.12.22.,PC,778,4,0.52,"1,455","5,819",1,1
2024.12.22.,모바일,"5,891",49,0.84,"1,629","79,827",4,0
2024.12.23.,PC,"10,565",46,0.44,"1,296","59,609",3,3
2024.12.23.,모바일,"21,722",139,0.64,"1,552","215,710",3,102
2024.12.24.,PC,"6,466",33,0.52,"1,677","55,341",1,1
2024.12.24.,모바일,"12,352",111,0.9,"1,714","190,201",0,0
2024.12.25.,PC,"1,936",10,0.52,"1,381","13,805",0,0
2024.12.25.,모바일,"10,519",76,0.73,"1,272","96,657",1,1
2024.12.26.,PC,"5,690",37,0.66,"1,651","61,083",1,1
2024.12.26.,모바일,"11,729",78,0.67,"1,542","120,263",1,1
2024.12.27.,PC,"5,927",40,0.68,"1,471","58,839",1,100
2024.12.27.,모바일,"12,752",108,0.85,"1,531","165,308",3,102
2024.12.28.,PC,"2,599",21,0.81,"1,940","40,733",3,"451,000"
2024.12.28.,모바일,"18,383",114,0.63,"1,496","170,588",1,100
2024.12.29.,PC,"1,238",5,0.41,"1,327","6,633",0,0
2024.12.29.,모바일,"9,257",100,1.09,"1,740","173,998",3,102
2024.12.30.,PC,"4,507",23,0.52,"1,338","30,767",0,0
2024.12.30.,모바일,"8,093",64,0.8,"1,431","91,586",0,0
2024.12.31.,PC,"3,714",20,0.54,"1,277","25,531",0,0
2024.12.31.,모바일,"9,127",53,0.59,"1,388","73,590",0,0
