"파워링크보고서(2024.12.01.~2024.12.31.),cjf4211:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",브랜드키워드,브랜드키워드_1110,-,PC,21,8,77,616,1.5,3.55,53.55,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,-,모바일,46,7,74,517,1.6,1.6,3.3,1,"138,200"
"파워링크",브랜드키워드,브랜드키워드_1110,겜마톡,PC,"1,420",3,77,231,1,1,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,겜마톡,모바일,"1,082",1,77,77,1,5,67,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,고추장,PC,5,0,0,0,50.4,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,고추장,모바일,4,0,0,0,47.3,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성,PC,"1,027",0,0,0,3,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성,모바일,57,0,0,0,2.7,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성덮밥,PC,4,1,77,77,2.5,2.5,12,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성도시락,PC,40,3,77,231,2.8,1,0,2,"107,600"
"파워링크",브랜드키워드,브랜드키워드_1110,근성도시락,모바일,111,17,77,"1,309",2.8,1.55,36.94,8,"562,100"
"파워링크",브랜드키워드,브랜드키워드_1110,근성왕푸드,PC,27,0,0,0,2.9,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성왕푸드,모바일,77,0,0,0,3,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성푸드,PC,25,11,77,847,1,4,37.08,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,근성푸드,모바일,61,6,77,462,1,2.29,19.14,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,냉동,PC,9,0,0,0,34.1,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,냉동,모바일,1,0,0,0,39,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,덮밥,PC,3,0,0,0,66.3,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,덮밥,모바일,1,0,0,0,65,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,도시락,PC,17,0,0,0,59,3,7,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,도시락,모바일,5,0,0,0,91.8,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,마요,PC,29,0,0,0,7.1,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,마요,모바일,365,1,77,77,2.1,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,매콤,PC,10,0,0,0,4.5,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,매콤,모바일,6,0,0,0,5,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,불고기,PC,5,0,0,0,80.4,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,성수노루,PC,440,8,77,616,1.9,2.56,20.56,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,성수노루,모바일,"2,129",11,77,847,1.8,1.69,7.69,1,"52,600"
"파워링크",브랜드키워드,브랜드키워드_1110,성수노루밀키트,PC,429,0,0,0,2.9,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,성수노루밀키트,모바일,"3,623",7,75,528,2.7,1,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,치킨,PC,19,0,0,0,57.6,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,치킨,모바일,11,0,0,0,61.7,4,107,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,치킨마요,PC,4,0,0,0,10.8,0,0,0,0
"파워링크",브랜드키워드,브랜드키워드_1110,치킨마요,모바일,89,0,0,0,2.2,0,0,0,0
"파워링크","메인키워드",000. 주요키워드,1인음식,PC,2,0,0,0,7.5,0,0,0,0
