"파워링크보고서(2024.12.01.~2024.12.31.),dlolabs2:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,-,PC,41,7,77,539,1,1.4,19.5,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,DLO,PC,35,0,0,0,2.8,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오,PC,39,1,66,66,2,3,43,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오랩스,PC,4,1,77,77,2,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오릴렉스팩,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오영양제,PC,2,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - PC,디엘오코어팩,PC,12,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - PC,-,PC,2,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - PC,-,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - PC,-,PC,2,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,-,모바일,281,13,77,"1,001",1,1.69,169.31,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,DLO,모바일,155,0,0,0,2.2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,DLO비타민,모바일,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오,모바일,157,17,71,"1,199",2,2.18,67.05,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오랩스,모바일,15,2,77,154,2,1.75,20.75,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오릴렉스팩,모바일,3,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오영양제,모바일,4,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩,모바일,20,1,77,77,2,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩2.0,모바일,4,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오코어팩2.1,모바일,5,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,디엘오후기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,릴렉스,모바일,"2,201",10,297,"2,970",2.6,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,코어,모바일,"6,472",8,400,"3,201",2.8,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,코어팩,모바일,33,0,0,0,2.2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 001 (기존 사용중이던 키워드) - MO,코어팩2.2,모바일,1,0,0,0,1,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,-,모바일,29,2,77,154,2.4,1,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO여자종합비타민추천,모바일,1,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 002 - MO,DLO영양제배달선물,모바일,2,0,0,0,4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,-,모바일,96,3,73,220,2.4,1.2,9.6,0,0
"파워링크",★ 자사명키워드,자사명키워드 003 - MO,디엘오비타민비군추천,모바일,5,0,0,0,2,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,-,모바일,1,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오원데이팩추천,모바일,5,0,0,0,3.4,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오한팩비타민추천,모바일,1,0,0,0,3,0,0,0,0
"파워링크",★ 자사명키워드,자사명키워드 004 - MO,디엘오한팩영양제추천,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",-,PC,2,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21STCENTURY비타민,PC,3,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21STCENTURY영양제,PC,2,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",21세기멀티비타민,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",NATURESBOUNTY비타민,PC,1,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",SOLGAR비타민,PC,186,0,0,0,7.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",SOLGAR영양제,PC,35,0,0,0,4.5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE멀티비타민,PC,4,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE비타민,PC,864,0,0,0,2.3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",THORNE영양제,PC,15,0,0,0,1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우L아르기닌,PC,1,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우마카,PC,51,0,0,0,5.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우맥주효모,PC,13,0,0,0,2.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우스포츠아르기닌,PC,16,0,0,0,4.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우아르기닌,PC,7,0,0,0,7.4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우엘아르기닌,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우오메가3,PC,1,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우폴리코사놀,PC,14,0,0,0,1.6,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드L-아르기닌,PC,2,0,0,0,4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드글루타민,PC,31,0,0,0,4.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드레시틴,PC,8,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드맥주효모,PC,112,0,0,0,4.2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드멀티비타민,PC,50,1,242,242,4.4,1,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드베타글루칸,PC,73,0,0,0,4.2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드비타민,PC,26,0,0,0,5.7,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린,PC,36,0,0,0,5.4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린밀크시슬,PC,22,0,0,0,2.2,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드실리마린밀크씨슬,PC,398,0,0,0,1.1,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드엘시스테인,PC,52,0,0,0,1.6,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드엘아르기닌,PC,25,0,0,0,6.4,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드폴리코사놀,PC,22,0,0,0,1.9,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드피크노제놀,PC,95,0,0,0,3.8,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나우푸드히알루론산,PC,36,0,0,0,2.6,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤비오틴,PC,35,0,0,0,3,0,0,0,0
"파워링크",★ 경쟁사 키워드,"경쟁사명, 경쟁사제품명 001 - PC",나트롤비오틴10000,PC,5,0,0,0,1,0,0,0,0
