"파워링크보고서(2024.12.01.~2024.12.31.),grae2021"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,-,PC,388,25,71,"1,771",1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,-,모바일,"1,559",20,114,"2,277",1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,SENGOKU,PC,235,0,0,0,1.3,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,SENGOKU,모바일,"1,912",19,93,"1,760",2.8,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,겨울난로,PC,18,0,0,0,6.4,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,겨울난로,모바일,39,0,0,0,6.5,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,겨울등유난로,모바일,1,0,0,0,2,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,겨울캠핑난로,PC,119,0,0,0,4.1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,겨울캠핑난로,모바일,64,0,0,0,2.5,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,난로,PC,339,0,0,0,7.6,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,난로,모바일,30,0,0,0,21.6,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,동계난로,PC,49,0,0,0,2.1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,동계난로,모바일,157,0,0,0,2.3,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,동계캠핑난로,PC,227,0,0,0,2.9,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,동계캠핑난로,모바일,1,0,0,0,7,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,등유난로,PC,"17,749",29,581,"16,852",3.7,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,등유난로,모바일,"65,054",633,521,"329,538",2.1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠,PC,965,0,0,0,1.5,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠,모바일,"5,119",5,205,"1,023",1.2,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠난로,PC,239,7,119,836,1.2,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠난로,모바일,384,35,175,"6,127",1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠코리아,PC,83,0,0,0,2,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센고쿠코리아,모바일,16,0,0,0,1.6,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센코쿠,PC,110,1,99,99,1.8,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센코쿠,모바일,105,2,77,154,2.4,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센코쿠난로,PC,485,7,209,"1,463",1.5,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,센코쿠난로,모바일,617,43,168,"7,227",2.1,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,소형캠핑난로,PC,10,0,0,0,2.3,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,소형캠핑난로,모바일,86,0,0,0,2.9,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,실내난로,PC,31,0,0,0,8.7,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,실내난로,모바일,46,1,330,330,5.9,0,0,0,0
"파워링크",센고쿠_그래,센고쿠_그래_광고그룹#1,실내등유난로,PC,"5,567",6,211,"1,265",3,0,0,0,0
