"파워링크보고서(2024.12.01.~2024.12.31.),knn1008"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,-,PC,2,0,0,0,3,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,-,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,KHOTO,PC,115,0,0,0,4.2,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,KHOTO,모바일,189,0,0,0,3.4,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,XONE,PC,97,0,0,0,2.4,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,XONE,모바일,240,0,0,0,2.4,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,레이노썬팅,PC,15,0,0,0,10.7,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,레이노썬팅,모바일,8,0,0,0,12.4,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,렉스턴스포츠도우미,PC,1,0,0,0,2,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,렉스턴스포츠도우미,모바일,6,0,0,0,2,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,렉스턴스포츠차박,PC,2,0,0,0,10,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,렉스턴스포츠차박,모바일,3,0,0,0,10,0,0,0,0
"파워링크",엠제이카,렉스턴스포츠코란도스포츠용품,렉스턴스포츠캐노피하드탑,PC,1,1,77,77,1,1,0,0,0
