"파워링크보고서(2024.12.01.~2024.12.31.),rebotter:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",욕조,르보테,-,PC,35,5,77,385,1,14.2,619.4,1,"2,690,000"
"파워링크",욕조,르보테,-,모바일,43,1,77,77,1,1,0,0,0
"파워링크",욕조,르보테,독립형욕조,PC,27,0,0,0,4.6,0,0,0,0
"파워링크",욕조,르보테,독립형욕조,모바일,101,8,336,"2,684",1.3,1.93,17.2,0,0
"파워링크",욕조,르보테,세면대,PC,"11,383",74,674,"49,896",3.9,6.46,87.28,1,0
"파워링크",욕조,르보테,세면대,모바일,"21,901",410,644,"264,055",3,1.62,11.21,0,0
"파워링크",욕조,르보테,아크릴욕조,PC,431,4,707,"2,827",5,6.25,67.75,0,0
"파워링크",욕조,르보테,아크릴욕조,모바일,"1,028",68,647,"43,989",1.3,1.91,27.69,2,0
"파워링크",욕조,르보테,욕조,PC,"12,112",54,866,"46,761",2.8,7.21,90.39,0,0
"파워링크",욕조,르보테,욕조,모바일,"22,443",498,866,"431,497",2.9,1.54,11.73,15,"365,000"
"파워링크",욕조,르보테,이동식욕조,PC,"2,696",18,"1,208","21,747",5.3,4.91,20.95,0,0
"파워링크",욕조,르보테,이동식욕조,모바일,"3,660",26,"1,240","32,252",4.6,1.44,9.08,0,0
"파워링크",욕조,르보테,인터쿠아,PC,107,0,0,0,2.9,0,0,0,0
"파워링크",욕조,르보테,인터쿠아,모바일,6,0,0,0,3,0,0,0,0
"파워링크",욕조,르보테,호텔세면대,PC,1,0,0,0,23,0,0,0,0
"쇼핑검색",르보테,주력상품,-,PC,"11,413",30,597,"17,919",2.5,2.2,10.02,1,"390,000"
"쇼핑검색",르보테,주력상품,-,모바일,"9,734",111,733,"81,334",4.6,1.54,13.2,0,0
"쇼핑검색",르보테,벌크1,-,PC,626,4,242,968,4.5,1,0,0,0
"쇼핑검색",르보테,벌크1,-,모바일,863,6,255,"1,529",6.6,1,0,0,0
"쇼핑검색",르보테,벌크2,-,PC,249,1,187,187,4.1,14.5,429.5,0,0
"쇼핑검색",르보테,벌크2,-,모바일,564,3,271,814,6.7,1.83,262.17,1,"360,000"
"쇼핑검색",르보테,벌크3,-,PC,876,2,242,484,2.8,5.6,607.6,0,0
"쇼핑검색",르보테,벌크3,-,모바일,"1,480",9,254,"2,288",9,1.06,0.53,0,0
