"파워링크보고서(2024.12.01.~2024.12.31.),soulham"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",네이버 파워링크,네이버 파워링크_mob,-,모바일,26,2,165,330,1.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,강릉유골함,모바일,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,개장,모바일,170,1,286,286,3.6,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,개장하기좋은날,모바일,1,0,0,0,6,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,경기도납골당,모바일,20,0,0,0,15.4,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,경기도유골함,모바일,2,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,고급유골함,모바일,24,2,99,198,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,기능성유골함,모바일,84,1,253,253,1.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,기독교유골함,모바일,15,1,275,275,6.3,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,납골당유골함,모바일,39,0,0,0,2.4,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,납골당함,모바일,16,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,납골함,모바일,214,6,820,"4,917",3.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,묘이장,모바일,1,0,0,0,26,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,묘지이장날짜,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,봉안당유골함,모바일,6,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,봉안함,모바일,303,5,"1,014","5,071",3.3,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,산소이장,모바일,1,0,0,0,29,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,산소이장날짜,모바일,1,0,0,0,5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,서울유골함,모바일,6,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,성남유골함,모바일,3,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,속초유골함,모바일,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,수원유골함,모바일,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,수원장례식장,모바일,545,0,0,0,2.6,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,양평유골함,모바일,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,용인공원묘지,모바일,327,3,"1,056","3,168",3.1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,용인유골함,모바일,5,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,원주유골함,모바일,5,0,0,0,2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함,모바일,"1,460",26,905,"23,518",3.3,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함가격,모바일,16,1,231,231,9.8,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함각인,모바일,58,5,216,"1,078",3.3,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함교체,모바일,70,0,0,0,2.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함제작,모바일,53,4,308,"1,232",3,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함종류,모바일,82,1,165,165,2.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함진공,모바일,130,2,143,286,2.1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함코리아,모바일,79,0,0,0,2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,유골함크기,모바일,57,0,0,0,3.1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,이장,모바일,30,0,0,0,6.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,이천유골함,모바일,36,4,228,913,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,인천유골함,모바일,9,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,일산유골함,모바일,6,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,진공유골함,모바일,"1,069",83,"1,017","84,447",1.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,천안유골함,모바일,8,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,천주교유골함,모바일,30,1,286,286,3.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,하남유골함,모바일,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_mob,화성유골함,모바일,2,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,-,PC,5,0,0,0,2.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,개장,PC,32,0,0,0,6.1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,개장하기좋은날,PC,1,0,0,0,8,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,경기도납골당,PC,27,0,0,0,17.1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,경기도유골함,PC,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,고급유골함,PC,3,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,기능성유골함,PC,4,0,0,0,4.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,기독교유골함,PC,1,0,0,0,14,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,납골당유골함,PC,6,0,0,0,3.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,납골당함,PC,4,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,납골함,PC,222,0,0,0,7.9,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,묘이장,PC,2,0,0,0,27.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,묘지개장,PC,16,0,0,0,29.8,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,묘지이장날짜,PC,1,0,0,0,11,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,봉안당유골함,PC,5,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,봉안함,PC,46,0,0,0,3.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,산소이장,PC,3,0,0,0,39.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,산소이장날짜,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,서울유골함,PC,2,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,수원장례식장,PC,95,0,0,0,4.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,용인공원묘지,PC,148,1,561,561,6.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함,PC,"1,249",6,671,"4,026",9.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함가격,PC,13,0,0,0,12.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함각인,PC,42,2,143,286,4.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함교체,PC,18,1,132,132,5.6,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함제작,PC,3,0,0,0,7.7,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함종류,PC,24,2,99,198,5.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함진공,PC,27,0,0,0,1.5,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함코리아,PC,71,1,121,121,2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,유골함크기,PC,13,1,121,121,3.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,이장,PC,1,0,0,0,20,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,이천유골함,PC,2,0,0,0,2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,일산유골함,PC,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,진공유골함,PC,134,6,660,"3,960",6.2,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,천안유골함,PC,1,0,0,0,1,0,0,0,0
"파워링크",네이버 파워링크,네이버 파워링크_pc,천주교유골함,PC,9,0,0,0,5.9,0,0,0,0
"쇼핑검색",쇼핑검색#1,쇼핑검색#1_광고그룹#1,-,PC,"8,875",68,"1,265","85,987",3.4,1.25,13.07,0,0
"쇼핑검색",쇼핑검색#1,쇼핑검색#1_광고그룹#1,-,모바일,"54,923",477,"1,300","619,872",4.7,1.23,12.73,10,"4,530,000"
