"파워링크보고서(2024.12.01.~2024.12.31.),ss_1112:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","# BAM_PC",쇼핑몰,-,PC,120,16,127,"2,024",1.8,4.65,60.47,0,0
"파워링크","# BAM_PC",쇼핑몰,10대남자쇼핑몰,PC,10,0,0,0,6.3,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,10대남자옷쇼핑몰,PC,7,0,0,0,6.1,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,180남자쇼핑몰,PC,9,1,143,143,6.2,2,10,0,0
"파워링크","# BAM_PC",쇼핑몰,180쇼핑몰,PC,7,0,0,0,2,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,190남자쇼핑몰,PC,2,1,176,176,1,1,0,0,0
"파워링크","# BAM_PC",쇼핑몰,190쇼핑몰,PC,9,2,176,352,4.7,3.33,31.67,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남성쇼핑몰,PC,5,0,0,0,19.4,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남성옷쇼핑몰,PC,2,0,0,0,5.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남성의류,PC,11,2,132,264,12.1,3,48,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남성의류브랜드,PC,7,0,0,0,2.6,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남성의류쇼핑몰,PC,14,0,0,0,9.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자쇼핑,PC,4,0,0,0,3.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자쇼핑몰,PC,14,0,0,0,21.8,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자쇼핑몰순위,PC,47,1,165,165,11.9,2,11,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자쇼핑몰추천,PC,3,0,0,0,9.3,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자옷브랜드,PC,46,0,0,0,6,2,6,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자옷사이트,PC,4,0,0,0,7.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,20대남자옷쇼핑몰,PC,74,1,165,165,13.9,2,8,0,0
"파워링크","# BAM_PC",쇼핑몰,30대남성쇼핑몰,PC,5,0,0,0,26.2,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,30대남성옷,PC,2,0,0,0,11.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,30대남성옷쇼핑몰,PC,2,0,0,0,9.5,0,0,0,0
"파워링크","# BAM_PC",쇼핑몰,30대남성의류,PC,4,0,0,0,16.5,0,0,0,0
