"쇼핑검색보고서(2024.12.01.~2024.12.31.),cpc1995:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","!?이모지",PC,1,0,0,0,1,0,0,0,0
"파워링크","!이모지",PC,1,0,0,0,2,0,0,0,0
"파워링크","!이모지",모바일,1,0,0,0,2,0,0,0,0
"파워링크","#이모지",모바일,1,0,0,0,1,0,0,0,0
"파워링크","#카톡이모티콘",모바일,1,0,0,0,3,0,0,0,0
"파워링크",%이모지,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",&이모지,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",&이모지,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",'카카오톡이모티콘스튜디오,PC,1,0,0,0,2,0,0,0,0
"파워링크",()카톡이모지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",(__)이모지,PC,1,0,0,0,1,0,0,0,0
"파워링크",(이모지),모바일,1,0,0,0,2,0,0,0,0
"파워링크",)(이모지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",+이모지,PC,4,0,0,0,1.8,0,0,0,0
"파워링크",+이모지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",-'이모지,PC,2,0,0,0,2,0,0,0,0
"파워링크",-_-이모지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",-귀여운이모티콘,PC,1,0,0,0,3,0,0,0,0
"파워링크",...이모지,모바일,2,0,0,0,1,0,0,0,0
"파워링크",.으로이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.으로캐릭터만들기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",.이모지,PC,2,0,0,0,1,0,0,0,0
"파워링크",.이모지,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",.이모티콘모음,모바일,1,0,0,0,1,0,0,0,0
"파워링크",:)이모지,PC,4,0,0,0,2,0,0,0,0
"파워링크",:)이모지,모바일,4,0,0,0,2,0,0,0,0
"파워링크",:)이모티콘모음,PC,1,0,0,0,1,0,0,0,0
"파워링크",;)이모티콘표정,모바일,1,0,0,0,1,0,0,0,0
"파워링크",=_=이모지,PC,1,0,0,0,1,0,0,0,0
"파워링크",@이모지,PC,1,0,0,0,2,0,0,0,0
"파워링크",EMOTICON,PC,80,0,0,0,1.7,0,0,0,0
"파워링크",EMOTICON,모바일,220,0,0,0,1.4,0,0,0,0
"파워링크",EMOTICON.,PC,1,0,0,0,1,0,0,0,0
"파워링크",EMOTICON?,모바일,1,0,0,0,1,0,0,0,0
"파워링크",EMOTICONSTUDIO,모바일,1,0,0,0,2,0,0,0,0
"파워링크",IPAD로카카오톡이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",KAKAOTALK이모티콘,PC,2,0,0,0,2,0,0,0,0
"파워링크",KAKAOTALK이모티콘,모바일,14,0,0,0,2.4,0,0,0,0
"파워링크",KAKAO가이드북,PC,1,0,0,0,1,0,0,0,0
"파워링크",MBTI카카오톡이모티콘,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OGQ,PC,"13,031",10,77,770,1.6,1.5,8.25,0,0
"파워링크",OGQ,모바일,"27,563",37,77,"2,849",1.2,1.08,1.02,0,0
"파워링크",OGQ마켓,PC,"1,580",4,77,308,1,1.75,49.25,0,0
"파워링크",OGQ마켓,모바일,"3,844",1,77,77,1,0,0,0,0
"파워링크",OGQ마켓이모티콘만들기,PC,1,0,0,0,1,0,0,0,0
"파워링크",OGQ무료이모티콘-카카오톡,모바일,1,0,0,0,2,0,0,0,0
"파워링크",OGQ스티커카카오톡이모티콘,PC,1,0,0,0,2,0,0,0,0
"파워링크",OGQ스티커카카오톡이모티콘,모바일,1,0,0,0,3,0,0,0,0
"파워링크",OGQ스티커카카오톡이모티콘같은,모바일,1,0,0,0,2,0,0,0,0
"파워링크",OGQ움직이는이모티콘제안,모바일,1,0,0,0,2,0,0,0,0
"파워링크",OGQ이모티콘만들기방법,PC,1,0,0,0,2,0,0,0,0
"파워링크",OGQ이모티콘카카오톡,PC,1,0,0,0,3,0,0,0,0
"파워링크",OGQ이모티콘카카오톡이모티콘,PC,1,0,0,0,2,0,0,0,0
"파워링크",OGQ카카오톡이모티콘,모바일,2,0,0,0,2,0,0,0,0
"파워링크",PC카카오톡이모티콘만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",PPT로카카오톡이모티콘만들기,PC,1,0,0,0,1,0,0,0,0
