"쇼핑검색보고서(2024.12.01.~2024.12.31.),darling_tag"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","#BELLE샵벨르비비크림",모바일,3,0,0,0,3,0,0,0,0
"파워링크","#벨르비비",모바일,1,0,0,0,3,0,0,0,0
"파워링크","#상떼화장품",모바일,1,0,0,0,2,0,0,0,0
"파워링크","#파이토신",PC,1,0,0,0,2,0,0,0,0
"파워링크","#파이토신",모바일,2,0,0,0,2,0,0,0,0
"파워링크",(주)이엔비에스브이큐엠파이토신30ML,PC,1,0,0,0,1,0,0,0,0
"파워링크",)코나피딜슈퍼젝션크림,모바일,1,0,0,0,2,0,0,0,0
"파워링크",-매드스킨케어M.A.DSKINCARE,모바일,2,0,0,0,1,0,0,0,0
"파워링크",/세멘잘라이트+파이토신,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1+1상떼아줄렌,PC,1,0,0,0,1,0,0,0,0
"파워링크",28초마스크,모바일,2,0,0,0,1,0,0,0,0
"파워링크",@ELLE,PC,1,0,0,0,1,0,0,0,0
"파워링크",AKASEMI-GELMASK,PC,1,0,0,0,3,0,0,0,0
"파워링크",AKASEMI-GELMASK,모바일,5,0,0,0,3,0,0,0,0
"파워링크",AKASEMIGELMASK,모바일,11,0,0,0,3,0,0,0,0
"파워링크",B.B크림,PC,1,0,0,0,2,0,0,0,0
"파워링크",BBCREAM,PC,13,0,0,0,1,0,0,0,0
"파워링크",BB추천,PC,7,0,0,0,1,0,0,0,0
"파워링크",BB쿠션,PC,10,0,0,0,1.6,0,0,0,0
"파워링크",BB크림,PC,644,6,"2,574","15,444",1,1.14,1.86,0,0
"파워링크",BB크림?,PC,1,0,0,0,3,0,0,0,0
"파워링크",BB크림추천,PC,74,0,0,0,1.6,0,0,0,0
"파워링크",BEAUTYMED,PC,3,0,0,0,3,0,0,0,0
"파워링크",BEAUTYMED,모바일,23,0,0,0,1.4,0,0,0,0
"파워링크",BELLESKINREPAIR,모바일,3,1,77,77,1,2,6,1,"222,610"
"파워링크",BRILLI8,PC,20,3,"1,503","4,510",1,1.25,0.75,0,0
"파워링크",BRILLI8,모바일,203,21,"3,250","68,255",1.8,1.51,8.22,1,"140,800"
"파워링크",CELLDICH,PC,7,0,0,0,4.9,0,0,0,0
"파워링크",CELLDICH,모바일,98,22,"1,997","43,934",1,1.85,70.18,2,"142,200"
"파워링크",CELUCA,PC,5,0,0,0,1,0,0,0,0
"파워링크",CELUCA,모바일,18,0,0,0,1,0,0,0,0
"파워링크",COLLAGENVEILCREAM,모바일,1,0,0,0,3,0,0,0,0
"파워링크",CONAPIDIL,PC,55,1,198,198,3.2,1,0,0,0
"파워링크",CONAPIDIL,모바일,329,14,216,"3,025",3.3,2.21,47.58,0,0
"파워링크",CUSHION,PC,104,0,0,0,3.9,0,0,0,0
"파워링크",CUSHION,모바일,100,0,0,0,5.5,0,0,0,0
"파워링크",DERMACELEB,모바일,1,0,0,0,1,0,0,0,0
"파워링크",DERMA부스터앰플,모바일,2,0,0,0,2,0,0,0,0
"파워링크",DOCLAB,PC,11,1,891,891,1,0,0,0,0
"파워링크",DOCLAB,모바일,67,16,767,"12,265",1,1.58,31.08,1,"65,700"
"파워링크",DR+LAB수딩앰플토너수딩겔크림,모바일,1,0,0,0,1,0,0,0,0
"파워링크",DR.상떼,모바일,6,0,0,0,1.3,0,0,0,0
"파워링크",DR상떼스킨,모바일,1,0,0,0,2,0,0,0,0
"파워링크",DR상떼아줄렌수더로션,모바일,1,0,0,0,3,0,0,0,0
"파워링크",EGF재생크림파이토신,모바일,2,0,0,0,1,0,0,0,0
"파워링크",EGF재생크림피부과파이토신,PC,3,0,0,0,1,0,0,0,0
"파워링크",EGF재생크림피부과파이토신,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",EGF재생크림피부과파이토신미백,PC,2,0,0,0,1,0,0,0,0
"파워링크",EGF재생크림피부과파이토신미백수분크림,모바일,2,0,0,0,3,0,0,0,0
"파워링크",EGF파이토신,모바일,1,0,0,0,1,0,0,0,0
"파워링크",EGF파이토신재생크림,모바일,1,0,0,0,1,0,0,0,0
"파워링크",ELLE,PC,645,1,924,924,1,1,0,0,0
"파워링크",ELLE,모바일,"4,253",8,518,"4,147",1.9,1,0,0,0
"파워링크",ELLE#,PC,1,0,0,0,1,0,0,0,0
"파워링크",ELLE#,모바일,5,0,0,0,2.6,0,0,0,0
"파워링크",ELLE란,모바일,2,0,0,0,2,0,0,0,0
"파워링크",HA,PC,7,0,0,0,7,0,0,0,0
"파워링크",HOMECARE,PC,32,0,0,0,1,0,0,0,0
"파워링크",H에이,PC,2,0,0,0,3,0,0,0,0
"파워링크",K-메디페어,PC,2,0,0,0,1,0,0,0,0
"파워링크",K메디페어,PC,2,0,0,0,1,0,0,0,0
"파워링크",M.A.D,PC,16,0,0,0,2.3,0,0,0,0
"파워링크",M.A.D,모바일,70,1,759,759,2,1.83,12.5,0,0
"파워링크",M.A.DSKINCARE,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",M.A.D레스큐,PC,1,0,0,0,3,0,0,0,0
"파워링크",M.A.D매드공구/아크네드라잉로션30ML,모바일,1,0,0,0,3,0,0,0,0
"파워링크",M.A.D스킨,모바일,1,0,0,0,3,0,0,0,0
"파워링크",M.A.D스킨케어,모바일,2,1,880,880,3,1,0,0,0
"파워링크",MADSKINCARE,PC,4,0,0,0,3.5,0,0,0,0
"파워링크",MADSKINCARE,모바일,27,1,781,781,2.9,1.5,3.5,0,0
"파워링크",MADSKIN드라잉,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MAD레스큐,모바일,2,0,0,0,3,0,0,0,0
"파워링크",MAD매드레스큐,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MAD매드레스큐세럼,모바일,3,0,0,0,3,0,0,0,0
"파워링크",MAD스킨,PC,1,0,0,0,5,0,0,0,0
"파워링크",MAD스킨,모바일,1,0,0,0,4,0,0,0,0
"파워링크",MAD스킨케어,PC,6,0,0,0,4.3,0,0,0,0
"파워링크",MAD스킨케어,모바일,5,0,0,0,3.8,0,0,0,0
"파워링크",MAD아크네드라잉,PC,1,0,0,0,1,0,0,0,0
"파워링크",MAD아크네드라잉,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MAD화장품,PC,3,0,0,0,3,0,0,0,0
"파워링크",MAD화장품,모바일,18,1,957,957,2.7,1,0,0,0
"파워링크",MARYCOHR,PC,30,1,726,726,1.7,1,0,0,0
"파워링크",MARYCOHR,모바일,494,23,686,"15,774",1.7,1.31,4.81,1,"126,000"
"파워링크",MARYCOHR수딩클렌징밀크,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MEDIPAIR,PC,14,0,0,0,2.4,0,0,0,0
"파워링크",MEDIPAIR,모바일,91,6,"1,014","6,083",2.6,1.22,4,0,0
"파워링크",MERNEER,PC,18,1,462,462,2.7,1,0,0,0
