"쇼핑검색보고서(2024.12.01.~2024.12.31.),dlolabs2:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","""MEG-3""영양제성분",PC,1,0,0,0,1,0,0,0,0
"파워링크","#CORE",모바일,1,0,0,0,3,0,0,0,0
"파워링크","#멀티비타민제",모바일,2,0,0,0,2,0,0,0,0
"파워링크","#유산균영양제",모바일,1,0,0,0,1,0,0,0,0
"파워링크",(주)유한양행영양제,모바일,1,0,0,0,3,0,0,0,0
"파워링크",(주)좋은비타민,PC,8,0,0,0,1,0,0,0,0
"파워링크",(주)좋은비타민,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.CORE,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1+1영양제,모바일,2,0,0,0,2,0,0,0,0
"파워링크",100%천연비타민,모바일,3,0,0,0,1,0,0,0,0
"파워링크",1000억유산균,PC,1,0,0,0,18,0,0,0,0
"파워링크",100억생유산균,PC,1,0,0,0,15,0,0,0,0
"파워링크",100억생유산균,모바일,1,0,0,0,14,0,0,0,0
"파워링크",100억유산균,모바일,4,0,0,0,41.5,0,0,0,0
"파워링크",100억유산균추천,PC,1,0,0,0,14,0,0,0,0
"파워링크",100억유산균추천,모바일,1,0,0,0,14,0,0,0,0
"파워링크",100억유산균캡슐,PC,"2,117",1,539,539,4.6,1,0,0,0
"파워링크",100억유산균캡슐,모바일,4,0,0,0,2.8,0,0,0,0
"파워링크",100억프로바이오틱스,PC,1,0,0,0,18,0,0,0,0
"파워링크",100억프로바이오틱스,모바일,1,0,0,0,21,0,0,0,0
"파워링크",10대영양제,PC,1,0,0,0,13,0,0,0,0
"파워링크",17종유산균,PC,10,0,0,0,6.2,0,0,0,0
"파워링크",17종유산균,모바일,1,0,0,0,6,0,0,0,0
"파워링크",19종유산균,PC,6,0,0,0,5.5,0,0,0,0
"파워링크",19종유산균,모바일,1,0,0,0,6,0,0,0,0
"파워링크",1영양제,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1일1팩비타민,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1일1포비타민,PC,1,0,0,0,2,0,0,0,0
"파워링크",1일1포비타민,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1일비타민C,PC,10,0,0,0,1,0,0,0,0
"파워링크",1일비타민C,모바일,34,0,0,0,1.8,0,0,0,0
"파워링크",1일비타민C권장량,PC,11,0,0,0,1,0,0,0,0
"파워링크",1일비타민C권장량,모바일,43,5,77,385,1,1,0,0,0
"파워링크",1일영양제,PC,1,0,0,0,17,0,0,0,0
"파워링크",1일영양제,모바일,1,0,0,0,18,0,0,0,0
"파워링크",1일한포비타민,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1조유산균,PC,3,0,0,0,10.7,0,0,0,0
"파워링크",1조유산균,모바일,1,0,0,0,12,0,0,0,0
"파워링크",1포멀티비타민,PC,2,1,319,319,2,1,0,0,0
"파워링크",1포비타민약국,PC,1,0,0,0,2,0,0,0,0
"파워링크",1포영양제,PC,1,0,0,0,10,0,0,0,0
"파워링크",1포키즈영양제,모바일,1,0,0,0,3,0,0,0,0
"파워링크",2000억유산균,PC,5,0,0,0,6.4,0,0,0,0
"파워링크",2000억유산균,모바일,3,0,0,0,3.7,0,0,0,0
"파워링크",200억유산균,PC,1,0,0,0,10,0,0,0,0
"파워링크",200억유산균,모바일,1,0,0,0,8,0,0,0,0
"파워링크",2030비타민,PC,3,0,0,0,1,0,0,0,0
"파워링크",2030영양제,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",2030영양제,모바일,5,0,0,0,2.6,0,0,0,0
"파워링크",20대남성비타민,PC,2,0,0,0,17,0,0,0,0
"파워링크",20대남자멀티비타민,PC,1,0,0,0,15,0,0,0,0
"파워링크",20대남자비타민,PC,1,0,0,0,17,0,0,0,0
"파워링크",20대남자영양제,모바일,1,0,0,0,37,0,0,0,0
"파워링크",20대남자종합영양제,PC,1,0,0,0,11,0,0,0,0
"파워링크",20대눈영양제,PC,1,0,0,0,14,0,0,0,0
"파워링크",20대멀티비타민추천,PC,2,0,0,0,8,0,0,0,0
"파워링크",20대비타민,PC,1,0,0,0,22,0,0,0,0
"파워링크",20대여성멀티비타민,PC,1,0,0,0,11,0,0,0,0
"파워링크",20대여성영양제,PC,2,0,0,0,23.5,0,0,0,0
"파워링크",20대여성영양제,모바일,7,0,0,0,5,0,0,0,0
"파워링크",20대여성종합비타민,PC,1,0,0,0,18,0,0,0,0
"파워링크",20대여성종합영양제,PC,1,0,0,0,13,0,0,0,0
