"쇼핑검색보고서(2024.12.01.~2024.12.31.),hanarack1095"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","""철제선반경량랙""",모바일,1,0,0,0,1,0,0,0,0
"파워링크","#철재선반",모바일,1,0,0,0,1,0,0,0,0
"파워링크",-캐스터,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1000선반,PC,1,0,0,0,4,0,0,0,0
"파워링크",1000선반,모바일,8,0,0,0,3,0,0,0,0
"파워링크",1000앵글선반4단,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1000프레임렉,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10파레트적재,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1100*700*1800철제선반,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1100*900렉,모바일,1,1,77,77,1,1,0,0,0
"파워링크",11005단선반,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1100경량랙,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1100랙,PC,1,0,0,0,2,0,0,0,0
"파워링크",1100선반,PC,1,0,0,0,6,0,0,0,0
"파워링크",1100선반,모바일,3,0,0,0,5,0,0,0,0
"파워링크",1100팬트리선반,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1200랙선반,PC,1,0,0,0,2,0,0,0,0
"파워링크",1200랙선반,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1200렉선반,PC,1,0,0,0,1,0,0,0,0
"파워링크",1200무볼트앵글,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1200바퀴랙,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1200선반,PC,4,0,0,0,7.8,0,0,0,0
"파워링크",1200선반,모바일,3,0,0,0,8.7,0,0,0,0
"파워링크",1300가로앵글랙,PC,1,0,0,0,1,0,0,0,0
"파워링크",1300랙,PC,1,0,0,0,1,0,0,0,0
"파워링크",1300랙,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1300랙선반,모바일,1,0,0,0,2,0,0,0,0
"파워링크",1300렉진열대,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1300선반,PC,7,0,0,0,1.9,0,0,0,0
"파워링크",1300선반,모바일,5,0,0,0,3.4,0,0,0,0
"파워링크",1300앵글선반,PC,1,0,0,0,1,0,0,0,0
"파워링크",1300철제선반,모바일,1,0,0,0,2,0,0,0,0
"파워링크",14파레트적재,모바일,1,0,0,0,1,0,0,0,0
"파워링크",150KG경량랙,PC,1,0,0,0,1,0,0,0,0
"파워링크",150KG하중랙,PC,1,0,0,0,3,0,0,0,0
"파워링크",1800900랙,PC,1,0,0,0,1,0,0,0,0
"파워링크",1800중량랙,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1단자재랙,PC,1,0,0,0,3,0,0,0,0
"파워링크",1단화이트철제랙,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1인가구선반,PC,1,0,0,0,1,0,0,0,0
"파워링크",1인가구선반,모바일,4,0,0,0,1,0,0,0,0
"파워링크",1인가구수납,PC,1,0,0,0,1,0,0,0,0
"파워링크",1인가구수납,모바일,2,0,0,0,2,0,0,0,0
"파워링크",1인가구옷걸이,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1인가구행거,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",1인가구행거,모바일,7,0,0,0,2.6,1,0,0,0
"파워링크",1파레트적재,PC,3,0,0,0,2,0,0,0,0
"파워링크",1파레트적재높이,PC,2,0,0,0,1,0,0,0,0
"파워링크",1파레트적재높이,모바일,1,0,0,0,1,0,0,0,0
"파워링크",1파레트적재중량,PC,1,0,0,0,1,0,0,0,0
"파워링크",200KG경량랙설치200KG,모바일,1,0,0,0,3,0,0,0,0
"파워링크",200KG하중랙,모바일,1,1,88,88,1,1,0,0,0
"파워링크",2구렉선반,PC,1,0,0,0,2,0,0,0,0
"파워링크",2단700랙선반,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2단선반,PC,66,0,0,0,3.8,0,0,0,0
"파워링크",2단선반,모바일,112,1,649,649,4.3,0,0,0,0
"파워링크",2단소형철제수납장,PC,1,0,0,0,1,0,0,0,0
"파워링크",2단철재선반,PC,1,0,0,0,4,0,0,0,0
"파워링크",2단철재선반,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",2단철제높이조절선반,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2단철제선반,PC,7,0,0,0,8,0,0,0,0
"파워링크",2단철제선반,모바일,9,0,0,0,10.3,0,0,0,0
"파워링크",2단철제선반가로700,PC,1,0,0,0,2,0,0,0,0
"파워링크",2단철제중량랙,PC,1,0,0,0,3,0,0,0,0
"파워링크",2철재랙,PC,1,0,0,0,1,0,0,0,0
"파워링크",2호선반,PC,1,0,0,0,1,0,0,0,0
"파워링크","3""경량캐스터",PC,1,0,0,0,1,0,0,0,0
"파워링크",300KG경량랙,모바일,1,0,0,0,2,0,0,0,0
"파워링크",300KG선반,PC,1,0,0,0,3,0,0,0,0
"파워링크",300KG중량랙,모바일,1,0,0,0,1,0,0,0,0
"파워링크",300KG하중철제선반,PC,1,0,0,0,2,0,0,0,0
"파워링크",3단높이조절다용도랙,PC,1,0,0,0,2,0,0,0,0
