"쇼핑검색보고서(2024.12.01.~2024.12.31.),juahnnlee"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","#슈",모바일,1,0,0,0,1,0,0,0,0
"파워링크",((주)안앤리,PC,1,0,0,0,1,0,0,0,0
"파워링크",(주)안앤리슈케어,모바일,1,1,77,77,1,2,4,0,0
"파워링크",-슈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",.........슈,PC,1,0,0,0,1,0,0,0,0
"파워링크",.슈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2._.슈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",530뉴발란스운동화끈,모바일,1,0,0,0,2,0,0,0,0
"파워링크",530운동화끈,모바일,1,0,0,0,2,0,0,0,0
"파워링크",878우동끈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",878운동화끈,PC,1,0,0,0,2,0,0,0,0
"파워링크",991뉴발고무신발끈,모바일,1,0,0,0,2,0,0,0,0
"파워링크",992운동화끈,PC,2,0,0,0,2,0,0,0,0
"파워링크",992운동화끈,모바일,4,0,0,0,2,0,0,0,0
"파워링크",993끈슈케어,모바일,1,0,0,0,1,0,0,0,0
"파워링크",993운동화끈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",CONVERSE커스텀,PC,2,0,0,0,3,0,0,0,0
"파워링크",KAPRUBBERBOND신발접착제,PC,2,0,0,0,2,0,0,0,0
"파워링크",OUTSOL,PC,1,0,0,0,2,0,0,0,0
"파워링크",OUTSOLE,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",OUTSOLE,모바일,2,0,0,0,3,0,0,0,0
"파워링크",SB덩크끈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SB덩크끈묶는법,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SB덩크로우끈마무리,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SB덩크로우신발끈,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SCOTT신발,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SCOT운동화,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SHOECARE,PC,12,0,0,0,1.9,0,0,0,0
"파워링크",SHOECARE,모바일,14,0,0,0,2,0,0,0,0
"파워링크",SHOESCARE,PC,1,0,0,0,2,0,0,0,0
"파워링크",SHOESCARE,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",\슈,PC,1,0,0,0,1,0,0,0,0
"파워링크",가죽구두슈케어,모바일,3,0,0,0,3,0,0,0,0
"파워링크",가죽빨래,모바일,2,0,0,0,3,0,0,0,0
"파워링크",가죽세탁,PC,113,0,0,0,5.4,0,0,0,0
"파워링크",가죽세탁,모바일,178,0,0,0,3.7,0,0,0,0
"파워링크",가죽슈케어,PC,1,0,0,0,2,0,0,0,0
"파워링크",가죽슈케어,모바일,7,0,0,0,2.3,0,0,0,0
"파워링크",가죽슈케어용품,PC,1,0,0,0,2,0,0,0,0
"파워링크",가죽신발슈케어,모바일,8,0,0,0,2.5,0,0,0,0
"파워링크",가죽신발슈케어시간,모바일,1,0,0,0,3,0,0,0,0
"파워링크",가죽신발신발끈,PC,1,0,0,0,3,0,0,0,0
"파워링크",가죽신발운동화끈,모바일,1,1,187,187,3,1.5,11.5,0,0
"파워링크",가죽신발커스텀물감,모바일,1,0,0,0,3,0,0,0,0
