"쇼핑검색보고서(2024.12.01.~2024.12.31.),jun0897"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",10M단열벽지,모바일,9,0,0,0,2.9,0,0,0,0
"파워링크",10M벽지색상,모바일,37,3,99,297,1,1.17,2.83,0,0
"파워링크",10M벽지색상10M벽지색상,모바일,1,0,0,0,1,0,0,0,0
"파워링크",10M폼블럭벽지,모바일,14,0,0,0,1.1,0,0,0,0
"파워링크",10단열벽지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",110블록시공,PC,1,0,0,0,1,0,0,0,0
"파워링크",1M벽지시공,모바일,1,0,0,0,1,0,0,0,0
"파워링크",2.5M접착식단열벽지폼블럭시트지인테리어벽지,PC,1,0,0,0,3,0,0,0,0
"파워링크",20M모던화이트폼블럭벽지,모바일,12,0,0,0,1,2,8,0,0
"파워링크",20M모던화이트폼블럭벽지벽돌바크로,모바일,0,0,0,0,0,1,0,0,0
"파워링크",20M접착식단열벽지폼블럭,모바일,1,0,0,0,2,0,0,0,0
"파워링크",20M폼블럭벽지,모바일,8,0,0,0,1,0,0,0,0
"파워링크",20M폼블럭벽지모던화이트,모바일,0,0,0,0,0,1,0,0,0
"파워링크",20미터5MM단열벽지,PC,1,0,0,0,1,0,0,0,0
"파워링크",3D벽지,PC,65,0,0,0,3.7,0,0,0,0
"파워링크",3D벽지,모바일,289,4,149,594,3.4,1,0,0,0
"파워링크",3D입체단열벽지10M스티커셀프시공,PC,2,0,0,0,3,0,0,0,0
"파워링크",3D입체단열벽지20M스티커셀프시공,PC,1,0,0,0,3,0,0,0,0
"파워링크",3D입체벽지,PC,5,0,0,0,2.2,0,0,0,0
"파워링크",3D입체벽지,모바일,5,0,0,0,4.8,0,0,0,0
"파워링크",3D폼벽돌벽지스티커,모바일,1,0,0,0,3,0,0,0,0
"파워링크","4""파이프단열재",PC,1,0,0,0,1,0,0,0,0
"파워링크",50M보온벽지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",5MM방한벽지,PC,1,0,0,0,2,0,0,0,0
"파워링크",5MM접착식단열벽지20,PC,1,0,0,0,2,0,0,0,0
"파워링크",5MM폼벽지,모바일,2,0,0,0,1,0,0,0,0
"파워링크",5M폼블럭,PC,1,0,0,0,1,0,0,0,0
"파워링크",BEST벽지,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOAMBLOCKS,모바일,1,0,0,0,1,0,0,0,0
"파워링크",KG접착식단열벽지,모바일,2,1,154,154,2,2,53.67,0,0
"파워링크",PIPE보온재,PC,2,0,0,0,3,0,0,0,0
"파워링크",거실무늬풀바른벽지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",거실벽지붙이는시트지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",거실벽지폼블럭,모바일,1,0,0,0,1,0,0,0,0
"파워링크",거실벽폼블럭,모바일,2,0,0,0,1,0,0,0,0
"파워링크",거실벽폼블럭벽지,모바일,1,1,418,418,1,1,0,0,0
"파워링크",거실포인터벽지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",거실포인트벽지,모바일,2,0,0,0,23.5,0,0,0,0
"파워링크",거실폼블럭벽지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",거실폼시트지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",겨울.단열벽지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",겨울난방붙이는벽지,모바일,3,0,0,0,3,0,0,0,0
"파워링크",겨울벽지,PC,47,0,0,0,3.3,0,0,0,0
"파워링크",겨울벽지,모바일,1,0,0,0,12,0,0,0,0
"파워링크",겨울접착식단열벽지,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",결로벽지폼블럭,모바일,1,0,0,0,2,0,0,0,0
"파워링크",결로벽지효과,PC,1,0,0,0,2,0,0,0,0
"파워링크",결로벽지효과,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",결로벽폼블럭,PC,1,0,0,0,2,0,0,0,0
"파워링크",결로벽폼블럭,모바일,1,0,0,0,1,0,0,0,0
"파워링크",결로폼블럭벽지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",곰팡이.벽에.단열벽지셀프,모바일,1,0,0,0,3,0,0,0,0
"파워링크",곰팡이벽단열벽지붙이기,모바일,1,0,0,0,3,0,0,0,0
"파워링크",곰팡이벽에폼블럭,모바일,1,0,0,0,2,0,0,0,0
"파워링크",곰팡이벽지에폼블럭,모바일,1,0,0,0,2,0,0,0,0
"파워링크",곰팡이벽지체크화이트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",곰팡이벽지폼블럭,모바일,1,0,0,0,1,0,0,0,0
"파워링크",곰팡이폼블럭단열벽지,모바일,1,1,253,253,2,1.5,5.5,0,0
"파워링크",곰팡이폼블럭베란다시공,모바일,1,0,0,0,1,0,0,0,0
"파워링크",곰팡이폼블럭벽지,모바일,2,0,0,0,2,0,0,0,0
"파워링크",그레이색폼블럭시트지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",그레이폼블럭벽지,모바일,5,3,205,616,1,3.25,40.13,0,0
"파워링크",꽃무늬단열벽지,모바일,5,0,0,0,1.8,0,0,0,0
"파워링크",꽃무늬단열벽지20M,모바일,1,0,0,0,1,0,0,0,0
"파워링크",꽃무늬벽지,모바일,27,0,0,0,7.7,0,0,0,0
"파워링크",꽃무늬접착식단열벽지,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",난방단열벽지,모바일,11,0,0,0,1.7,0,0,0,0
"파워링크",난방벽지,PC,121,6,374,"2,244",1.8,1.45,14.18,0,0
"파워링크",난방벽지,모바일,611,36,323,"11,638",3.1,1.36,33.52,0,0
"파워링크",난방벽지10M,모바일,2,1,66,66,1,0.5,0,1,0
"파워링크",난방벽지접착식,모바일,37,0,0,0,2.2,0,0,0,0
"파워링크",난방시트지,PC,21,2,303,605,1.8,1.5,625.5,0,0
"파워링크",난방시트지,모바일,2,0,0,0,6,0,0,0,0
"파워링크",난방접착식난방벽지,모바일,12,0,0,0,1.8,0,0,0,0
"파워링크",난방필름단열재50M,모바일,1,0,0,0,1,0,0,0,0
"파워링크",낱장벽시트지,PC,2,0,0,0,1,0,0,0,0
"파워링크",넓은시트벽지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",누아쥬화이트벽지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열.벽지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열.셀프시공,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열5MM벽지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",단열공사,모바일,2,0,0,0,38.5,0,0,0,0
"파워링크",단열과도배,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열과인테리어폼블럭,모바일,2,0,0,0,1,0,0,0,0
"파워링크",단열난방폼블럭베이지,모바일,1,1,319,319,1,0.67,4.33,0,0
"파워링크",단열도배,PC,48,0,0,0,2.9,0,0,0,0
"파워링크",단열도배,모바일,151,8,276,"2,211",2.8,2,15.92,0,0
"파워링크",단열도배시공,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열도배지,PC,39,4,146,583,4.1,4.11,140.33,1,"145,000"
"파워링크",단열도배지,모바일,16,0,0,0,4.1,0,0,0,0
"파워링크",단열디자인폼벽지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열매트벽지용,모바일,2,0,0,0,1,0,0,0,0
"파워링크",단열매트블럭,PC,1,0,0,0,1,0,0,0,0
"파워링크",단열매트접착식,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열무늬벽지,모바일,3,1,99,99,2,7,184,0,0
"파워링크",단열방풍벽지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",단열벽10M,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열벽돌그레이벽지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열벽돌폼블럭,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",단열벽블럭,PC,1,0,0,0,3,0,0,0,0
"파워링크",단열벽지,PC,"5,863",203,"1,672","339,416",1.2,2.28,99.24,23,"458,200"
"파워링크",단열벽지,모바일,"25,580","1,574",841,"1,324,147",1.1,1.6,36.03,115,"2,254,312"
"파워링크",단열벽지+구름,PC,1,0,0,0,1,0,0,0,0
"파워링크",단열벽지.바인더,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열벽지.접착종류,모바일,1,0,0,0,2,0,0,0,0
"파워링크",단열벽지10M,PC,12,0,0,0,2.6,0,0,0,0
"파워링크",단열벽지10M비접착,PC,1,0,0,0,2,0,0,0,0
"파워링크",단열벽지10T셀프시공,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열벽지10미터,모바일,1,0,0,0,1,0,0,0,0
"파워링크",단열벽지20M,PC,111,9,364,"3,278",2.8,1.57,52.5,1,"145,000"
"파워링크",단열벽지20M,모바일,33,1,99,99,12,1,0,0,0
"파워링크",단열벽지20M5MM,모바일,1,0,0,0,3,0,0,0,0
"파워링크",단열벽지20M단열벽지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",단열벽지20M단열벽지_화이트20M,PC,1,0,0,0,2,0,0,0,0
"파워링크",단열벽지20M실크접착식,모바일,1,0,0,0,1,0,0,0,0
