"쇼핑검색보고서(2024.12.01.~2024.12.31.),lenivmark:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","#웜아이보리/미니스트링백팩",모바일,1,0,0,0,1,0,0,0,0
"파워링크",-LENEE.B-스트링백팩아이보리,모바일,1,1,231,231,1,1,0,0,0
"파워링크",10만원대숄더백,PC,10,0,0,0,2.6,0,0,0,0
"파워링크",10만원대숄더백,모바일,45,0,0,0,2,0,0,0,0
"파워링크",10만원대여성가방,PC,8,0,0,0,2.8,0,0,0,0
"파워링크",10만원대여성가방,모바일,6,0,0,0,5.3,0,0,0,0
"파워링크",10만원대여자가방,PC,37,0,0,0,4.7,0,0,0,0
"파워링크",10만원대여자가방,모바일,8,0,0,0,5.9,0,0,0,0
"파워링크",20대가방,PC,5,0,0,0,22.6,0,0,0,0
"파워링크",20대가방,모바일,2,1,154,154,15.5,4,28,0,0
"파워링크",20대가방브랜드,PC,5,0,0,0,13.8,0,0,0,0
"파워링크",20대가방브랜드,모바일,15,0,0,0,12.4,0,0,0,0
"파워링크",20대가방브랜드숄더백,모바일,3,0,0,0,1,0,0,0,0
"파워링크",20대가방추천,PC,4,0,0,0,11,0,0,0,0
"파워링크",20대가방추천,모바일,13,1,165,165,13.3,1,0,0,0
"파워링크",20대가벼운크로스백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대가죽가방,모바일,8,0,0,0,1.4,0,0,0,0
"파워링크",20대가죽가방브랜드,모바일,1,0,0,0,3,0,0,0,0
"파워링크",20대가죽가방쇼핑몰추천,모바일,3,0,0,0,1,0,0,0,0
"파워링크",20대가죽가방추천,모바일,4,0,0,0,1,0,0,0,0
"파워링크",20대가죽백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대가죽백팩,PC,1,0,0,0,1,0,0,0,0
"파워링크",20대가죽백팩,모바일,7,0,0,0,1,0,0,0,0
"파워링크",20대가죽토트백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대나일론가방,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대나일론가방브랜드,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대나일론백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대나일론백팩,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대나일론크로스백,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",20대대학생백팩,모바일,2,0,0,0,1,0,0,0,0
"파워링크",20대데일리가방,모바일,1,0,0,0,8,0,0,0,0
"파워링크",20대데일리백,PC,1,0,0,0,8,0,0,0,0
"파워링크",20대데일리백,모바일,2,0,0,0,7,0,0,0,0
"파워링크",20대데일리백팩,모바일,1,0,0,0,2,0,0,0,0
"파워링크",20대데일리숄더백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대데일리크로스백,모바일,2,0,0,0,3,0,0,0,0
"파워링크",20대디자이너가방,PC,16,1,143,143,2.9,2,6,0,0
"파워링크",20대디자이너가방,모바일,40,0,0,0,2.3,0,0,0,0
"파워링크",20대디자이너백,PC,2,0,0,0,3,0,0,0,0
"파워링크",20대디자이너백,모바일,23,0,0,0,2.1,0,0,0,0
"파워링크",20대디자이너백팩,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대미니백,PC,3,0,0,0,8,0,0,0,0
"파워링크",20대미니백,모바일,1,0,0,0,9,0,0,0,0
"파워링크",20대미니백팩,PC,1,0,0,0,2,0,0,0,0
"파워링크",20대미니백팩,모바일,12,0,0,0,1.3,0,0,0,0
"파워링크",20대미니백팩추천,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대미니숄더백,모바일,4,1,110,110,1,1,0,0,0
"파워링크",20대미니크로스백,PC,1,0,0,0,6,0,0,0,0
"파워링크",20대미니크로스백,모바일,3,0,0,0,3.7,0,0,0,0
"파워링크",20대미니토트,모바일,1,0,0,0,2,0,0,0,0
"파워링크",20대미니토트백,모바일,5,0,0,0,1.8,0,0,0,0
"파워링크",20대백팩,PC,2,0,0,0,15.5,0,0,0,0
"파워링크",20대백팩,모바일,3,0,0,0,10.3,0,0,0,0
"파워링크",20대백팩가방,모바일,1,0,0,0,2,0,0,0,0
"파워링크",20대백팩브랜드,PC,3,0,0,0,1,0,0,0,0
"파워링크",20대백팩브랜드,모바일,12,1,121,121,1.1,1,0,0,0
"파워링크",20대백팩추천,PC,6,0,0,0,2.5,0,0,0,0
"파워링크",20대백팩추천,모바일,15,0,0,0,2.4,0,0,0,0
"파워링크",20대브라운가방,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대브라운백,모바일,1,0,0,0,3,0,0,0,0
"파워링크",20대브랜드가방,PC,4,0,0,0,4.8,0,0,0,0
"파워링크",20대브랜드가방,모바일,56,0,0,0,2.7,0,0,0,0
"파워링크",20대브랜드백,모바일,1,0,0,0,3,0,0,0,0
"파워링크",20대브랜드백팩,모바일,3,0,0,0,2,0,0,0,0
"파워링크",20대브랜드숄더백,모바일,1,0,0,0,1,0,0,0,0
"파워링크",20대브랜드크로스백,모바일,1,0,0,0,3,0,0,0,0
