"쇼핑검색보고서(2024.12.01.~2024.12.31.),m-scape:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",1인방송마이크,PC,8,0,0,0,3.5,0,0,0,0
"파워링크",1인방송마이크,모바일,9,0,0,0,2.4,0,0,0,0
"파워링크",1인방송장비,PC,46,0,0,0,4.7,0,0,0,0
"파워링크",1인방송장비,모바일,107,6,"1,041","6,248",2.8,3.43,28.14,0,0
"파워링크",1인스피커마이크,모바일,1,0,0,0,3,0,0,0,0
"파워링크",1인팟캐스트,PC,1,0,0,0,1,0,0,0,0
"파워링크",1인팟캐스트,모바일,2,0,0,0,1,0,0,0,0
"파워링크",3인녹음마이크,모바일,2,0,0,0,1,0,0,0,0
"파워링크",3인유튜브마이크,모바일,1,0,0,0,1,0,0,0,0
"파워링크",3인팟캐스트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",4I4오디오인터페이스,PC,1,0,0,0,2,0,0,0,0
"파워링크",4I4오디오인터페이스,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",AMPEG베이스,PC,1,0,0,0,3,0,0,0,0
"파워링크",AMPEG베이스,모바일,2,0,0,0,2,0,0,0,0
"파워링크",APOGEEDUET,PC,19,0,0,0,2.5,0,0,0,0
"파워링크",APOGEEDUET,모바일,23,0,0,0,2,0,0,0,0
"파워링크",APOGEEDUET3,PC,42,0,0,0,1,0,0,0,0
"파워링크",APOGEEDUET3,모바일,35,0,0,0,1,0,0,0,0
"파워링크",APOGEEDUET3아포지듀엣3홈레코딩,PC,1,0,0,0,2,0,0,0,0
"파워링크",APOGEESYMPHONY,PC,48,0,0,0,1.2,0,0,0,0
"파워링크",APOGEESYMPHONY,모바일,44,0,0,0,1,0,0,0,0
"파워링크",APOGEESYMPHONYDESKTOP,PC,5,0,0,0,1,0,0,0,0
"파워링크",APOGEESYMPHONYDESKTOP,모바일,7,0,0,0,1,0,0,0,0
"파워링크",APOGEESYMPHONYDESKTOP/아포지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",APOGEE듀엣3,모바일,1,0,0,0,1,0,0,0,0
"파워링크",APOGEE심포니,모바일,1,0,0,0,1,0,0,0,0
"파워링크",APOGEE심포니데스크탑,모바일,1,0,0,0,2,0,0,0,0
"파워링크",APOGEE심포니데스크탑출시,PC,1,0,0,0,1,0,0,0,0
"파워링크",APOGEE심포니데스크톱,PC,1,0,0,0,2,0,0,0,0
"파워링크",AUDIENTID14,PC,95,0,0,0,2,0,0,0,0
"파워링크",AUDIENTID14,모바일,109,1,66,66,1,1,0,0,0
"파워링크",AUDIENTID22,PC,12,0,0,0,1.6,0,0,0,0
"파워링크",AUDIENTID22,모바일,5,0,0,0,2,0,0,0,0
"파워링크",AUDIENTID4,PC,131,0,0,0,2.7,0,0,0,0
"파워링크",AUDIENTID4,모바일,101,0,0,0,2.7,0,0,0,0
"파워링크",AUDIENTID44,PC,24,0,0,0,2.7,0,0,0,0
"파워링크",AUDIENTID44,모바일,30,0,0,0,2.9,0,0,0,0
"파워링크",AUDIENT오디오인터페이스,PC,1,0,0,0,1,0,0,0,0
"파워링크",AUDIENT오디오인터페이스,모바일,2,0,0,0,1,0,0,0,0
"파워링크",AUDIENT프리앰프,모바일,1,0,0,0,1,0,0,0,0
"파워링크",AUDIOINTERFACE,PC,33,0,0,0,5.9,0,0,0,0
"파워링크",AUDIOINTERFACE,모바일,11,0,0,0,3.5,0,0,0,0
"파워링크",CUBASEPROSTEINBERG,PC,2,0,0,0,2,0,0,0,0
"파워링크",C타입오디오인터페이스,PC,2,0,0,0,1,0,0,0,0
"파워링크",C타입오디오인터페이스,모바일,9,1,110,110,1,1,0,0,0
"파워링크",DUET2,PC,2,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITE-SCARLETTSOLO4TH,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETSOLO,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT,PC,41,0,0,0,2.6,0,0,0,0
"파워링크",FOCUSRITESCARLETT,모바일,24,1,209,209,1.7,1,0,0,0
"파워링크",FOCUSRITESCARLETT18I8,PC,1,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITESCARLETT2I2,PC,135,0,0,0,2.5,0,0,0,0
"파워링크",FOCUSRITESCARLETT2I2,모바일,117,0,0,0,2.3,0,0,0,0
"파워링크",FOCUSRITESCARLETT2I2SOLO,모바일,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT2I2사용법,PC,1,0,0,0,2,0,0,0,0
"파워링크",FOCUSRITESCARLETT2I2사용법,모바일,1,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITESCARLETT3,모바일,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT4I4,PC,1,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITESCARLETT4I4,모바일,3,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITESCARLETT4I4(3세대),PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT4I43세대,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT4THGEN,PC,2,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETT4세대,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO,PC,29,0,0,0,2.1,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO,모바일,44,0,0,0,2.3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO3,PC,3,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO3,모바일,1,0,0,0,2,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO3세대,모바일,2,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO4TH,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO4세대,PC,4,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITESCARLETTSOLO4세대,모바일,2,0,0,0,2,0,0,0,0
"파워링크",FOCUSRITESCARLETT솔로,PC,2,0,0,0,2,0,0,0,0
"파워링크",FOCUSRITESCARLETT패키지,PC,1,0,0,0,2,0,0,0,0
"파워링크",FOCUSRITE\,PC,1,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITE스칼렛,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",FOCUSRITE스칼렛3세대,PC,1,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITE스칼렛솔로,PC,1,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITE스칼렛솔로,모바일,2,0,0,0,3,0,0,0,0
"파워링크",FOCUSRITE오디오인터페이스,PC,5,0,0,0,1,0,0,0,0
"파워링크",FOCUSRITE오디오인터페이스,모바일,2,0,0,0,1,0,0,0,0
"파워링크",F오디오인터페이스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MUSICSCAPE,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",MUSICSCAPE,모바일,24,0,0,0,3.3,0,0,0,0
"파워링크",PRESONUS-AUDIOBOXGO,모바일,1,0,0,0,1,0,0,0,0
"파워링크",PRESONUSAUDIOBOXGO,모바일,1,0,0,0,1,0,0,0,0
"파워링크",PRESONUSAUDIOINTERFACE,PC,3,0,0,0,2,0,0,0,0
"파워링크",PRESONUSAUDIOINTERFACE,모바일,1,0,0,0,2,0,0,0,0
"파워링크",PRESONUSREVELATOR사용법,모바일,1,0,0,0,1,0,0,0,0
"파워링크",PRESONUSSTUDIO26C,PC,7,0,0,0,1,0,0,0,0
"파워링크",PRESONUSSTUDIO26C,모바일,4,0,0,0,1,0,0,0,0
"파워링크",PRESONUSSTUDIO68C,PC,7,0,0,0,1,0,0,0,0
"파워링크",PRESONUSSTUDIO68C,모바일,2,0,0,0,1,0,0,0,0
"파워링크",PRESONUS오디오인터페이스,PC,4,0,0,0,2.5,0,0,0,0
"파워링크",PRESONUS오디오인터페이스,모바일,3,0,0,0,2,0,0,0,0
"파워링크",PRESONUS인터페이스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",PRESONUS퀀텀,PC,1,0,0,0,2,0,0,0,0
"파워링크",PRISMSOUNDLYRA2,PC,3,0,0,0,1,0,0,0,0
"파워링크",RB115암펙,모바일,1,0,0,0,3,0,0,0,0
"파워링크",RECORDINGS레코딩,PC,1,0,0,0,3,0,0,0,0
"파워링크",RMEARCREMOTE,모바일,1,0,0,0,2,0,0,0,0
"파워링크",RMEARCREMOTEUSB,PC,1,0,0,0,1,0,0,0,0
"파워링크",RMEAUDIOINTERFACE,PC,2,0,0,0,1,0,0,0,0
"파워링크",RMEAUDIOINTERFACE,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RMEBABYFACEPROFS오디오인터페이스,PC,1,0,0,0,3,0,0,0,0
"파워링크",RMEBABYFACEPROFS오디오인터페이스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",RMEBABYFACEPRO오디오인터페이스,PC,1,0,0,0,3,0,0,0,0
"파워링크",RMEBABYFACEPRO오디오인터페이스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",RMEFIREFACEUC오디오인터페이스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RME리모컨,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RME오디오인터페이스,PC,23,0,0,0,1,0,0,0,0
"파워링크",RME오디오인터페이스,모바일,40,1,209,209,1,1.5,4,0,0
"파워링크",RME오디오인터페이스BABYFACEPROFS,PC,1,0,0,0,2,0,0,0,0
"파워링크",SCARLETT/SOLO,PC,1,0,0,0,3,0,0,0,0
"파워링크",SCARLETTFOCUSRITE,모바일,1,0,0,0,1,0,0,0,0
"파워링크",SCARLETTSOLOFOCUSRITE,PC,1,0,0,0,2,0,0,0,0
"파워링크",STEINBERGAUDIOINTERFACE,PC,1,0,0,0,1,0,0,0,0
"파워링크",STEINBERGCUBASE12ELEMENT,모바일,1,0,0,0,1,0,0,0,0
"파워링크",STEINBERGCUBASE12ELEMENTS,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",STEINBERGCUBASE13,모바일,1,0,0,0,3,0,0,0,0
"파워링크",STEINBERGCUBASEPRO12,PC,1,0,0,0,1,0,0,0,0
"파워링크",STEINBERGDORICO,PC,1,0,0,0,1,0,0,0,0
"파워링크",STEINBERGDORICOPRO,PC,5,1,99,99,1,1,0,0,0
"파워링크",STEINBERGUR-RT2,PC,2,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR-RT2,모바일,4,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR-RT4,PC,5,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR-RT4,모바일,3,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR12,PC,31,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR12,모바일,15,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR44,PC,6,0,0,0,1,0,0,0,0
"파워링크",STEINBERGUR44CRED,PC,1,0,0,0,1,0,0,0,0
"파워링크",STEINBERG오디오인터페이스,PC,12,0,0,0,1,0,0,0,0
"파워링크",STEINBERG오디오인터페이스,모바일,5,0,0,0,1,0,0,0,0
"파워링크",STEINBERG큐베이스프로12,PC,1,0,0,0,2,0,0,0,0
"파워링크",STUDIO26C,PC,13,0,0,0,2.4,0,0,0,0
"파워링크",STUDIO26C,모바일,2,0,0,0,3,0,0,0,0
"파워링크",STUDIO68C,PC,1,0,0,0,1,0,0,0,0
"파워링크",STUDIO68C,모바일,2,0,0,0,1,0,0,0,0
"파워링크",SYMPHONYDESKTOP,PC,10,0,0,0,1,0,0,0,0
"파워링크",SYMPHONYDESKTOP,모바일,4,0,0,0,1,0,0,0,0
"파워링크",SYMPHONYDESKTOP아포지심포니데스크탑,PC,1,0,0,0,1,0,0,0,0
"파워링크",SYMPHONY심포니,PC,1,0,0,0,1,0,0,0,0
"파워링크",TASCAMAUDIOINTERFACE,PC,1,0,0,0,1,0,0,0,0
"파워링크",TASCAM오디오인터페이스,PC,15,0,0,0,1,0,0,0,0
"파워링크",TASCAM오디오인터페이스,모바일,12,0,0,0,1,0,0,0,0
"파워링크",TASCAM윈드스크린,PC,1,0,0,0,1,0,0,0,0
"파워링크",TASCAM인터페이스,모바일,8,0,0,0,1.1,0,0,0,0
"파워링크",USB마이크레코딩,PC,1,0,0,0,1,0,0,0,0
"파워링크",USB마이크오디오인터페이스,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",USB마이크오디오인터페이스,모바일,5,0,0,0,2.8,0,0,0,0
"파워링크",USB마이크용오디오인터페이스,PC,1,0,0,0,2,0,0,0,0
"파워링크",USB마이크인터페이스,PC,1,0,0,0,3,0,0,0,0
"파워링크",USB마이크인터페이스,모바일,2,0,0,0,2,0,0,0,0
"파워링크",USB마이크장비홈레코딩,모바일,1,0,0,0,2,0,0,0,0
"파워링크",USB음악녹음용마이크,모바일,2,1,220,220,1.5,1,0,0,0
"파워링크",USB케이블오디오인터페이스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",YAMAHA-AG03,PC,1,0,0,0,2,0,0,0,0
"파워링크",YAMAHAAG-03,모바일,4,0,0,0,2,0,0,0,0
"파워링크",YAMAHAAG03,PC,2,0,0,0,3,0,0,0,0
"파워링크",YAMAHAAG03,모바일,9,0,0,0,2.7,0,0,0,0
"파워링크",YAMAHAAG06,PC,51,0,0,0,2,0,0,0,0
"파워링크",YAMAHAAG06,모바일,19,0,0,0,1.9,0,0,0,0
"파워링크",YAMAHAAUDIOINTERFACE,모바일,1,0,0,0,2,0,0,0,0
"파워링크",YAMAHA오디오인터페이스,PC,7,0,0,0,1.7,0,0,0,0
"파워링크",YAMAHA오디오인터페이스,모바일,2,0,0,0,2,0,0,0,0
"파워링크",YOUTUBEAUDIO,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",YOUTUBEAUDIO,모바일,8,0,0,0,1.1,0,0,0,0
"파워링크",YOUTUBE이어폰,모바일,1,0,0,0,1,0,0,0,0
"파워링크",개인방송마이크,PC,7,0,0,0,4.3,0,0,0,0
"파워링크",개인방송마이크,모바일,55,0,0,0,1.9,0,0,0,0
"파워링크",개인방송이어폰,PC,1,0,0,0,1,0,0,0,0
"파워링크",개인방송이어폰,모바일,4,0,0,0,1,0,0,0,0
"파워링크",개인방송장비,PC,113,1,"1,001","1,001",4.6,3,"1,560",0,0
"파워링크",개인방송장비,모바일,33,1,"1,100","1,100",4.4,7,33,0,0
"파워링크",개인음악방송장비,모바일,2,1,77,77,1,1.75,15.5,0,0
"파워링크",녹음용마이크,PC,401,6,"1,162","6,974",1.5,5.83,130.67,0,0
"파워링크",녹음용마이크,모바일,922,14,960,"13,442",2,1.58,11.21,0,0
"파워링크",다이나믹마이크홈레코딩,모바일,1,0,0,0,1,0,0,0,0
"파워링크",라방마이크,PC,8,0,0,0,2.5,0,0,0,0
"파워링크",라방마이크,모바일,21,0,0,0,1.3,0,0,0,0
"파워링크",라방장비,모바일,2,0,0,0,7,0,0,0,0
"파워링크",라이브방송마이크,PC,22,0,0,0,2.5,0,0,0,0
"파워링크",라이브방송마이크,모바일,35,0,0,0,1.2,0,0,0,0
"파워링크",라이브방송장비,PC,3,0,0,0,7.3,0,0,0,0
"파워링크",라이브방송장비,모바일,4,0,0,0,6,0,0,0,0
"파워링크",레코딩오디오인터페이스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",마이크USB인터페이스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",마이크방송음향기기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",마이크방송장비,PC,3,0,0,0,3,0,0,0,0
"파워링크",마이크방송장비,모바일,1,0,0,0,2,0,0,0,0
"파워링크",마이크오디오인터페이스세트,모바일,1,0,0,0,2,0,0,0,0
"파워링크",마이크팟캐스트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",마이크패키지오디오,모바일,2,0,0,0,2,0,0,0,0
"파워링크",뮤직스케이프,PC,78,1,77,77,1.5,3,38,0,0
"파워링크",뮤직스케이프,모바일,32,0,0,0,1.5,0,0,0,0
"파워링크",뮤직팟캐스트,모바일,1,0,0,0,2,0,0,0,0
"파워링크",믹서형오디오인터페이스,PC,1,0,0,0,1,0,0,0,0
"파워링크",믹서형오디오인터페이스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",방송마이크장비,모바일,2,0,0,0,3,0,0,0,0
"파워링크",방송오디오인터페이스,PC,1,0,0,0,2,0,0,0,0
"파워링크",방송음악마이크,PC,1,0,0,0,1,0,0,0,0
"파워링크",방송장비마이크,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",방송장비마이크,모바일,5,0,0,0,2.2,0,0,0,0
"파워링크",방송장비오디오,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",방송장비오디오,모바일,1,0,0,0,3,0,0,0,0
"파워링크",베이비페이스RME오디오인터페이스,PC,1,0,0,0,2,0,0,0,0
"파워링크",베이스.암펙,모바일,1,0,0,0,2,0,0,0,0
"파워링크",베이스AMPEG,모바일,1,0,0,0,3,0,0,0,0
"파워링크",베이스암펙,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",베이스암펙,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",베이스암펙앰프,모바일,1,0,0,0,2,0,0,0,0
"파워링크",베이스앰프RB108,PC,1,0,0,0,1,0,0,0,0
"파워링크",베이스앰프암펙,PC,1,0,0,0,2,0,0,0,0
"파워링크",베이스앰프암펙,모바일,9,0,0,0,1.8,0,0,0,0
"파워링크",보컬오디오인터페이스,PC,1,0,0,0,3,0,0,0,0
"파워링크",보컬오디오인터페이스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",생방송마이크,PC,1,0,0,0,2,0,0,0,0
"파워링크",생방송장비,모바일,1,0,0,0,4,0,0,0,0
"파워링크",스마트폰.오디오인터페이스,모바일,2,0,0,0,2,0,0,0,0
"파워링크",스마트폰오디오인터페이스,PC,3,0,0,0,2,0,0,0,0
"파워링크",스칼렛FOCUSRITE,PC,1,0,0,0,3,0,0,0,0
"파워링크",스칼렛솔로4세대포커스라이트,모바일,3,0,0,0,3,0,0,0,0
"파워링크",스칼렛솔로사용법,PC,1,0,0,0,2,0,0,0,0
