"쇼핑검색보고서(2024.12.01.~2024.12.31.),mrsnow71:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",노카페인커피,PC,25,0,0,0,1.8,0,0,0,0
"파워링크",노카페인커피,모바일,131,2,"1,078","2,156",1.7,0,0,0,0
"파워링크",드립백디카페인,PC,2,0,0,0,3,0,0,0,0
"파워링크",드립백디카페인,모바일,25,0,0,0,2.9,0,0,0,0
"파워링크",디카페인,모바일,151,0,0,0,4.7,0,0,0,0
"파워링크",디카페인드립백,PC,335,2,"1,392","2,783",2.6,0,0,0,0
"파워링크",디카페인드립백,모바일,"1,189",10,"1,438","14,377",2.8,0,0,0,0
"파워링크",디카페인드립백커피,PC,25,0,0,0,1.1,0,0,0,0
"파워링크",디카페인드립백커피,모바일,40,0,0,0,1,0,0,0,0
"파워링크",디카페인원두,PC,717,0,0,0,10.1,0,0,0,0
"파워링크",디카페인원두,모바일,"1,420",3,"1,566","4,697",2.7,0,0,0,0
"파워링크",디카페인원두추천,PC,454,0,0,0,2.5,0,0,0,0
"파워링크",디카페인원두추천,모바일,903,11,"1,519","16,709",2.1,0,0,0,0
"파워링크",디카페인원두커피,PC,82,1,"1,177","1,177",1.7,0,0,0,0
"파워링크",디카페인원두커피,모바일,202,6,"1,428","8,569",1.7,0,0,0,0
"파워링크",디카페인이맛있는커피,모바일,1,0,0,0,3,0,0,0,0
"파워링크",디카페인커피맛있는,모바일,1,0,0,0,3,0,0,0,0
"파워링크",디카페인커피원두,PC,105,1,"1,705","1,705",3.2,0,0,0,0
"파워링크",디카페인커피원두,모바일,132,1,"1,760","1,760",3.1,0,0,0,0
"파워링크",디카페인커피콘텐토,모바일,2,0,0,0,1,0,0,0,0
"파워링크",맛있는디카페인커피,PC,10,1,"1,254","1,254",1.1,0,0,0,0
"파워링크",맛있는디카페인커피,모바일,70,2,"1,078","2,156",1,0,0,0,0
"파워링크",무카페인커피,PC,274,0,0,0,2.6,0,0,0,0
"파워링크",무카페인커피,모바일,794,12,"1,214","14,564",2.8,0,0,0,0
"파워링크",임산부디카페인커피,PC,"3,827",0,0,0,1.1,0,0,0,0
