"쇼핑검색보고서(2024.12.01.~2024.12.31.),rebotter:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",REBOTTER욕조,PC,1,1,77,77,1,14,356,1,"2,690,000"
"파워링크",독립형욕조,PC,27,0,0,0,4.6,0,0,0,0
"파워링크",독립형욕조,모바일,101,8,336,"2,684",1.3,1.93,17.2,0,0
"파워링크",르보테,PC,29,4,77,308,1,14.25,685.25,0,0
"파워링크",르보테,모바일,28,0,0,0,1,0,0,0,0
"파워링크",르보테세면기,PC,1,0,0,0,1,0,0,0,0
"파워링크",르보테아크릴욕조,모바일,2,0,0,0,1,0,0,0,0
"파워링크",르보테욕조,모바일,4,0,0,0,1,0,0,0,0
"파워링크",르보테토스카나,모바일,1,0,0,0,1,0,0,0,0
"파워링크",세면대,PC,"11,383",74,674,"49,896",3.9,6.46,87.28,1,0
"파워링크",세면대,모바일,"21,901",410,644,"264,055",3,1.62,11.21,0,0
"파워링크",쉐도우스카라베오,모바일,1,0,0,0,1,0,0,0,0
"파워링크",스카라베오르보테,모바일,1,0,0,0,1,0,0,0,0
"파워링크",스카라베오매립,PC,1,0,0,0,1,0,0,0,0
"파워링크",스카라베오매립세면기,PC,1,0,0,0,1,0,0,0,0
"파워링크",스카라베오봄버,PC,1,0,0,0,1,0,0,0,0
"파워링크",스카라베오봄버,모바일,4,0,0,0,1,0,0,0,0
"파워링크",스카라베오패딩,PC,1,0,0,0,1,0,0,0,0
"파워링크",아크릴욕조,PC,431,4,707,"2,827",5,6.25,67.75,0,0
"파워링크",아크릴욕조,모바일,"1,028",68,647,"43,989",1.3,1.91,27.69,2,0
"파워링크",욕조,PC,"13,036",55,862,"47,421",2.9,7.23,89.99,0,0
"파워링크",욕조,모바일,"24,738",498,866,"431,497",3,1.54,11.73,15,"365,000"
"파워링크",욕조스페치오B,모바일,1,1,77,77,1,1,0,0,0
"파워링크",이동식욕조,PC,"1,749",16,"1,278","20,449",5.7,4.8,19.9,0,0
"파워링크",이동식욕조,모바일,"1,311",26,"1,240","32,252",4.6,1.44,9.08,0,0
"파워링크",이동욕조,PC,23,1,638,638,4.6,3,2,0,0
"파워링크",이동욕조,모바일,54,0,0,0,4.8,0,0,0,0
"파워링크",인터쿠아,PC,107,0,0,0,2.9,0,0,0,0
"파워링크",인터쿠아,모바일,6,0,0,0,3,0,0,0,0
"파워링크",인터쿠아매립욕조토스카나,모바일,1,0,0,0,2,0,0,0,0
"파워링크",호텔세면대,PC,1,0,0,0,23,0,0,0,0
"쇼핑검색",-,PC,"10,467",18,468,"8,426",2.2,3.32,47.56,0,0
"쇼핑검색",-,모바일,"5,805",76,513,"38,962",3.9,1.49,30.5,1,"360,000"
"쇼핑검색",1300매립욕조,PC,1,0,0,0,8,0,0,0,0
"쇼핑검색",1300욕조,PC,3,0,0,0,4.3,0,0,0,0
"쇼핑검색",1300욕조,모바일,13,0,0,0,9.2,0,0,0,0
"쇼핑검색",1356,모바일,2,0,0,0,4,0,0,0,0
"쇼핑검색",1392BOCCHI미니,모바일,1,0,0,0,10,0,0,0,0
"쇼핑검색",1400매립욕조,모바일,1,0,0,0,10,0,0,0,0
"쇼핑검색",1400욕조,모바일,4,0,0,0,1.3,0,0,0,0
"쇼핑검색",1500욕조,PC,1,0,0,0,3,0,0,0,0
"쇼핑검색",1500욕조,모바일,1,0,0,0,10,0,0,0,0
"쇼핑검색",1600세면기,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",1600욕조,모바일,6,0,0,0,11,0,0,0,0
"쇼핑검색",1700850미테욕조,PC,1,0,0,0,1,0,0,0,0
"쇼핑검색",1700욕조,모바일,3,0,0,0,8.3,0,0,0,0
"쇼핑검색",1800욕조,PC,1,0,0,0,5,0,0,0,0
"쇼핑검색",1800욕조,모바일,14,0,0,0,8.4,0,0,0,0
"쇼핑검색",1900X750매립욕조,모바일,1,0,0,0,5,0,0,0,0
"쇼핑검색",1인반신욕,모바일,2,0,0,0,3,0,0,0,0
"쇼핑검색",1인욕조,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",2000X750매립욕조,모바일,1,1,"1,177","1,177",5,1,0,0,0
"쇼핑검색",2인욕조,모바일,41,0,0,0,9.5,0,0,0,0
"쇼핑검색",2인용욕조,PC,1,0,0,0,5,0,0,0,0
"쇼핑검색",2인용욕조,모바일,33,0,0,0,9.8,0,0,0,0
"쇼핑검색",2인월풀욕조,모바일,1,0,0,0,12,0,0,0,0
"쇼핑검색",3인용욕조,모바일,1,0,0,0,11,0,0,0,0
"쇼핑검색",5002,모바일,1,0,0,0,12,0,0,0,0
"쇼핑검색",500수건걸이,모바일,3,0,0,0,10,0,0,0,0
"쇼핑검색",5105,PC,1,0,0,0,4,0,0,0,0
"쇼핑검색",5110,모바일,2,0,0,0,10,0,0,0,0
"쇼핑검색",5116,PC,2,0,0,0,2.5,0,0,0,0
"쇼핑검색",5116,모바일,2,0,0,0,2,0,0,0,0
"쇼핑검색",5123,모바일,2,0,0,0,5,0,0,0,0
"쇼핑검색",5130,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",5131세면기,PC,1,0,0,0,2,0,0,0,0
