"쇼핑검색보고서(2024.12.01.~2024.12.31.),riskybeauty2024:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",2024립글로스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",3색아이팔레트,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BE.LIP,모바일,1,0,0,0,1,0,0,0,0
"파워링크",BEAUTY섀도우,모바일,2,0,0,0,1,0,0,0,0
"파워링크",BEBOLD,PC,1,0,0,0,1,0,0,0,0
"파워링크",BEBOLD,모바일,3,0,0,0,1,0,0,0,0
"파워링크",BEBOLDLIP,모바일,1,0,0,0,1,0,0,0,0
"파워링크",BEBOLDLIPGLOSS,모바일,3,2,77,154,1,1,0,0,0
"파워링크",BE립글로스,PC,1,0,0,0,2,0,0,0,0
"파워링크",BE립글로스,모바일,2,1,77,77,1,0,0,0,0
"파워링크",BOLDLIP,모바일,1,0,0,0,1,0,0,0,0
"파워링크",BOLD볼드,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BOLD볼드데님,모바일,1,0,0,0,2,0,0,0,0
"파워링크",BOLD볼드티,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BUSINESSNUMBER,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",COOL톤,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",EYES아이메이크업,PC,1,0,0,0,2,0,0,0,0
"파워링크",EYE섀도우,모바일,2,0,0,0,3,0,0,0,0
"파워링크",E립글로스,PC,1,0,0,0,2,0,0,0,0
"파워링크",E아이섀도우,모바일,1,0,0,0,1,0,0,0,0
"파워링크",GLOSSED립,모바일,2,0,0,0,1,0,0,0,0
"파워링크",GLOSS글로스,PC,1,0,0,0,3,0,0,0,0
"파워링크",LIPGLOSS,모바일,8,0,0,0,3.6,0,0,0,0
"파워링크",LIPGLOSSES,모바일,1,0,0,0,2,0,0,0,0
"파워링크",LIPPALETTE,PC,1,0,0,0,1,0,0,0,0
"파워링크",LIPPALETTE,모바일,1,0,0,0,1,0,0,0,0
"파워링크",LIP립,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MAKEUP,PC,5,0,0,0,32,0,0,0,0
"파워링크",MAKEUP,모바일,3,0,0,0,33.7,0,0,0,0
"파워링크",MLBB,PC,58,0,0,0,3.6,0,0,0,0
"파워링크",MLBB,모바일,6,0,0,0,3,0,0,0,0
"파워링크",MLBB글로스,PC,1,0,0,0,1,0,0,0,0
"파워링크",MLBB글로스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MLBB립,PC,1,0,0,0,17,0,0,0,0
"파워링크",MLBB립글로스,PC,1,0,0,0,1,0,0,0,0
"파워링크",MLBB립글로스,모바일,7,0,0,0,2.6,0,0,0,0
"파워링크",NUDE아이섀도우파레트,모바일,1,0,0,0,3,0,0,0,0
"파워링크",PIGMENTEYESHADOW,모바일,2,1,77,77,1,1,0,0,0
"파워링크",PIGMENTEYESHADOWPALETTE,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY,PC,46,0,0,0,1.4,0,0,0,0
"파워링크",RISKY,모바일,116,2,121,242,1.2,0,0,0,0
"파워링크",RISKY(),모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY,모바일,11,1,77,77,1.7,0,0,0,0
"파워링크",RISKYBEAUTY.COM,모바일,1,1,77,77,1,0,0,0,0
"파워링크",RISKYBEAUTY2024,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTYLIP,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTYPIGMENT,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY누지,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY더스티,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY더스티블루,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY립스틱,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY볼드립글로스,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY섀도우,모바일,3,0,0,0,1,0,0,0,0
"파워링크",RISKYBEAUTY소프트스모키,모바일,3,0,0,0,1,0,0,0,0
"파워링크",RISKYBEBOLDLIPGLOSS,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKYDUSTYBLUE,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKYGRUMPY,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKYHOLIDAY,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKYLIP,모바일,3,2,77,154,1,1,0,0,0
"파워링크",RISKYNUSY,모바일,59,2,77,154,1,1,0,0,0
"파워링크",RISKYPIGMENT,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKYPIGMENTEYESHADOW,모바일,1,1,77,77,1,1,0,0,0
"파워링크",RISKYPLUCKYDENIM,모바일,4,2,77,154,1,0,0,0,0
"파워링크",RISKY글로스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY누지,모바일,2,1,77,77,1,1,0,0,0
"파워링크",RISKY더스티블루,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKY딤베리,모바일,1,1,77,77,1,1,0,0,0
"파워링크",RISKY리스키,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",RISKY리스키,모바일,6,2,77,154,1.5,0.67,0,6,"22,000"
"파워링크",RISKY립,모바일,38,11,74,814,1.5,1,0,0,0
"파워링크",RISKY립글로스,모바일,8,1,77,77,1.5,0,0,0,0
"파워링크",RISKY립글로스플럼핑,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",RISKY립스틱,모바일,3,2,77,154,1,1,0,0,0
"파워링크",RISKY립코이,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY립코이누지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY바지,모바일,1,1,77,77,1,1,0,0,0
"파워링크",RISKY뷰티,PC,3,1,77,77,1,0,0,0,0
"파워링크",RISKY뷰티,모바일,2,2,77,154,1,10.5,115,3,0
"파워링크",RISKY뷰티스마트스토어,PC,3,0,0,0,1,0,0,0,0
"파워링크",RISKY브랜드,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKY비볼드립글로스,모바일,3,1,66,66,1.3,1,0,0,0
"파워링크",RISKY섀도우,PC,4,2,66,132,1.5,3,11,0,0
"파워링크",RISKY섀도우,모바일,25,1,77,77,1.2,1,0,0,0
"파워링크",RISKY섀도우더스티블루,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKY소프트스모키,모바일,4,0,0,0,1,0,0,0,0
"파워링크",RISKY쉐도우,PC,2,0,0,0,1,0,0,0,0
"파워링크",RISKY스마트스토어,모바일,2,0,0,0,1,0,0,0,0
"파워링크",RISKY아이,모바일,2,1,77,77,1,3,20.5,0,0
"파워링크",RISKY아이섀도우,모바일,8,1,55,55,1.5,1,0,0,0
"파워링크",RISKY아이쉐도우,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKY아이쉐도우,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY아이팔레트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY오디,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY틴트,모바일,10,5,77,385,1,2.2,12.4,0,0
"파워링크",RISKY팔레트,모바일,5,1,77,77,1,0,0,0,0
"파워링크",RISKY피그먼트,모바일,4,1,55,55,1.5,1,0,0,0
"파워링크",RISKY피그먼트더스티블루,모바일,1,0,0,0,1,0,0,0,0
"파워링크",RISKY피그먼트아이섀도우,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",RISKY피그먼트아이섀도우,모바일,2,1,77,77,1.5,0,0,0,0
"파워링크",RISKY피그먼트아이섀도우딤베리,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKY화장품,PC,1,0,0,0,1,0,0,0,0
"파워링크",RISKY화장품,모바일,3,3,77,231,1,1.33,3.67,0,0
"파워링크",RISKY히시핏,모바일,1,0,0,0,1,0,0,0,0
"파워링크",THERULE,모바일,2,0,0,0,1,0,0,0,0
"파워링크",가을립,PC,2,0,0,0,9.5,0,0,0,0
"파워링크",가을메이크업,PC,12,0,0,0,4.3,0,0,0,0
"파워링크",가을메이크업,모바일,8,0,0,0,2,0,0,0,0
"파워링크",가을웜립글로우,모바일,1,0,0,0,3,0,0,0,0
"파워링크",가지고있는립스틱으로립글로스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",굵은립글로스추천,모바일,1,0,0,0,1,0,0,0,0
"파워링크",그럼피리스키,모바일,2,1,77,77,1,1,0,0,0
