"쇼핑검색보고서(2024.12.01.~2024.12.31.),ss_1112:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",10남자옷,모바일,1,0,0,0,2,0,0,0,0
"파워링크",10대남자쇼핑몰,PC,10,0,0,0,6.3,0,0,0,0
"파워링크",10대남자쇼핑몰,모바일,4,0,0,0,23.8,0,0,0,0
"파워링크",10대남자옷,PC,3,0,0,0,20.3,0,0,0,0
"파워링크",10대남자옷,모바일,2,0,0,0,16,0,0,0,0
"파워링크",10대남자옷쇼핑몰,PC,7,0,0,0,6.1,0,0,0,0
"파워링크",10대남자옷쇼핑몰,모바일,4,0,0,0,21.3,0,0,0,0
"파워링크",10대남친룩,PC,2,0,0,0,2,0,0,0,0
"파워링크",10대남친룩,모바일,4,0,0,0,1,0,0,0,0
"파워링크",10대옷,PC,3,0,0,0,17,0,0,0,0
"파워링크",10대옷,모바일,4,0,0,0,13.8,0,0,0,0
"파워링크",180남성옷크기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",180남자,PC,3,0,0,0,4.3,0,0,0,0
"파워링크",180남자,모바일,10,1,77,77,3.9,1,0,0,0
"파워링크",180남자긴바지,PC,1,1,198,198,3,3,14,0,0
"파워링크",180남자바지기장,모바일,2,0,0,0,2,0,0,0,0
"파워링크",180남자바지브랜드,모바일,1,0,0,0,1,0,0,0,0
"파워링크",180남자쇼핑몰,PC,9,1,143,143,6.2,2,10,0,0
"파워링크",180남자쇼핑몰,모바일,39,4,349,"1,397",2.8,1.5,4.75,0,0
"파워링크",180남자옷사이트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",180남자편한바지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",180넘는남자옷,모바일,1,1,77,77,2,3,25,0,0
"파워링크",180마른남자옷,모바일,1,0,0,0,3,0,0,0,0
"파워링크",180쇼핑몰,PC,7,0,0,0,2,0,0,0,0
"파워링크",180쇼핑몰,모바일,46,5,326,"1,628",2.9,2,6.14,0,0
"파워링크",180어깨넓은남자상의사이즈,모바일,1,0,0,0,2,0,0,0,0
"파워링크",180이상남자바지,PC,1,0,0,0,1,0,0,0,0
"파워링크",180이상남자옷,모바일,1,0,0,0,1,0,0,0,0
"파워링크",180이상남자옷쇼핑몰,모바일,1,1,77,77,1,1,0,0,0
"파워링크",180키남자바지,PC,1,1,66,66,3,4,42,0,0
