"쇼핑검색보고서(2024.12.01.~2024.12.31.),wine4:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",10수면원단,모바일,2,0,0,0,3,0,0,0,0
"파워링크",20수,PC,1,0,0,0,24,0,0,0,0
"파워링크",20수면원단,PC,2,0,0,0,8.5,0,0,0,0
"파워링크",20수싱글원단,PC,1,0,0,0,2,0,0,0,0
"파워링크",20수싱글원단,모바일,1,0,0,0,1,0,0,0,0
"파워링크",25CM인형옷주문제작,모바일,1,0,0,0,2,0,0,0,0
"파워링크",DIY열전사,PC,1,0,0,0,3,0,0,0,0
"파워링크",DIY열전사,모바일,1,0,0,0,3,0,0,0,0
"파워링크",DIY천,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MBTI티셔츠,모바일,3,0,0,0,15,0,0,0,0
"파워링크",PU열전사지다리미,모바일,1,0,0,0,2,0,0,0,0
"파워링크",PU열전사지커팅하는곳,PC,2,0,0,0,2,0,0,0,0
"파워링크",PU열전사지판매점,PC,1,0,0,0,2,0,0,0,0
"파워링크",PU열전사지판매점,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",PU열전사지판매처,PC,1,0,0,0,1,0,0,0,0
"파워링크",PU원단전사,PC,1,0,0,0,1,0,0,0,0
"파워링크",PU전사지판매처,모바일,1,0,0,0,1,0,0,0,0
"파워링크",가디건원단,PC,1,0,0,0,9,0,0,0,0
"파워링크",가디건원단,모바일,1,0,0,0,6,0,0,0,0
"파워링크",가방끈,PC,1,0,0,0,56,0,0,0,0
"파워링크",가방끈,모바일,3,0,0,0,36,0,0,0,0
"파워링크",가방만들기,PC,165,0,0,0,4,0,0,0,0
"파워링크",가방만들기,모바일,168,0,0,0,4.8,0,0,0,0
"파워링크",가방만들기재료,PC,2,0,0,0,6,0,0,0,0
"파워링크",가방만들기재료,모바일,6,0,0,0,3,0,0,0,0
"파워링크",가방열전사지,PC,1,0,0,0,3,0,0,0,0
"파워링크",가방열전사지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",가방전사지제작,모바일,1,0,0,0,2,0,0,0,0
"파워링크",가족단체티셔츠,PC,1,0,0,0,23,0,0,0,0
"파워링크",가족촬영의상,모바일,1,0,0,0,34,0,0,0,0
"파워링크",가족티,PC,2,0,0,0,65.5,0,0,0,0
"파워링크",가족티열전사스티커,모바일,1,0,0,0,1,0,0,0,0
"파워링크",감성문구,PC,1,0,0,0,9,0,0,0,0
"파워링크",거즈면원단,PC,1,0,0,0,6,0,0,0,0
"파워링크",검정색천,PC,1,0,0,0,14,0,0,0,0
"파워링크",고급면,PC,1,0,0,0,5,0,0,0,0
"파워링크",고급열전사지스티커,모바일,1,0,0,0,1,0,0,0,0
"파워링크",광목커튼,모바일,1,0,0,0,34,0,0,0,0
"파워링크",귀여운원단,PC,1,0,0,0,13,0,0,0,0
"파워링크",귀여운원단,모바일,2,0,0,0,12.5,0,0,0,0
"파워링크",귀여운쭈리원단,PC,1,0,0,0,2,0,0,0,0
"파워링크",그림원단에전사,모바일,2,0,0,0,2,0,0,0,0
"파워링크",기모쭈리원단으로옷만들기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",기모쭈리원단장단점,모바일,1,0,0,0,2,0,0,0,0
"파워링크",나무다리미,PC,1,0,0,0,3,0,0,0,0
"파워링크",나염,PC,6,0,0,0,18.7,0,0,0,0
"파워링크",나염원단가게,모바일,1,0,0,0,3,0,0,0,0
"파워링크",나염원단제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",나염전사스티커제작,모바일,1,0,0,0,1,0,0,0,0
"파워링크",나염전사원단,PC,1,0,0,0,1,0,0,0,0
"파워링크",남방원단,PC,1,0,0,0,6,0,0,0,0
"파워링크",네임마스크줄,PC,3,0,0,0,3,0,0,0,0
"파워링크",네임마스크줄,모바일,8,0,0,0,3,0,0,0,0
"파워링크",네임스티커원단,모바일,2,0,0,0,2,0,0,0,0
"파워링크",네임열전사시트지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",네임열전사지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",네임전사지,모바일,7,0,0,0,1,0,0,0,0
"파워링크",농구단체유니폼,PC,1,0,0,0,14,0,0,0,0
"파워링크",농구단체유니폼,모바일,1,0,0,0,15,0,0,0,0
"파워링크",니트열전사지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",니트원단주문제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",다리미가능열전사지제작,모바일,1,0,0,0,1,0,0,0,0
"파워링크",다리미그림원단,모바일,1,0,0,0,1,0,0,0,0
"파워링크",다리미로티셔츠만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",다리미시트지전사,모바일,1,0,0,0,2,0,0,0,0
"파워링크",다리미열전사스티커주문제작,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",다림질전사지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",다이마루면,PC,1,0,0,0,5,0,0,0,0
"파워링크",다이마루면,모바일,3,0,0,0,3,0,0,0,0
"파워링크",다이마루옷만들기,모바일,2,0,0,0,1,0,0,0,0
"파워링크",다이마루원단종류,PC,3,0,0,0,2,0,0,0,0
"파워링크",다이마루천,PC,1,1,77,77,15,6,159,0,0
"파워링크",단체티전사지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",데칼주문제작열전사,PC,1,0,0,0,1,0,0,0,0
"파워링크",데코열전사,PC,1,0,0,0,1,0,0,0,0
"파워링크",데코커팅,모바일,31,0,0,0,3.5,0,0,0,0
"파워링크",돌촬영패밀리룩,PC,1,0,0,0,10,0,0,0,0
"파워링크",동대문원단,PC,7,1,77,77,13.6,1,0,0,0
"파워링크",동대문원단,모바일,1,0,0,0,26,0,0,0,0
"파워링크",동대문원단소매,PC,22,0,0,0,5,0,0,0,0
"파워링크",동대문원단소매,모바일,5,1,77,77,5,1,0,0,0
"파워링크",동물열전사지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",레이스원단제작,PC,1,0,0,0,1,0,0,0,0
"파워링크",레터링스티커열전사지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",레터링열전사지,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",레터링의류전사지,PC,1,0,0,0,3,0,0,0,0
"파워링크",로고열전사스티커제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",로고열전사지,PC,2,0,0,0,2,0,0,0,0
"파워링크",로고열전사지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",로고전사,PC,1,0,0,0,17,0,0,0,0
"파워링크",로고전사,모바일,20,0,0,0,3.2,0,0,0,0
"파워링크",로고전사지스티커,모바일,1,0,0,0,1,0,0,0,0
"파워링크",리폼열전사지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",린넨,PC,1,0,0,0,31,0,0,0,0
"파워링크",린넨,모바일,1,0,0,0,26,0,0,0,0
"파워링크",린넨천,모바일,4,0,0,0,40.8,0,0,0,0
"파워링크",린넨코튼원단,PC,1,0,0,0,8,0,0,0,0
"파워링크",립직시보리원단,모바일,1,0,0,0,3,0,0,0,0
"파워링크",만들기재료,PC,1,0,0,0,102,0,0,0,0
"파워링크",만들기재료,모바일,1,0,0,0,72,0,0,0,0
"파워링크",맞춤인형옷제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",매장티셔츠제작,PC,1,0,0,0,4,0,0,0,0
"파워링크",매장티셔츠제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",매트리스천,모바일,1,0,0,0,3,0,0,0,0
"파워링크",맨투맨맞춤제작,PC,2,0,0,0,14.5,0,0,0,0
"파워링크",맨투맨맞춤제작,모바일,1,0,0,0,12,0,0,0,0
"파워링크",맨투맨원단,PC,1,0,0,0,11,0,0,0,0
"파워링크",메이플전사케,PC,1,0,0,0,2,0,0,0,0
"파워링크",면다이마루,PC,1,0,0,0,5,0,0,0,0
"파워링크",면다이마루,모바일,1,0,0,0,6,0,0,0,0
"파워링크",면스판,PC,1,0,0,0,9,0,0,0,0
"파워링크",면아사,모바일,1,0,0,0,14,0,0,0,0
"파워링크",면원단,모바일,1,1,77,77,40,1,0,0,0
"파워링크",모자스티커,PC,2,0,0,0,7,0,0,0,0
"파워링크",모자스티커,모바일,9,0,0,0,3.3,0,0,0,0
"파워링크",모자전사,PC,1,0,0,0,7,0,0,0,0
"파워링크",모직원단,PC,1,0,0,0,23,0,0,0,0
"파워링크",묻지마시보리,PC,2,0,0,0,3,0,0,0,0
"파워링크",묻지마시보리,모바일,1,0,0,0,2,0,0,0,0
"파워링크",미니열전사지,모바일,2,0,0,0,2,0,0,0,0
"파워링크",미싱원단,모바일,1,0,0,0,10,0,0,0,0
"파워링크",반려동물티셔츠제작,PC,2,0,0,0,8,0,0,0,0
"파워링크",반려동물티셔츠제작,모바일,1,0,0,0,9,0,0,0,0
"파워링크",반사열전사지제작,모바일,1,0,0,0,1,0,0,0,0
"파워링크",반사전사지제작,모바일,2,0,0,0,1,0,0,0,0
"파워링크",반사필름지전사인쇄주문제작,모바일,1,0,0,0,1,0,0,0,0
"파워링크",반티커스텀,PC,1,0,0,0,9,0,0,0,0
"파워링크",반티커스텀,모바일,1,0,0,0,9,0,0,0,0
"파워링크",방수옷만들기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",방수원단열전사,모바일,1,0,0,0,1,0,0,0,0
"파워링크",볼링티셔츠제작,PC,2,0,0,0,20.5,0,0,0,0
"파워링크",봄원단,PC,1,0,0,0,15,0,0,0,0
"파워링크",부자재,PC,3,0,0,0,37,0,0,0,0
"파워링크",부자재,모바일,4,0,0,0,44.5,0,0,0,0
"파워링크",브랜드로고열전사지,PC,2,0,0,0,2,0,0,0,0
"파워링크",브랜드로고열전사지,모바일,4,1,77,77,1,1.5,17,0,0
"파워링크",브랜드열전사스티커,모바일,2,0,0,0,1,0,0,0,0
"파워링크",브랜드열전사지,모바일,12,0,0,0,1,0,0,0,0
"파워링크",브랜드의류전사스티커,모바일,1,0,0,0,1,0,0,0,0
"파워링크",사진전사,PC,1,0,0,0,13,0,0,0,0
"파워링크",사진전사,모바일,1,0,0,0,14,0,0,0,0
"파워링크",사진전사지제작,모바일,1,0,0,0,1,0,0,0,0
"파워링크",살롱-,모바일,1,0,0,0,3,0,0,0,0
"파워링크",살롱@,모바일,1,0,0,0,3,0,0,0,0
"파워링크",상회전사지,PC,1,0,0,0,4,0,0,0,0
"파워링크",섬유전사,모바일,1,0,0,0,3,0,0,0,0
"파워링크",소량티셔츠제작전사지,PC,1,0,0,0,2,0,0,0,0
"파워링크",스타벅스열전사지,PC,1,0,0,0,1,0,0,0,0
"파워링크",스타벅스열전사지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",스타벅스열전사지레터링,모바일,1,0,0,0,1,0,0,0,0
"파워링크",스타벅스인형원단,모바일,1,0,0,0,1,0,0,0,0
"파워링크",스팽글,모바일,2,0,0,0,21.5,0,0,0,0
"파워링크",스팽글원단,모바일,1,0,0,0,16,0,0,0,0
"파워링크",스팽글파우치,모바일,1,0,0,0,2,0,0,0,0
"파워링크",승화전사나라,PC,22,1,77,77,3,1,0,0,0
"파워링크",승화전사나라,모바일,29,0,0,0,3,0,0,0,0
"파워링크",승화전사업체,PC,1,0,0,0,10,0,0,0,0
"파워링크",승화전사인쇄,PC,2,0,0,0,21,0,0,0,0
"파워링크",승화전사지주문,PC,1,0,0,0,2,0,0,0,0
"파워링크",승화전사출력,PC,1,0,0,0,9,0,0,0,0
"파워링크",승화전사출력,모바일,1,0,0,0,8,0,0,0,0
"파워링크",승화전사타일,PC,2,0,0,0,8,0,0,0,0
"파워링크",승화전사패치,PC,1,0,0,0,3,0,0,0,0
"파워링크",시보리,PC,3,0,0,0,16.7,0,0,0,0
"파워링크",시보리,모바일,2,0,0,0,12,0,0,0,0
"파워링크",시보리원단,PC,3,0,0,0,14.3,0,0,0,0
"파워링크",시보리원단,모바일,1,0,0,0,12,0,0,0,0
"파워링크",시보리원단으로밴드만들기,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",시보리원단인형,모바일,1,0,0,0,2,0,0,0,0
"파워링크",시보리원단제작,모바일,1,0,0,0,3,0,0,0,0
"파워링크",시트지열프린트,PC,1,0,0,0,2,0,0,0,0
"파워링크",시트지원단구매,모바일,1,0,0,0,3,0,0,0,0
"파워링크",시트지전사지,PC,2,0,0,0,2,0,0,0,0
"파워링크",시트지전사지,모바일,3,0,0,0,2,0,0,0,0
"파워링크",실습용원단,모바일,1,0,0,0,1,0,0,0,0
"파워링크",아기옷천,모바일,1,0,0,0,3,0,0,0,0
"파워링크",앞치마열전사지,PC,1,0,0,0,1,0,0,0,0
"파워링크",앞치마열전사지,모바일,1,0,0,0,1,0,0,0,0
"파워링크",앞치마제작,모바일,1,0,0,0,36,0,0,0,0
"파워링크",양면다이마루,모바일,1,0,0,0,13,0,0,0,0
"파워링크",어린이집답례품,모바일,1,0,0,0,164,0,0,0,0
"파워링크",어린이집전사지티셔츠제작,모바일,3,0,0,0,1,0,0,0,0
