"쇼핑검색보고서(2024.12.01.~2024.12.31.),wlsdo0191"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크","#겨울난로",모바일,3,0,0,0,2,0,0,0,0
"파워링크",10평난로,PC,1,0,0,0,4,0,0,0,0
"파워링크",10평난방기,PC,3,0,0,0,6,0,0,0,0
"파워링크",10평난방기,모바일,1,0,0,0,8,0,0,0,0
"파워링크",1인용사우나,PC,103,2,594,"1,188",3.5,5,40.5,0,0
"파워링크",1인용사우나,모바일,312,4,657,"2,629",3.3,0.8,0,0,0
"파워링크",3평난방,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",3평난방,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",3평난방기,PC,1,0,0,0,1,0,0,0,0
"파워링크",3평난방기,모바일,5,0,0,0,1,0,0,0,0
"파워링크",5방향난로,PC,59,0,0,0,6.4,0,0,0,0
"파워링크",5방향난로,모바일,84,0,0,0,3.9,0,0,0,0
"파워링크",6평난방,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",6평난방,모바일,14,0,0,0,1.1,0,0,0,0
"파워링크",6평난방기,PC,2,1,77,77,1,1,0,0,0
"파워링크",6평난방기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",9평난방,모바일,1,0,0,0,1,0,0,0,0
"파워링크",9평난방기,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",CERAMICHEATER,PC,10,0,0,0,2.2,0,0,0,0
"파워링크",CERAMICHEATER,모바일,4,0,0,0,2.3,0,0,0,0
"파워링크",CERAMIC난로,모바일,4,0,0,0,1.5,0,0,0,0
"파워링크",FANHEATER,PC,2,0,0,0,3,0,0,0,0
"파워링크",FANHEATER,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",FAN히터,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",FILMHEATER,PC,1,0,0,0,4,0,0,0,0
"파워링크",KITURAMI난방,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MINIHEATER,모바일,1,0,0,0,3,0,0,0,0
"파워링크",MINI난로,모바일,1,0,0,0,3,0,0,0,0
"파워링크",NHIS-2400,모바일,1,0,0,0,1,0,0,0,0
"파워링크",NHIS2400,PC,3,0,0,0,1,0,0,0,0
"파워링크",NHIS2400,모바일,1,0,0,0,1,0,0,0,0
"파워링크",OILHEATER,PC,1,0,0,0,2,0,0,0,0
"파워링크",OILHEATER,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",PTCHEATER,PC,5,0,0,0,6.2,0,0,0,0
"파워링크",PTC난로,PC,2,0,0,0,3,0,0,0,0
"파워링크",PTC히터,PC,"1,607",0,0,0,8.5,1,0,0,0
"파워링크",PTC히터,모바일,"1,396",7,"1,070","7,491",4.6,0.76,3.22,0,0
"파워링크",SUNLIKE,PC,50,9,548,"4,928",1.7,0,0,0,0
"파워링크",SUNLIKE,모바일,119,25,457,"11,418",1.8,0,0,0,0
"파워링크",SUNLIKE난방기,모바일,1,1,275,275,1,0,0,0,0
"파워링크",SUNLIKE돔,모바일,2,0,0,0,1,0,0,0,0
"파워링크",SUNLIKE열돔,모바일,3,0,0,0,1,0,0,0,0
"파워링크",UNITHEATER,PC,17,1,737,737,5,1,0,0,0
"파워링크",UNITHEATER,모바일,5,0,0,0,2.6,0,0,0,0
"파워링크",가게난방,PC,7,0,0,0,2.3,0,0,0,0
"파워링크",가게난방,모바일,29,0,0,0,2.2,0,0,0,0
"파워링크",가게난방기,모바일,7,0,0,0,2,0,0,0,0
"파워링크",가정난방,PC,6,0,0,0,2.2,0,0,0,0
"파워링크",가정난방,모바일,24,1,209,209,1.7,0,0,0,0
"파워링크",가정난방기,PC,14,0,0,0,1.6,0,0,0,0
"파워링크",가정난방기,모바일,17,1,517,517,1.6,0,0,0,0
"파워링크",가정난방기구,PC,4,0,0,0,2,0,0,0,0
"파워링크",가정난방기구,모바일,11,0,0,0,2.1,0,0,0,0
"파워링크",가정온풍기,PC,33,0,0,0,6.2,0,0,0,0
"파워링크",가정온풍기,모바일,7,0,0,0,4.4,0,0,0,0
"파워링크",가정용5면히터,모바일,1,0,0,0,3,0,0,0,0
"파워링크",가정용난로,PC,931,1,759,759,8.8,0,0,0,0
"파워링크",가정용난로,모바일,138,4,954,"3,817",5.7,0,0,0,0
"파워링크",가정용난로추천,PC,17,0,0,0,3.9,0,0,0,0
"파워링크",가정용난로추천,모바일,17,0,0,0,1,0,0,0,0
"파워링크",가정용난방,PC,78,1,495,495,3,1,0,0,0
"파워링크",가정용난방,모바일,79,1,858,858,2.1,0,0,0,0
"파워링크",가정용난방기,PC,795,3,832,"2,497",9.7,4,71,0,0
"파워링크",가정용난방기,모바일,111,1,836,836,5.4,0,0,0,0
"파워링크",가정용난방기구,PC,73,0,0,0,4,0,0,0,0
"파워링크",가정용난방기구,모바일,65,0,0,0,1.5,0,0,0,0
"파워링크",가정용난방기기,PC,2,0,0,0,1,0,0,0,0
"파워링크",가정용난방기기,모바일,11,0,0,0,1,0,0,0,0
"파워링크",가정용난방기추천,PC,31,0,0,0,3.6,0,0,0,0
"파워링크",가정용난방기추천,모바일,69,1,726,726,1.2,0,0,0,0
"파워링크",가정용냉난방기,PC,251,2,913,"1,826",9.5,0,0,0,0
"파워링크",가정용냉난방기,모바일,344,10,749,"7,491",3.4,1,0,0,0
"파워링크",가정용냉온풍기,PC,54,1,880,880,5.2,1,0,0,0
"파워링크",가정용냉온풍기,모바일,393,15,715,"10,725",3,1.27,3.55,0,0
"파워링크",가정용돔온열기,모바일,1,0,0,0,1,0,0,0,0
"파워링크",가정용라디에이터,PC,245,4,558,"2,233",6.5,1.67,15.33,0,0
"파워링크",가정용라디에이터,모바일,471,0,0,0,6.7,1,0,0,0
"파워링크",가정용라디에타,PC,1,0,0,0,7,0,0,0,0
"파워링크",가정용라지에타,PC,4,1,517,517,5.3,1,0,0,0
