"요일별보고서(2025.06.01.~2025.06.30.),almodels_info:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,21,1.16,1.6,"1,597","33,539",5,5
"월요일",01시~02시,6,0.55,1.7,"1,221","7,326",8,8
"월요일",02시~03시,6,0.79,1.7,618,"3,707",19,19
"월요일",03시~04시,5,0.94,1.5,"1,723","8,613",0,0
"월요일",04시~05시,4,0.79,1.5,"1,232","4,928",7,7
"월요일",05시~06시,2,0.33,1.4,"2,800","5,599",0,0
"월요일",06시~07시,4,0.39,1.4,"1,315","5,258",1,1
"월요일",07시~08시,8,0.67,1.4,"1,506","12,045",0,0
"월요일",08시~09시,10,0.61,1.6,994,"9,944",10,10
"월요일",09시~10시,13,0.73,1.9,"5,633","73,227",25,25
"월요일",10시~11시,15,0.79,1.9,"4,049","60,731",56,56
"월요일",11시~12시,18,0.89,1.9,"6,146","110,627",76,76
"월요일",12시~13시,17,0.82,1.7,"4,756","80,850",82,82
"월요일",13시~14시,22,0.9,1.7,"4,210","92,609",55,55
"월요일",14시~15시,25,0.99,1.8,"6,993","174,823",152,152
"월요일",15시~16시,23,0.81,1.8,"3,986","91,685",66,66
"월요일",16시~17시,31,1.11,1.9,"4,250","131,736",84,84
"월요일",17시~18시,30,1.29,1.9,"3,846","115,390",104,104
"월요일",18시~19시,13,0.63,1.7,"1,927","25,047",48,48
"월요일",19시~20시,11,0.49,1.5,"4,457","49,027",55,55
"월요일",20시~21시,20,0.91,1.4,"1,843","36,850",30,30
"월요일",21시~22시,19,0.84,1.4,"1,575","29,920",7,7
"월요일",22시~23시,20,0.76,1.4,"1,235","24,706",7,7
"월요일",23시~00시,13,0.57,1.4,"2,252","29,282",34,34
"화요일",00시~01시,12,0.84,1.6,574,"6,886",2,2
"화요일",01시~02시,8,0.91,1.6,"3,447","27,577",38,38
"화요일",02시~03시,4,0.67,1.7,"1,353","5,412",16,16
"화요일",03시~04시,7,1.54,1.6,"2,136","14,949",22,22
"화요일",04시~05시,3,0.69,1.4,814,"2,442",0,0
"화요일",05시~06시,7,1.33,1.4,"2,544","17,809",4,4
"화요일",06시~07시,5,0.63,1.3,"2,229","11,143",6,6
"화요일",07시~08시,8,0.83,1.4,"1,529","12,232",17,17
"화요일",08시~09시,9,0.82,1.7,"4,329","38,962",10,10
"화요일",09시~10시,10,0.71,1.8,"4,444","44,440",35,35
"화요일",10시~11시,9,0.55,1.7,"5,154","46,387",74,74
"화요일",11시~12시,16,0.99,1.8,"5,353","85,646",50,50
"화요일",12시~13시,17,1.14,1.8,"4,597","78,144",70,70
"화요일",13시~14시,5,0.29,1.8,"7,702","38,511",29,29
"화요일",14시~15시,29,1.53,1.8,"3,935","114,103",51,51
"화요일",15시~16시,15,0.75,1.9,"5,716","85,745",74,74
"화요일",16시~17시,9,0.47,1.9,"3,069","27,621",71,71
"화요일",17시~18시,10,0.56,1.9,"3,422","34,221",43,43
"화요일",18시~19시,14,0.9,1.8,"3,093","43,296",43,43
"화요일",19시~20시,12,0.77,1.6,"1,978","23,738",9,9
"화요일",20시~21시,10,0.51,1.4,"1,609","16,093",10,10
"화요일",21시~22시,6,0.33,1.4,"1,863","11,176",4,4
"화요일",22시~23시,18,0.95,1.4,"3,024","54,428",20,20
"화요일",23시~00시,22,1.24,1.5,"1,796","39,512",15,15
"수요일",00시~01시,9,0.72,1.6,"3,063","27,566",2,2
"수요일",01시~02시,7,0.88,1.7,503,"3,520",15,15
"수요일",02시~03시,2,0.38,1.6,"2,376","4,752",7,7
"수요일",03시~04시,1,0.28,1.7,880,880,0,0
"수요일",04시~05시,3,0.86,1.6,"1,830","5,489",0,0
"수요일",05시~06시,3,0.57,1.5,491,"1,474",0,0
"수요일",06시~07시,5,0.64,1.5,546,"2,728",1,1
"수요일",07시~08시,4,0.44,1.6,"6,031","24,123",2,2
"수요일",08시~09시,3,0.27,1.8,"6,446","19,338",20,20
"수요일",09시~10시,17,1.27,1.7,"5,772","98,120",55,55
"수요일",10시~11시,9,0.6,1.8,"7,863","70,763",46,46
"수요일",11시~12시,16,1.02,1.8,"7,052","112,838",40,40
"수요일",12시~13시,17,1.11,1.7,"3,026","51,436",39,39
"수요일",13시~14시,21,1.23,1.7,"3,643","76,505",37,37
"수요일",14시~15시,17,0.97,1.9,"7,120","121,033",117,117
"수요일",15시~16시,24,1.25,1.8,"3,870","92,873",102,102
"수요일",16시~17시,25,1.18,1.7,"7,015","175,384",116,116
"수요일",17시~18시,20,1.19,1.9,"3,668","73,359",87,87
"수요일",18시~19시,16,1.01,1.8,"3,365","53,834",54,54
"수요일",19시~20시,18,1.24,1.5,"1,517","27,313",66,66
"수요일",20시~21시,31,1.36,1.6,"2,831","87,747",71,71
"수요일",21시~22시,12,0.65,1.4,"2,048","24,574",38,38
"수요일",22시~23시,17,0.72,1.4,"2,245","38,159",22,22
"수요일",23시~00시,13,0.72,1.5,"1,662","21,604",5,5
"목요일",00시~01시,12,1,1.7,"2,530","30,360",12,12
"목요일",01시~02시,7,0.88,1.8,"2,451","17,160",5,5
"목요일",02시~03시,3,0.65,1.8,"2,314","6,941",13,13
"목요일",03시~04시,4,1.06,1.7,814,"3,256",0,0
"목요일",04시~05시,4,1.12,1.7,459,"1,837",0,0
"목요일",05시~06시,3,0.56,1.6,"1,316","3,949",3,3
"목요일",06시~07시,5,0.73,1.5,616,"3,080",0,0
"목요일",07시~08시,5,0.5,1.4,484,"2,420",0,0
"목요일",08시~09시,6,0.51,1.7,"3,018","18,106",1,1
"목요일",09시~10시,9,0.67,1.8,"5,326","47,938",29,29
"목요일",10시~11시,20,1.3,1.8,"5,662","113,245",82,82
"목요일",11시~12시,18,1.14,1.8,"4,656","83,809",99,99
"목요일",12시~13시,13,0.8,1.8,"6,100","79,299",52,52
"목요일",13시~14시,16,0.85,1.9,"7,785","124,564",80,80
"목요일",14시~15시,18,0.98,1.8,"6,975","125,554",28,28
"목요일",15시~16시,21,1.04,1.7,"4,485","94,182",39,39
"목요일",16시~17시,19,0.99,1.7,"7,464","141,823",119,119
"목요일",17시~18시,20,1.14,1.9,"3,319","66,385",47,47
"목요일",18시~19시,16,0.98,1.7,"3,680","58,883",67,67
"목요일",19시~20시,10,0.65,1.5,"2,174","21,736",5,5
"목요일",20시~21시,16,0.86,1.4,"2,272","36,355",59,59
"목요일",21시~22시,21,1.22,1.4,"2,032","42,669",50,50
"목요일",22시~23시,18,1.05,1.4,"1,861","33,506",7,7
"목요일",23시~00시,17,1.04,1.4,"1,342","22,814",28,28
"금요일",00시~01시,12,0.98,1.7,"1,859","22,308",13,13
"금요일",01시~02시,7,0.98,1.7,651,"4,554",3,3
"금요일",02시~03시,8,1.46,1.8,"2,683","21,461",12,12
"금요일",03시~04시,0,0,1.6,0,0,0,0
"금요일",04시~05시,6,1.52,1.5,"1,806","10,835",1,1
"금요일",05시~06시,6,1.15,1.5,623,"3,740",0,0
"금요일",06시~07시,2,0.31,1.5,693,"1,386",0,0
"금요일",07시~08시,3,0.36,1.5,"4,928","14,784",10,10
"금요일",08시~09시,8,0.73,1.8,"2,526","20,207",24,24
"금요일",09시~10시,9,0.74,1.8,"4,418","39,765",56,56
"금요일",10시~11시,13,0.84,1.6,"6,659","86,570",62,62
"금요일",11시~12시,8,0.48,1.7,"1,713","13,706",15,15
"금요일",12시~13시,10,0.65,1.7,"2,681","26,807",17,17
"금요일",13시~14시,8,0.44,1.7,"5,603","44,825",51,51
"금요일",14시~15시,11,0.5,1.7,"1,864","20,504",11,11
"금요일",15시~16시,23,1.03,1.7,"4,693","107,932",91,91
"금요일",16시~17시,12,0.56,1.7,"4,087","49,038",48,48
"금요일",17시~18시,13,0.67,1.8,"3,221","41,877",32,32
"금요일",18시~19시,15,0.82,1.7,"1,935","29,018",82,82
"금요일",19시~20시,7,0.4,1.5,"2,238","15,664",25,25
"금요일",20시~21시,15,0.82,1.4,"1,948","29,216",9,9
"금요일",21시~22시,13,0.68,1.4,"2,244","29,172",8,8
"금요일",22시~23시,10,0.44,1.4,"1,953","19,525",30,30
"금요일",23시~00시,18,0.9,1.4,"1,552","27,940",15,15
"토요일",00시~01시,7,0.46,1.6,"1,749","12,243",1,1
"토요일",01시~02시,5,0.46,1.7,"1,819","9,097",0,0
"토요일",02시~03시,7,0.93,1.7,"2,345","16,412",21,21
"토요일",03시~04시,4,0.81,1.7,"4,670","18,678",4,4
"토요일",04시~05시,2,0.44,1.7,297,594,0,0
"토요일",05시~06시,3,0.59,1.6,"2,486","7,458",5,5
"토요일",06시~07시,6,0.87,1.4,711,"4,268",0,0
"토요일",07시~08시,3,0.35,1.5,"1,650","4,950",0,0
"토요일",08시~09시,6,0.54,1.6,990,"5,940",1,1
"토요일",09시~10시,8,0.64,1.6,"1,103","8,822",0,0
"토요일",10시~11시,11,0.73,1.6,"1,306","14,366",0,0
"토요일",11시~12시,5,0.3,1.6,812,"4,059",25,25
"토요일",12시~13시,4,0.25,1.6,259,"1,034",12,12
"토요일",13시~14시,8,0.47,1.6,969,"7,755",3,3
"토요일",14시~15시,10,0.6,1.6,"2,239","22,385",3,3
"토요일",15시~16시,12,0.7,1.6,"1,634","19,613",51,51
"토요일",16시~17시,15,0.86,1.6,972,"14,575",33,33
"토요일",17시~18시,11,0.69,1.6,"2,784","30,624",11,11
"토요일",18시~19시,13,0.92,1.5,"1,580","20,537",3,3
"토요일",19시~20시,8,0.46,1.4,"1,408","11,264",15,15
"토요일",20시~21시,16,0.89,1.3,"2,522","40,359",4,4
"토요일",21시~22시,8,0.43,1.4,"1,959","15,675",8,8
"토요일",22시~23시,12,0.62,1.3,"2,502","30,019",9,9
"토요일",23시~00시,17,0.92,1.4,"1,309","22,253",7,7
"일요일",00시~01시,11,0.62,1.6,857,"9,427",3,3
"일요일",01시~02시,10,0.8,1.6,732,"7,315",4,4
"일요일",02시~03시,7,0.82,1.6,729,"5,104",0,0
"일요일",03시~04시,4,0.63,1.5,"1,460","5,841",0,0
"일요일",04시~05시,4,0.73,1.5,608,"2,431",1,1
"일요일",05시~06시,1,0.17,1.4,550,550,0,0
"일요일",06시~07시,6,0.67,1.4,546,"3,278",0,0
"일요일",07시~08시,6,0.57,1.4,"1,181","7,084",0,0
"일요일",08시~09시,6,0.48,1.4,"1,613","9,680",0,0
"일요일",09시~10시,10,0.66,1.5,"1,671","16,709",7,7
"일요일",10시~11시,6,0.36,1.5,"1,469","8,811",2,2
"일요일",11시~12시,8,0.46,1.4,"1,365","10,923",27,27
"일요일",12시~13시,7,0.42,1.5,"1,144","8,008",0,0
"일요일",13시~14시,13,0.69,1.6,"1,410","18,326",8,8
