"요일별보고서(2025.06.01.~2025.06.30.),aosldk2004:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,7,0.2,3.6,86,605,0,0
"월요일",01시~02시,3,0.14,4.2,84,253,0,0
"월요일",02시~03시,3,0.16,4.9,88,264,0,0
"월요일",03시~04시,0,0,5.6,0,0,0,0
"월요일",04시~05시,0,0,5.8,0,0,0,0
"월요일",05시~06시,3,0.17,4.6,84,253,0,0
"월요일",06시~07시,5,0.2,4.1,79,396,0,0
"월요일",07시~08시,4,0.11,3.3,94,374,0,0
"월요일",08시~09시,11,0.24,3.3,91,"1,001",0,0
"월요일",09시~10시,9,0.19,3.3,99,891,0,0
"월요일",10시~11시,0,0,3.5,0,0,0,0
"월요일",11시~12시,3,0.06,3.4,81,242,0,0
"월요일",12시~13시,4,0.06,3.2,96,385,0,0
"월요일",13시~14시,3,0.04,3.3,92,275,0,0
"월요일",14시~15시,10,0.13,3.4,90,902,0,0
"월요일",15시~16시,3,0.04,3.4,92,275,0,0
"월요일",16시~17시,11,0.13,3.4,91,"1,001",0,0
"월요일",17시~18시,7,0.08,3.2,82,572,0,0
"월요일",18시~19시,9,0.12,3.1,86,770,0,0
"월요일",19시~20시,9,0.13,3.2,88,792,0,0
"월요일",20시~21시,10,0.13,3.2,84,836,0,0
"월요일",21시~22시,13,0.15,3.2,86,"1,122",0,0
"월요일",22시~23시,14,0.17,3.2,85,"1,188",0,0
"월요일",23시~00시,9,0.12,3.2,86,770,0,0
"화요일",00시~01시,9,0.25,3.3,87,781,0,0
"화요일",01시~02시,2,0.1,3.7,88,176,0,0
"화요일",02시~03시,0,0,4.8,0,0,0,0
"화요일",03시~04시,1,0.07,5.2,110,110,0,0
"화요일",04시~05시,2,0.13,5.3,99,198,0,0
"화요일",05시~06시,4,0.22,4.2,88,352,0,0
"화요일",06시~07시,8,0.31,3.7,99,792,0,0
"화요일",07시~08시,7,0.17,3.2,90,627,0,0
"화요일",08시~09시,11,0.23,3.2,86,946,0,0
"화요일",09시~10시,3,0.06,3.5,92,275,0,0
"화요일",10시~11시,4,0.08,3.5,209,836,0,0
"화요일",11시~12시,7,0.13,3.4,86,605,0,0
"화요일",12시~13시,3,0.07,3.3,88,264,0,0
"화요일",13시~14시,5,0.1,3.5,482,"2,409",0,0
"화요일",14시~15시,7,0.14,3.7,86,605,0,0
"화요일",15시~16시,5,0.1,3.9,90,451,0,0
"화요일",16시~17시,4,0.08,3.8,85,341,0,0
"화요일",17시~18시,1,0.02,3.6,77,77,0,0
