"요일별보고서(2025.06.01.~2025.06.30.),bansull:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1,0,0,0,0
"월요일",01시~02시,0,0,1,0,0,0,0
"월요일",02시~03시,0,0,1,0,0,0,0
"월요일",03시~04시,0,0,1,0,0,0,0
"월요일",04시~05시,1,8.34,1.1,"2,926","2,926",0,0
"월요일",05시~06시,1,5.27,1.2,"2,739","2,739",0,0
"월요일",06시~07시,2,3.04,2.8,"2,860","5,720",0,0
"월요일",07시~08시,1,1.32,3.4,"3,762","3,762",0,0
"월요일",08시~09시,2,4.17,3.5,"3,916","7,832",0,0
"월요일",09시~10시,2,2.11,4.1,"1,953","3,905",0,0
"월요일",10시~11시,4,3.11,5.4,"2,258","9,031",0,0
"월요일",11시~12시,1,1,5.1,77,77,0,0
"월요일",12시~13시,5,4.32,4.2,"2,220","11,099",0,0
"월요일",13시~14시,2,1.46,4.1,"2,926","5,852",0,0
"월요일",14시~15시,2,1.7,5.1,"3,751","7,502",0,0
"월요일",15시~16시,1,0.67,4.4,539,539,0,0
"월요일",16시~17시,3,2.15,4.2,"1,738","5,214",0,0
"월요일",17시~18시,1,0.6,4,"2,695","2,695",0,0
"월요일",18시~19시,2,2.16,3.6,"1,485","2,970",0,0
"월요일",19시~20시,2,2.05,5.6,"2,541","5,082",0,0
"월요일",20시~21시,0,0,3.6,0,0,0,0
"월요일",21시~22시,0,0,1.6,0,0,0,0
"월요일",22시~23시,1,14.29,1.1,"2,816","2,816",0,0
"월요일",23시~00시,0,0,1,0,0,0,0
"화요일",00시~01시,0,0,1,0,0,0,0
"화요일",01시~02시,1,16.67,1.8,77,77,0,0
"화요일",02시~03시,0,0,2,0,0,0,0
"화요일",03시~04시,2,14.29,1.3,"3,823","7,645",0,0
"화요일",04시~05시,0,0,2,0,0,0,0
"화요일",05시~06시,0,0,2,0,0,0,0
"화요일",06시~07시,2,4.88,3.5,"4,307","8,613",0,0
"화요일",07시~08시,0,0,3.9,0,0,0,0
"화요일",08시~09시,2,2.9,4.6,"2,734","5,467",0,0
"화요일",09시~10시,3,3.1,5.1,"2,365","7,095",0,0
"화요일",10시~11시,1,1.05,4.4,"2,838","2,838",0,0
"화요일",11시~12시,0,0,4.2,0,0,0,0
"화요일",12시~13시,2,2.13,5.1,116,231,0,0
"화요일",13시~14시,2,1.52,4.4,"3,696","7,392",0,0
"화요일",14시~15시,1,0.57,4.1,506,506,0,0
"화요일",15시~16시,1,0.64,4.3,"2,926","2,926",0,0
"화요일",16시~17시,2,1.38,4.8,"1,722","3,443",0,0
"화요일",17시~18시,1,0.73,3.5,"3,828","3,828",0,0
"화요일",18시~19시,1,1.18,4.4,77,77,0,0
"화요일",19시~20시,2,2.41,3.4,"3,905","7,810",0,0
"화요일",20시~21시,0,0,3.3,0,0,0,0
"화요일",21시~22시,1,12.5,1.9,55,55,0,0
"화요일",22시~23시,3,50,1.8,"2,523","7,568",0,0
"화요일",23시~00시,1,20,2.4,880,880,0,0
"수요일",00시~01시,0,0,2,0,0,0,0
"수요일",01시~02시,0,0,2,0,0,0,0
"수요일",02시~03시,1,20,1.6,"2,937","2,937",0,0
"수요일",03시~04시,0,0,2,0,0,0,0
"수요일",04시~05시,0,0,1,0,0,0,0
"수요일",05시~06시,1,12.5,2.4,"3,058","3,058",0,0
"수요일",06시~07시,2,5.13,3.1,"3,592","7,183",0,0
"수요일",07시~08시,0,0,4.4,0,0,0,0
"수요일",08시~09시,1,1.3,4.1,"5,907","5,907",0,0
"수요일",09시~10시,2,2.36,5.1,"1,898","3,795",0,0
"수요일",10시~11시,0,0,5.4,0,0,0,0
"수요일",11시~12시,1,0.91,4.4,"2,904","2,904",0,0
"수요일",12시~13시,4,4.77,4.5,"1,881","7,524",0,0
"수요일",13시~14시,2,1.93,5.2,"4,450","8,899",0,0
"수요일",14시~15시,2,1.79,5.4,"2,288","4,576",0,0
"수요일",15시~16시,2,2.67,5.5,"5,423","10,846",0,0
"수요일",16시~17시,0,0,5.4,0,0,0,0
"수요일",17시~18시,3,3.16,4.5,"1,217","3,652",0,0
"수요일",18시~19시,0,0,4.5,0,0,0,0
"수요일",19시~20시,1,1.62,4,"7,623","7,623",0,0
"수요일",20시~21시,1,1.97,4.6,"2,893","2,893",0,0
"수요일",21시~22시,1,8.34,1.1,"2,255","2,255",0,0
"수요일",22시~23시,0,0,1.7,0,0,0,0
"수요일",23시~00시,0,0,1,0,0,0,0
"목요일",00시~01시,0,0,2,0,0,0,0
"목요일",01시~02시,2,20,1.9,"2,915","5,830",0,0
"목요일",02시~03시,0,0,2,0,0,0,0
"목요일",03시~04시,0,0,1,0,0,0,0
"목요일",04시~05시,0,0,2.5,0,0,0,0
"목요일",05시~06시,0,0,2,0,0,0,0
"목요일",06시~07시,0,0,3.4,0,0,0,0
"목요일",07시~08시,1,2.44,3.6,451,451,0,0
"목요일",08시~09시,0,0,4.1,0,0,0,0
"목요일",09시~10시,0,0,5.5,0,0,0,0
"목요일",10시~11시,1,1.04,5.5,"1,144","1,144",0,0
"목요일",11시~12시,2,1.86,4.5,"3,152","6,303",0,0
"목요일",12시~13시,2,1.93,3.9,"2,107","4,213",0,0
"목요일",13시~14시,3,2.42,3.9,"2,666","7,997",0,0
"목요일",14시~15시,1,0.72,4.2,"2,244","2,244",0,0
"목요일",15시~16시,3,2.09,4.4,"2,130","6,391",0,0
"목요일",16시~17시,1,0.67,4.1,594,594,0,0
"목요일",17시~18시,0,0,4.4,0,0,0,0
"목요일",18시~19시,3,3.41,4,"1,782","5,346",0,0
"목요일",19시~20시,2,2.16,3.3,"2,943","5,885",0,0
"목요일",20시~21시,0,0,5,0,0,0,0
"목요일",21시~22시,2,20,1.5,"2,706","5,412",0,0
"목요일",22시~23시,0,0,1,0,0,0,0
