"요일별보고서(2025.06.01.~2025.06.30.),bonitapilates26:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,3.1,0,0,0,0
"월요일",01시~02시,0,0,2.9,0,0,0,0
"월요일",02시~03시,0,0,2.8,0,0,0,0
"월요일",03시~04시,0,0,2,0,0,0,0
"월요일",04시~05시,0,0,3.1,0,0,0,0
"월요일",05시~06시,1,4.77,4,"2,959","2,959",0,0
"월요일",06시~07시,0,0,3.6,0,0,0,0
"월요일",07시~08시,0,0,3.4,0,0,0,0
"월요일",08시~09시,0,0,4.8,0,0,0,0
"월요일",09시~10시,1,2.09,4.1,55,55,0,0
"월요일",10시~11시,1,1.86,4.3,77,77,0,0
"월요일",11시~12시,1,1.67,3.7,77,77,0,0
"월요일",12시~13시,1,1.89,4.1,66,66,0,0
"월요일",13시~14시,1,1.43,4.5,"3,025","3,025",0,0
"월요일",14시~15시,1,1.24,3.8,847,847,0,0
"월요일",15시~16시,2,3.23,4.5,"1,507","3,014",0,0
"월요일",16시~17시,1,1.97,4,726,726,0,0
"월요일",17시~18시,1,1.73,4.2,77,77,0,0
"월요일",18시~19시,4,8.89,3.5,"1,114","4,455",0,0
"월요일",19시~20시,1,1.7,3.2,462,462,0,0
"월요일",20시~21시,2,4.09,2.8,495,990,0,0
"월요일",21시~22시,2,4.26,3.4,490,979,0,0
"월요일",22시~23시,3,5.46,3.7,348,"1,045",0,0
"월요일",23시~00시,1,2.18,4.1,"1,100","1,100",0,0
"화요일",00시~01시,2,3.78,3.5,358,715,0,0
"화요일",01시~02시,2,5,3.3,77,154,0,0
"화요일",02시~03시,0,0,3.6,0,0,0,0
"화요일",03시~04시,0,0,2.5,0,0,0,0
"화요일",04시~05시,0,0,8,0,0,0,0
"화요일",05시~06시,0,0,2.9,0,0,0,0
"화요일",06시~07시,0,0,2.8,0,0,0,0
"화요일",07시~08시,0,0,3.1,0,0,0,0
"화요일",08시~09시,0,0,3.4,0,0,0,0
"화요일",09시~10시,1,1.45,4.9,55,55,0,0
"화요일",10시~11시,0,0,4,0,0,0,0
"화요일",11시~12시,0,0,3.5,0,0,0,0
"화요일",12시~13시,2,3.04,3.5,490,979,0,0
"화요일",13시~14시,0,0,4.4,0,0,0,0
"화요일",14시~15시,1,1.93,3.5,"1,364","1,364",0,0
"화요일",15시~16시,0,0,3.8,0,0,0,0
"화요일",16시~17시,0,0,4.4,0,0,0,0
"화요일",17시~18시,1,1.5,3.6,66,66,0,0
"화요일",18시~19시,1,2.57,4,66,66,0,0
"화요일",19시~20시,0,0,4.5,0,0,0,0
"화요일",20시~21시,3,5,3.6,638,"1,914",0,0
"화요일",21시~22시,1,2.05,3.6,66,66,0,0
"화요일",22시~23시,1,1.93,3.8,"1,364","1,364",0,0
"화요일",23시~00시,0,0,3.4,0,0,0,0
"수요일",00시~01시,3,7.5,2.4,686,"2,057",0,0
"수요일",01시~02시,2,5.89,3.1,72,143,0,0
"수요일",02시~03시,0,0,2.6,0,0,0,0
"수요일",03시~04시,0,0,6.2,0,0,0,0
"수요일",04시~05시,0,0,4.3,0,0,0,0
"수요일",05시~06시,0,0,2.8,0,0,0,0
"수요일",06시~07시,0,0,3.4,0,0,0,0
"수요일",07시~08시,1,2.33,3.4,66,66,0,0
"수요일",08시~09시,2,2.82,3.9,710,"1,419",0,0
"수요일",09시~10시,3,5.36,3.9,715,"2,145",0,0
"수요일",10시~11시,1,1.59,3.9,77,77,0,0
"수요일",11시~12시,2,4.09,3.7,429,858,0,0
"수요일",12시~13시,0,0,4,0,0,0,0
"수요일",13시~14시,0,0,3.8,0,0,0,0
"수요일",14시~15시,4,5.2,4.3,583,"2,332",0,0
"수요일",15시~16시,1,2.09,3.9,99,99,0,0
"수요일",16시~17시,1,1.34,4.6,451,451,0,0
"수요일",17시~18시,1,1.7,4.4,858,858,0,0
"수요일",18시~19시,0,0,4.6,0,0,0,0
"수요일",19시~20시,1,2.64,3.5,77,77,0,0
"수요일",20시~21시,1,3.04,2.8,77,77,0,0
"수요일",21시~22시,1,2,4.1,"1,309","1,309",0,0
"수요일",22시~23시,3,8.11,4.1,704,"2,112",0,0
"수요일",23시~00시,1,2.71,3.1,913,913,0,0
"목요일",00시~01시,1,2.18,3.6,88,88,0,0
"목요일",01시~02시,0,0,3.2,0,0,0,0
"목요일",02시~03시,1,16.67,2,55,55,0,0
"목요일",03시~04시,0,0,1.7,0,0,0,0
"목요일",04시~05시,0,0,2.5,0,0,0,0
"목요일",05시~06시,0,0,3.4,0,0,0,0
"목요일",06시~07시,1,6.67,3.1,"1,122","1,122",0,0
"목요일",07시~08시,0,0,2.6,0,0,0,0
"목요일",08시~09시,0,0,3,0,0,0,0
"목요일",09시~10시,0,0,4.1,0,0,0,0
"목요일",10시~11시,0,0,3.9,0,0,0,0
"목요일",11시~12시,0,0,3.5,0,0,0,0
"목요일",12시~13시,0,0,4.7,0,0,0,0
"목요일",13시~14시,1,2.71,4.2,77,77,0,0
"목요일",14시~15시,0,0,3.3,0,0,0,0
"목요일",15시~16시,1,3.13,4.5,836,836,0,0
"목요일",16시~17시,1,1.64,4.4,77,77,0,0
"목요일",17시~18시,1,2.57,4.9,66,66,0,0
"목요일",18시~19시,1,2.64,4.2,143,143,0,0
"목요일",19시~20시,1,2.64,3.2,"1,276","1,276",0,0
"목요일",20시~21시,2,2.82,3.8,710,"1,419",0,0
"목요일",21시~22시,4,14.82,3.6,536,"2,145",0,0
"목요일",22시~23시,0,0,4.1,0,0,0,0
"목요일",23시~00시,0,0,3.5,0,0,0,0
"금요일",00시~01시,1,5.27,2.9,55,55,0,0
"금요일",01시~02시,1,7.7,2.2,55,55,0,0
"금요일",02시~03시,0,0,2.2,0,0,0,0
"금요일",03시~04시,0,0,3.2,0,0,0,0
"금요일",04시~05시,1,8.34,2,77,77,0,0
"금요일",05시~06시,0,0,3.1,0,0,0,0
"금요일",06시~07시,0,0,3,0,0,0,0
"금요일",07시~08시,0,0,2.4,0,0,0,0
"금요일",08시~09시,1,3.85,3.7,880,880,0,0
"금요일",09시~10시,0,0,4,0,0,0,0
"금요일",10시~11시,0,0,4.3,0,0,0,0
"금요일",11시~12시,0,0,3.7,0,0,0,0
"금요일",12시~13시,1,2.28,3.3,880,880,0,0
"금요일",13시~14시,0,0,3.4,0,0,0,0
"금요일",14시~15시,3,8.34,3.3,337,"1,012",0,0
"금요일",15시~16시,1,2.18,4.7,66,66,0,0
"금요일",16시~17시,2,4.88,3.2,"1,100","2,200",0,0
"금요일",17시~18시,1,2.95,3.4,66,66,0,0
"금요일",18시~19시,2,5.13,3.7,490,979,0,0
"금요일",19시~20시,1,2.71,3.8,"1,111","1,111",0,0
"금요일",20시~21시,0,0,3.1,0,0,0,0
"금요일",21시~22시,0,0,4.2,0,0,0,0
"금요일",22시~23시,2,8.7,3.4,462,924,0,0
"금요일",23시~00시,1,2,3.3,77,77,0,0
"토요일",00시~01시,1,2.78,3.6,66,66,0,0
"토요일",01시~02시,0,0,3.3,0,0,0,0
"토요일",02시~03시,0,0,4,0,0,0,0
"토요일",03시~04시,0,0,4,0,0,0,0
"토요일",04시~05시,0,0,4.3,0,0,0,0
"토요일",05시~06시,0,0,3.4,0,0,0,0
"토요일",06시~07시,0,0,3.8,0,0,0,0
"토요일",07시~08시,0,0,3.3,0,0,0,0
"토요일",08시~09시,1,3.85,3.7,814,814,0,0
"토요일",09시~10시,0,0,4.7,0,0,0,0
"토요일",10시~11시,1,2.5,2.6,"1,331","1,331",0,0
"토요일",11시~12시,0,0,3.2,0,0,0,0
"토요일",12시~13시,1,2.86,3.9,77,77,0,0
"토요일",13시~14시,2,5.56,3,72,143,0,0
"토요일",14시~15시,0,0,3.5,0,0,0,0
"토요일",15시~16시,0,0,3.6,0,0,0,0
"토요일",16시~17시,3,7.9,3.2,249,748,0,0
"토요일",17시~18시,1,2.95,3.5,77,77,0,0
"토요일",18시~19시,2,6.67,3,435,869,0,0
"토요일",19시~20시,0,0,3.3,0,0,0,0
"토요일",20시~21시,1,3.58,3.2,66,66,0,0
"토요일",21시~22시,3,10.72,2.9,678,"2,035",0,0
