"요일별보고서(2025.06.01.~2025.06.30.),ezcall97:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,1.57,4.2,352,352,0,0
"월요일",01시~02시,0,0,3.4,0,0,0,0
"월요일",02시~03시,0,0,3.5,0,0,0,0
"월요일",03시~04시,1,5.56,3.7,440,440,0,0
"월요일",04시~05시,1,11.12,2.8,440,440,0,0
"월요일",05시~06시,0,0,4.2,0,0,0,0
"월요일",06시~07시,0,0,3.5,0,0,0,0
"월요일",07시~08시,0,0,2.2,0,0,0,0
"월요일",08시~09시,0,0,3.1,0,0,0,0
"월요일",09시~10시,1,2.39,3.3,55,55,0,0
"월요일",10시~11시,2,7.15,3.1,66,132,0,0
"월요일",11시~12시,1,1.43,4.2,55,55,0,0
"월요일",12시~13시,1,1.32,5.5,77,77,0,0
"월요일",13시~14시,2,3.04,4.2,55,110,0,0
"월요일",14시~15시,2,2.33,4.3,55,110,0,0
"월요일",15시~16시,0,0,3.5,0,0,0,0
"월요일",16시~17시,0,0,6.4,0,0,0,0
"월요일",17시~18시,1,1.36,5.2,55,55,0,0
"월요일",18시~19시,0,0,4.1,0,0,0,0
"월요일",19시~20시,0,0,6.8,0,0,0,0
"월요일",20시~21시,1,1.57,5.5,77,77,0,0
"월요일",21시~22시,0,0,4.5,0,0,0,0
"월요일",22시~23시,2,3.64,3.6,77,154,0,0
"월요일",23시~00시,1,2.44,3.2,55,55,0,0
"화요일",00시~01시,4,16,3.3,96,385,0,0
"화요일",01시~02시,1,5.56,4.6,66,66,0,0
"화요일",02시~03시,1,7.15,2.7,77,77,0,0
"화요일",03시~04시,0,0,2,0,0,0,0
"화요일",04시~05시,0,0,5,0,0,0,0
"화요일",05시~06시,0,0,1.7,0,0,0,0
"화요일",06시~07시,0,0,2,0,0,0,0
"화요일",07시~08시,0,0,3,0,0,0,0
"화요일",08시~09시,0,0,3,0,0,0,0
"화요일",09시~10시,0,0,2.4,0,0,0,0
"화요일",10시~11시,1,2.86,3.3,55,55,0,0
"화요일",11시~12시,0,0,2.9,0,0,0,0
"화요일",12시~13시,2,4.26,2.9,77,154,0,0
"화요일",13시~14시,0,0,2.9,0,0,0,0
"화요일",14시~15시,0,0,3.2,0,0,0,0
