"요일별보고서(2025.06.01.~2025.06.30.),fitindress9023:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.08,1.7,495,495,0,0
"월요일",01시~02시,3,0.18,1.6,257,770,0,0
"월요일",02시~03시,0,0,1.6,0,0,0,0
"월요일",03시~04시,0,0,1.6,0,0,0,0
"월요일",04시~05시,0,0,1.6,0,0,0,0
"월요일",05시~06시,0,0,1.6,0,0,0,0
"월요일",06시~07시,1,0.14,1.6,110,110,0,0
"월요일",07시~08시,2,0.21,1.7,105,209,0,0
"월요일",08시~09시,0,0,1.6,0,0,0,0
"월요일",09시~10시,2,0.21,1.6,99,198,0,0
"월요일",10시~11시,1,0.1,1.6,110,110,0,0
"월요일",11시~12시,1,0.07,1.4,99,99,0,0
"월요일",12시~13시,3,0.19,1.4,95,286,0,0
"월요일",13시~14시,2,0.12,1.4,94,187,0,0
"월요일",14시~15시,1,0.07,1.5,110,110,0,0
"월요일",15시~16시,2,0.13,1.4,451,902,0,0
"월요일",16시~17시,2,0.12,1.4,110,220,0,0
"월요일",17시~18시,0,0,1.3,0,0,0,0
"월요일",18시~19시,2,0.11,1.5,94,187,0,0
"월요일",19시~20시,2,0.1,1.4,105,209,0,0
"월요일",20시~21시,4,0.19,1.4,107,429,0,0
"월요일",21시~22시,0,0,1.4,0,0,0,0
"월요일",22시~23시,1,0.04,1.4,110,110,0,0
"월요일",23시~00시,1,0.04,1.4,110,110,0,0
"목요일",22시~23시,0,0,1.3,0,0,0,0
"목요일",23시~00시,4,0.13,1.4,212,847,0,0
"금요일",00시~01시,0,0,1.3,0,0,0,0
"금요일",01시~02시,2,0.1,1.3,319,638,0,0
"금요일",02시~03시,1,0.07,1.3,319,319,0,0
"금요일",03시~04시,1,0.11,1.4,462,462,0,0
"금요일",04시~05시,1,0.13,1.3,319,319,0,0
"금요일",05시~06시,0,0,1.3,0,0,0,0
"금요일",06시~07시,2,0.26,1.4,248,495,0,0
"금요일",07시~08시,1,0.09,1.4,539,539,0,0
"금요일",08시~09시,0,0,1.3,0,0,0,0
"금요일",09시~10시,1,0.09,1.4,66,66,0,0
"금요일",10시~11시,1,0.12,1.4,528,528,0,0
"금요일",11시~12시,2,2.86,1.5,490,979,0,0
"금요일",12시~13시,0,0,1.3,0,0,0,0
"금요일",13시~14시,1,1.45,1.3,121,121,0,0
"금요일",14시~15시,0,0,1.5,0,0,0,0
"금요일",15시~16시,1,0.08,1.7,77,77,0,0
"금요일",16시~17시,1,0.08,1.7,77,77,0,0
"금요일",17시~18시,1,0.09,1.6,165,165,0,0
"금요일",18시~19시,0,0,1.7,0,0,0,0
"금요일",19시~20시,1,0.07,1.6,77,77,0,0
"금요일",20시~21시,1,0.06,1.7,77,77,0,0
"금요일",21시~22시,3,0.17,1.7,77,231,0,0
"금요일",22시~23시,4,0.17,1.5,182,726,0,0
"금요일",23시~00시,3,0.11,1.4,73,220,0,0
"토요일",00시~01시,5,0.26,1.4,286,"1,430",0,0
"토요일",01시~02시,2,0.1,1.4,110,220,0,0
