"요일별보고서(2025.06.01.~2025.06.30.),fpemtiq2:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,12,0.33,2.9,171,"2,046",0,0
"월요일",01시~02시,5,0.25,2.9,183,913,0,0
"월요일",02시~03시,6,0.5,3.2,240,"1,441",0,0
"월요일",03시~04시,8,0.89,3.7,199,"1,595",0,0
"월요일",04시~05시,5,0.59,3.8,163,814,0,0
"월요일",05시~06시,3,0.25,3.2,147,440,0,0
"월요일",06시~07시,9,0.48,3,181,"1,628",0,0
"월요일",07시~08시,15,0.55,2.9,192,"2,882",0,0
"월요일",08시~09시,32,0.8,2.6,222,"7,106",0,0
"월요일",09시~10시,41,0.73,2.9,202,"8,283",0,0
"월요일",10시~11시,87,1.17,3,186,"16,181",0,0
"월요일",11시~12시,65,0.79,3,210,"13,629",0,0
"월요일",12시~13시,60,0.81,2.7,211,"12,650",0,0
"월요일",13시~14시,45,0.64,2.9,238,"10,692",0,0
"월요일",14시~15시,49,0.71,3,211,"10,318",0,0
"월요일",15시~16시,60,0.77,2.9,250,"14,993",0,0
"월요일",16시~17시,49,0.58,3,220,"10,791",0,0
"월요일",17시~18시,76,0.82,2.8,243,"18,447",0,0
"월요일",18시~19시,84,1.04,2.7,256,"21,516",0,0
"월요일",19시~20시,51,0.75,2.7,274,"13,992",0,0
"월요일",20시~21시,42,0.7,2.5,274,"11,495",0,0
"월요일",21시~22시,50,0.74,2.6,233,"11,627",0,0
"월요일",22시~23시,47,0.56,2.5,248,"11,660",0,0
"월요일",23시~00시,39,0.44,2.4,237,"9,251",0,0
"화요일",00시~01시,14,0.43,2.6,195,"2,728",0,0
"화요일",01시~02시,13,0.69,2.8,153,"1,991",0,0
"화요일",02시~03시,3,0.25,3,429,"1,287",0,0
"화요일",03시~04시,5,0.66,3.5,172,858,0,0
"화요일",04시~05시,3,0.36,3.1,275,825,0,0
"화요일",05시~06시,19,1.13,3.3,250,"4,752",0,0
"화요일",06시~07시,25,1.27,2.8,295,"7,381",0,0
"화요일",07시~08시,22,0.86,2.7,190,"4,169",0,0
"화요일",08시~09시,29,0.75,2.7,259,"7,524",0,0
"화요일",09시~10시,37,0.71,2.8,258,"9,559",0,0
"화요일",10시~11시,42,0.6,2.7,271,"11,396",0,0
"화요일",11시~12시,75,0.91,2.8,204,"15,301",0,0
"화요일",12시~13시,67,1.01,2.6,258,"17,314",0,0
"화요일",13시~14시,40,0.62,2.6,255,"10,186",0,0
"화요일",14시~15시,62,1.02,2.6,227,"14,080",0,0
"화요일",15시~16시,58,0.88,2.7,194,"11,231",0,0
"화요일",16시~17시,53,0.79,2.8,264,"14,014",0,0
"화요일",17시~18시,57,0.76,2.7,221,"12,584",0,0
"화요일",18시~19시,60,0.87,2.5,231,"13,860",0,0
"화요일",19시~20시,52,0.84,2.5,209,"10,890",0,0
"화요일",20시~21시,40,0.86,2.5,172,"6,864",0,0
"화요일",21시~22시,27,0.6,2.5,213,"5,742",0,0
"화요일",22시~23시,23,0.6,2.6,285,"6,545",0,0
"화요일",23시~00시,28,0.76,2.6,306,"8,558",0,0
"수요일",00시~01시,26,1.05,2.8,217,"5,632",0,0
"수요일",01시~02시,3,0.2,2.8,147,440,0,0
"수요일",02시~03시,8,0.86,3.3,195,"1,562",0,0
"수요일",03시~04시,5,0.65,3.1,202,"1,012",0,0
"수요일",04시~05시,8,1.15,3.6,160,"1,276",0,0
"수요일",05시~06시,8,0.82,3.2,257,"2,057",0,0
"수요일",06시~07시,18,1.33,2.9,199,"3,586",0,0
"수요일",07시~08시,19,0.89,2.6,118,"2,244",0,0
"수요일",08시~09시,22,0.68,2.6,276,"6,061",0,0
"수요일",09시~10시,25,0.56,2.9,242,"6,039",0,0
"수요일",10시~11시,52,0.91,2.9,219,"11,385",0,0
"수요일",11시~12시,57,0.85,2.9,246,"14,014",0,0
"수요일",12시~13시,56,1,2.8,253,"14,168",0,0
"수요일",13시~14시,30,0.6,2.9,232,"6,963",0,0
"수요일",14시~15시,26,0.51,3.1,264,"6,875",0,0
"수요일",15시~16시,47,0.82,3,259,"12,188",0,0
"수요일",16시~17시,47,0.76,3,231,"10,835",0,0
"수요일",17시~18시,33,0.49,2.9,205,"6,754",0,0
"수요일",18시~19시,40,0.67,2.7,231,"9,251",0,0
"수요일",19시~20시,43,0.82,2.6,226,"9,702",0,0
"수요일",20시~21시,28,0.57,2.5,235,"6,567",0,0
"수요일",21시~22시,39,0.81,2.5,241,"9,416",0,0
"수요일",22시~23시,39,0.95,2.6,244,"9,515",0,0
"수요일",23시~00시,28,0.8,2.7,254,"7,106",0,0
"목요일",00시~01시,14,0.53,2.8,213,"2,981",0,0
"목요일",01시~02시,9,0.62,3.1,213,"1,914",0,0
"목요일",02시~03시,3,0.3,3.4,235,704,0,0
"목요일",03시~04시,4,0.61,3.5,272,"1,089",0,0
"목요일",04시~05시,6,0.9,3.6,244,"1,463",0,0
"목요일",05시~06시,12,1.22,3.2,171,"2,046",0,0
"목요일",06시~07시,15,0.9,2.9,175,"2,618",0,0
