"요일별보고서(2025.06.01.~2025.06.30.),ghostblack0197:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,5,1.55,1.7,819,"4,094.75",0,0
"월요일",01시~02시,1,0.61,1.7,"1,282","1,282.05",0,0
"월요일",02시~03시,2,1.53,1.9,"1,192","2,383.7",0,0
"월요일",03시~04시,1,1.89,1.2,598,598.4,0,0
"월요일",04시~05시,3,6.13,1.7,933,"2,799.5",0,0
"월요일",05시~06시,1,1.41,1.5,664,664.4,0,0
"월요일",06시~07시,2,2.36,1.7,41,81.4,0,0
"월요일",07시~08시,1,0.56,1.6,78,78.1,0,0
"월요일",08시~09시,1,0.61,1.5,"1,197","1,197.35",0,0
"월요일",09시~10시,6,1.77,1.9,245,"1,472.9",0,0
"월요일",10시~11시,4,0.78,1.8,605,"2,421.1",0,0
"월요일",11시~12시,7,0.88,2,641,"4,483.6",0,0
"월요일",12시~13시,5,1.7,1.9,615,"3,075.05",0,0
"월요일",13시~14시,6,1.95,1.8,410,"2,460.7",0,0
"월요일",14시~15시,4,0.75,1.8,833,"3,333",0,0
"월요일",15시~16시,4,0.64,2,"1,071","4,282.3",0,0
"월요일",16시~17시,8,1.42,2,663,"5,304.75",0,0
"월요일",17시~18시,7,1.37,2.1,484,"3,390.75",0,0
"월요일",18시~19시,4,0.99,2,317,"1,268.85",0,0
"월요일",19시~20시,7,1.88,1.7,638,"4,466",0,0
"월요일",20시~21시,2,0.84,2,431,861.3,0,0
"월요일",21시~22시,2,0.91,1.5,807,"1,614.8",0,0
"월요일",22시~23시,1,0.61,1.8,"1,260","1,260.05",0,0
"월요일",23시~00시,0,0,1.8,0,27.5,0,0
"화요일",00시~01시,3,2.15,2,502,"1,504.8",0,0
"화요일",01시~02시,2,3.13,2,965,"1,930.5",0,0
"화요일",02시~03시,1,2.44,1.9,81,80.85,0,0
"화요일",03시~04시,1,4.77,1.6,674,673.75,0,0
"화요일",04시~05시,0,0,1.7,0,4.95,0,0
"화요일",05시~06시,0,0,1.8,0,10.45,0,0
"화요일",06시~07시,1,2.95,1.4,680,679.8,0,0
"화요일",07시~08시,2,4.45,1.2,245,490.6,0,0
"화요일",08시~09시,0,0,2,0,11,0,0
"화요일",09시~10시,2,0.73,2,"1,107","2,213.2",0,0
"화요일",10시~11시,3,1.36,1.6,841,"2,521.75",0,0
"화요일",11시~12시,3,2.16,1.8,"1,099","3,297.8",0,0
"화요일",12시~13시,4,3.58,1.8,435,"1,739.1",0,0
"화요일",13시~14시,3,1.38,1.7,456,"1,368.95",0,0
"화요일",14시~15시,3,1.17,1.9,365,"1,093.95",0,0
"화요일",15시~16시,4,2,1.8,576,"2,304.5",0,0
"화요일",16시~17시,6,1.59,1.6,667,"4,001.8",0,0
"화요일",17시~18시,1,0.83,1.6,391,390.5,0,0
"화요일",18시~19시,2,2.39,1.8,72,144.65,0,0
"화요일",19시~20시,2,3.13,1.5,189,377.3,0,0
"화요일",20시~21시,15,3.53,1.7,688,"10,318",0,0
"화요일",21시~22시,13,2.12,1.6,644,"8,369.9",0,0
"화요일",22시~23시,8,2.56,1.5,255,"2,039.4",0,0
"화요일",23시~00시,5,2.32,1.5,732,"3,658.05",0,0
"수요일",00시~01시,4,1.6,1.5,999,"3,997.4",0,0
"수요일",01시~02시,3,2.35,1.7,792,"2,374.9",0,0
"수요일",02시~03시,2,4.09,1.7,538,"1,076.35",0,0
"수요일",03시~04시,0,0,1.8,0,9.35,0,0
"수요일",04시~05시,1,1.27,1.7,"1,627","1,626.9",0,0
"수요일",05시~06시,1,2.05,1.9,214,213.95,0,0
"수요일",06시~07시,0,0,1.5,0,24.2,0,0
"수요일",07시~08시,2,1.54,1.6,292,583.55,0,0
"수요일",08시~09시,7,2.44,1.6,297,"2,080.65",0,0
"수요일",09시~10시,6,1.9,1.8,540,"3,240.6",0,0
"수요일",10시~11시,6,1.34,1.9,582,"3,493.6",0,0
"수요일",11시~12시,10,1.33,2.1,412,"4,119.5",0,0
"수요일",12시~13시,14,1.88,1.9,455,"6,365.15",0,0
"수요일",13시~14시,12,1.22,1.9,441,"5,289.35",0,0
"수요일",14시~15시,17,1.54,1.9,630,"10,715.65",0,0
"수요일",15시~16시,13,1.2,2,"1,008","13,106.5",0,0
"수요일",16시~17시,11,1.63,2.1,901,"9,914.3",0,0
"수요일",17시~18시,11,0.94,2.1,261,"2,868.25",0,0
"수요일",18시~19시,10,1.78,2.2,529,"5,294.85",0,0
"수요일",19시~20시,3,1,2,697,"2,092.2",0,0
"수요일",20시~21시,4,1.13,1.7,"1,376","5,504.4",0,0
"수요일",21시~22시,1,0.32,2,597,596.75,0,0
"수요일",22시~23시,2,0.9,1.7,"1,573","3,146.55",0,0
"수요일",23시~00시,3,1.81,1.6,47,142.45,0,0
"목요일",00시~01시,5,1.2,1.8,901,"4,505.05",0,0
"목요일",01시~02시,6,2.32,1.8,359,"2,154.35",0,0
"목요일",02시~03시,5,4.04,1.8,"1,166","5,828.9",0,0
"목요일",03시~04시,3,4.17,1.6,509,"1,527.35",0,0
"목요일",04시~05시,0,0,1.7,0,11.55,0,0
"목요일",05시~06시,3,3.58,1.3,425,"1,276",0,0
"목요일",06시~07시,3,1.79,1.3,"1,059","3,177.9",0,0
"목요일",07시~08시,1,0.61,1.3,694,693.55,0,0
"목요일",08시~09시,5,3.11,1.7,577,"2,884.2",0,0
"목요일",09시~10시,12,2.47,1.9,500,"5,995.55",0,0
"목요일",10시~11시,6,0.91,1.9,170,"1,018.6",0,0
"목요일",11시~12시,16,2.03,1.9,879,"14,061.85",0,0
"목요일",12시~13시,7,1.74,2,381,"2,666.95",0,0
"목요일",13시~14시,7,1.8,1.9,365,"2,553.65",0,0
"목요일",14시~15시,6,0.85,1.9,648,"3,885.75",0,0
