"요일별보고서(2025.06.01.~2025.06.30.),gj8894:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,55,0.68,1.8,486,"26,721.75",0,0
"월요일",01시~02시,22,0.49,1.8,553,"12,170.95",0,0
"월요일",02시~03시,21,0.69,1.6,497,"10,429.65",0,0
"월요일",03시~04시,13,0.61,1.6,547,"7,106.55",0,0
"월요일",04시~05시,14,0.78,1.7,498,"6,975.1",0,0
"월요일",05시~06시,20,0.71,1.8,474,"9,484.75",0,0
"월요일",06시~07시,41,0.9,1.8,489,"20,065.1",0,0
"월요일",07시~08시,68,1.02,1.8,506,"34,436.6",0,0
"월요일",08시~09시,94,1,2,522,"49,066.6",0,0
"월요일",09시~10시,160,1.51,2,660,"105,607.7",0,0
"월요일",10시~11시,183,1.46,2.1,706,"129,262.1",0,0
"월요일",11시~12시,216,1.52,2,981,"211,796.75",0,0
"월요일",12시~13시,181,1.35,1.9,"1,277","231,202.4",0,0
"월요일",13시~14시,144,1.2,2,908,"130,765.8",0,0
"월요일",14시~15시,145,1.3,1.9,692,"100,367.3",0,0
"월요일",15시~16시,127,1.09,1.9,642,"81,530.9",0,0
"월요일",16시~17시,160,1.56,2,589,"94,171",0,0
"월요일",17시~18시,121,1.44,1.9,561,"67,932.15",0,0
"월요일",18시~19시,110,1.46,1.8,566,"62,275.4",0,0
"월요일",19시~20시,108,1.85,1.9,483,"52,217.55",0,0
"월요일",20시~21시,5,1.03,1.7,617,"3,082.75",0,0
"월요일",21시~22시,118,1.09,1.6,433,"51,107.1",0,0
"월요일",22시~23시,299,1.92,1.5,302,"90,248.4",0,0
"월요일",23시~00시,129,1.08,1.4,396,"51,083.45",0,0
"화요일",00시~01시,81,1.06,1.5,422,"34,158.85",0,0
"화요일",01시~02시,43,1,1.6,488,"20,979.75",0,0
"화요일",02시~03시,24,0.89,1.5,442,"10,600.15",0,0
"화요일",03시~04시,14,0.68,1.5,458,"6,415.75",0,0
"화요일",04시~05시,22,1.21,1.6,368,"8,103.15",0,0
"화요일",05시~06시,36,1.25,1.6,455,"16,365.8",0,0
"화요일",06시~07시,46,0.98,1.6,407,"18,741.25",0,0
"화요일",07시~08시,74,1.18,1.7,439,"32,501.15",0,0
"화요일",08시~09시,112,1.45,1.8,476,"53,289.5",0,0
"화요일",09시~10시,132,1.54,2,573,"75,623.9",0,0
"화요일",10시~11시,142,1.65,2,564,"80,151.5",0,0
"화요일",11시~12시,172,1.5,1.9,850,"146,144.9",0,0
"화요일",12시~13시,125,1.42,1.8,"1,049","131,121.1",0,0
"화요일",13시~14시,116,1.21,1.8,627,"72,781.5",0,0
"화요일",14시~15시,112,1.27,1.8,703,"78,789.7",0,0
"화요일",15시~16시,213,2.01,1.8,415,"88,343.75",0,0
"화요일",16시~17시,147,1.66,1.9,530,"77,884.95",0,0
"화요일",17시~18시,112,1.31,1.9,548,"61,344.8",0,0
"화요일",18시~19시,105,1.36,1.8,563,"59,127.2",0,0
"화요일",19시~20시,43,1.04,1.8,400,"17,185.85",0,0
"화요일",20시~21시,4,0.59,1.7,671,"2,684",0,0
"화요일",21시~22시,91,1.11,1.6,454,"41,282.45",0,0
"화요일",22시~23시,99,1.04,1.6,391,"38,705.15",0,0
"화요일",23시~00시,238,2.25,1.4,249,"59,230.05",0,0
"수요일",00시~01시,56,0.84,1.5,423,"23,707.2",0,0
"수요일",01시~02시,30,0.7,1.6,437,"13,123",0,0
"수요일",02시~03시,9,0.3,1.5,413,"3,721.3",0,0
"수요일",03시~04시,19,1.02,1.6,357,"6,791.4",0,0
"수요일",04시~05시,22,1.13,1.6,362,"7,971.15",0,0
"수요일",05시~06시,21,0.77,1.7,475,"9,981.95",0,0
"수요일",06시~07시,47,1.1,1.7,449,"21,105.7",0,0
"수요일",07시~08시,164,2.31,1.7,312,"51,102.7",0,0
"수요일",08시~09시,92,1.24,1.8,473,"43,553.95",0,0
"수요일",09시~10시,90,1.23,2,491,"44,176.55",0,0
"수요일",10시~11시,104,1.5,2.1,583,"60,673.25",0,0
"수요일",11시~12시,95,1.23,2,652,"61,905.25",0,0
"수요일",12시~13시,69,1.12,2,670,"46,203.85",0,0
"수요일",13시~14시,97,1.34,2.1,634,"61,540.05",0,0
"수요일",14시~15시,97,1.21,2,668,"64,762.5",0,0
"수요일",15시~16시,107,1.24,2.1,596,"63,812.65",0,0
"수요일",16시~17시,112,1.41,2,597,"66,832.15",0,0
"수요일",17시~18시,247,2.82,2,392,"96,702.1",0,0
"수요일",18시~19시,101,1.5,1.9,545,"55,093.5",0,0
"수요일",19시~20시,51,1.28,2,458,"23,368.4",0,0
"수요일",20시~21시,4,0.8,2,663,"2,653.75",0,0
"수요일",21시~22시,30,0.64,1.7,421,"12,618.65",0,0
"수요일",22시~23시,101,1.09,1.7,448,"45,260.05",0,0
"수요일",23시~00시,99,1.22,1.7,425,"42,089.3",0,0
"목요일",00시~01시,53,0.86,1.7,439,"23,276",0,0
"목요일",01시~02시,22,0.64,1.7,484,"10,655.7",0,0
"목요일",02시~03시,26,1.15,1.6,449,"11,668.8",0,0
"목요일",03시~04시,40,2.12,1.7,376,"15,050.2",0,0
"목요일",04시~05시,35,1.95,1.7,332,"11,620.4",0,0
"목요일",05시~06시,32,1.25,1.8,510,"16,319.05",0,0
"목요일",06시~07시,44,1.07,1.8,486,"21,378.5",0,0
"목요일",07시~08시,64,1.24,1.9,467,"29,879.85",0,0
"목요일",08시~09시,89,1.26,2,509,"45,268.3",0,0
"목요일",09시~10시,111,1.43,2,553,"61,348.65",0,0
"목요일",10시~11시,127,1.56,2.2,656,"83,314",0,0
"목요일",11시~12시,185,1.7,2.1,899,"166,271.6",0,0
"목요일",12시~13시,118,1.4,2.1,"1,035","122,144",0,0
"목요일",13시~14시,113,1.25,1.9,889,"100,416.8",0,0
"목요일",14시~15시,113,1.37,2,664,"75,005.7",0,0
"목요일",15시~16시,224,2.47,1.9,475,"106,362.85",0,0
"목요일",16시~17시,139,1.72,2.1,620,"86,131.1",0,0
"목요일",17시~18시,128,1.72,2,667,"85,396.3",0,0
"목요일",18시~19시,112,1.62,1.9,611,"68,484.9",0,0
"목요일",19시~20시,64,1.53,1.9,578,"37,008.95",0,0
"목요일",20시~21시,0,0,1.8,0,0,0,0
"목요일",21시~22시,44,1.1,1.8,453,"19,943",0,0
"목요일",22시~23시,64,1.15,1.7,461,"29,524.55",0,0
"목요일",23시~00시,54,1.11,1.7,400,"21,612.25",0,0
"금요일",00시~01시,49,1.14,1.7,403,"19,725.75",0,0
"금요일",01시~02시,44,1.23,1.7,463,"20,368.15",0,0
"금요일",02시~03시,42,1.77,1.7,403,"16,919.65",0,0
"금요일",03시~04시,34,1.8,1.7,282,"9,584.3",0,0
"금요일",04시~05시,17,1.02,1.7,595,"10,122.2",0,0
"금요일",05시~06시,32,1.13,1.7,557,"17,827.7",0,0
"금요일",06시~07시,56,1.35,1.7,577,"32,305.9",0,0
"금요일",07시~08시,97,1.8,1.8,590,"57,267.65",0,0
"금요일",08시~09시,116,1.58,2,536,"62,180.8",0,0
"금요일",09시~10시,159,1.86,2.1,613,"97,447.9",0,0
"금요일",10시~11시,236,2.1,2.1,"1,000","235,962.1",0,0
"금요일",11시~12시,245,2.15,2.1,"1,089","266,846.8",0,0
"금요일",12시~13시,158,1.68,2.1,766,"121,020.9",0,0
"금요일",13시~14시,403,3.66,1.9,469,"188,928.3",0,0
"금요일",14시~15시,135,1.71,1.9,624,"84,203.35",0,0
"금요일",15시~16시,145,1.71,2,644,"93,436.2",0,0
"금요일",16시~17시,188,2.22,2,653,"122,681.9",0,0
"금요일",17시~18시,144,1.87,2.1,498,"71,755.2",0,0
"금요일",18시~19시,138,1.91,1.9,530,"73,120.3",0,0
"금요일",19시~20시,105,2.38,1.9,451,"47,337.95",0,0
"금요일",20시~21시,12,1.69,1.8,323,"3,875.85",0,0
"금요일",21시~22시,97,1.54,1.9,469,"45,515.25",0,0
"금요일",22시~23시,"1,818",4.31,1.8,329,"598,408.8",0,0
"금요일",23시~00시,74,1.2,1.7,462,"34,201.2",0,0
"토요일",00시~01시,46,0.91,1.7,456,"20,974.8",0,0
"토요일",01시~02시,42,1.05,1.7,562,"23,623.6",0,0
"토요일",02시~03시,36,1.39,1.6,513,"18,455.25",0,0
"토요일",03시~04시,29,1.47,1.6,424,"12,300.2",0,0
"토요일",04시~05시,20,1.05,1.6,506,"10,114.5",0,0
"토요일",05시~06시,56,2,1.7,445,"24,937",0,0
"토요일",06시~07시,67,1.6,1.7,423,"28,364.6",0,0
"토요일",07시~08시,131,2.28,1.8,506,"66,255.75",0,0
"토요일",08시~09시,198,2.22,2.1,581,"114,958.25",0,0
"토요일",09시~10시,251,2.02,2.1,642,"161,214.9",0,0
"토요일",10시~11시,327,2.17,2.1,772,"252,306.45",0,0
"토요일",11시~12시,193,1.58,2.1,951,"183,535",0,0
"토요일",12시~13시,943,3.91,1.8,755,"711,632.35",0,0
"토요일",13시~14시,326,2.4,1.7,"1,132","369,047.25",0,0
"토요일",14시~15시,165,1.93,1.9,981,"161,796.25",0,0
"토요일",15시~16시,155,1.49,2,597,"92,535.85",0,0
"토요일",16시~17시,234,1.95,1.7,685,"160,298.6",0,0
"토요일",17시~18시,459,3.17,1.8,504,"231,407",0,0
"토요일",18시~19시,191,2.14,1.7,474,"90,520.1",0,0
"토요일",19시~20시,75,1.95,1.7,457,"34,301.3",0,0
"토요일",20시~21시,12,1.2,2.2,332,"3,982",0,0
"토요일",21시~22시,74,1.49,1.9,485,"35,898.5",0,0
"토요일",22시~23시,100,1.38,1.9,475,"47,534.3",0,0
"토요일",23시~00시,123,1.45,1.8,482,"59,318.6",0,0
"일요일",00시~01시,120,1.35,1.9,473,"56,781.45",0,0
"일요일",01시~02시,124,2.22,1.8,449,"55,730.4",0,0
"일요일",02시~03시,32,1.03,1.8,478,"15,310.35",0,0
"일요일",03시~04시,23,1.1,1.8,479,"11,028.05",0,0
"일요일",04시~05시,23,1.1,1.7,491,"11,290.95",0,0
"일요일",05시~06시,40,1.44,1.9,484,"19,360.55",0,0
"일요일",06시~07시,97,1.95,1.9,508,"49,283.3",0,0
"일요일",07시~08시,141,2.06,1.9,507,"71,492.85",0,0
"일요일",08시~09시,219,1.99,2.1,589,"129,017.35",0,0
"일요일",09시~10시,334,2.15,2.1,699,"233,429.9",0,0
"일요일",10시~11시,307,1.78,2.2,896,"274,971.95",0,0
