"요일별보고서(2025.06.01.~2025.06.30.),granada85:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,4,1.78,3.7,72,286,0,0
"월요일",01시~02시,1,0.54,4.6,110,110,0,0
"월요일",02시~03시,2,1.95,5.1,121,242,0,0
"월요일",03시~04시,1,2.09,3.4,77,77,0,0
"월요일",04시~05시,0,0,5.2,0,0,0,0
"월요일",05시~06시,0,0,3.9,0,0,0,0
"월요일",06시~07시,0,0,3.3,0,0,0,0
"월요일",07시~08시,2,1,4.5,110,220,0,0
"월요일",08시~09시,1,0.4,3.4,77,77,0,0
"월요일",09시~10시,1,0.32,3.6,66,66,0,0
"월요일",10시~11시,4,0.97,3.3,162,649,0,0
"월요일",11시~12시,2,0.41,3.6,88,176,0,0
"월요일",12시~13시,5,0.93,3.4,75,374,0,0
"월요일",13시~14시,5,0.81,3,90,451,0,0
"월요일",14시~15시,7,1.1,3,72,506,0,0
"월요일",15시~16시,8,1.11,3,94,748,0,0
"월요일",16시~17시,8,1.44,3,118,946,0,0
"월요일",17시~18시,7,1.2,2.8,75,528,0,0
"월요일",18시~19시,7,1.35,2.8,157,"1,100",0,0
"월요일",19시~20시,5,1.21,3.1,101,506,0,0
"월요일",20시~21시,2,0.49,3.5,308,616,0,0
"월요일",21시~22시,2,0.72,3.1,66,132,0,0
"월요일",22시~23시,1,0.34,3.5,198,198,0,0
"월요일",23시~00시,3,1.12,4.1,66,198,0,0
"화요일",00시~01시,3,2.05,3.1,99,297,0,0
"화요일",01시~02시,0,0,5.1,0,0,0,0
"화요일",02시~03시,0,0,6.5,0,0,0,0
"화요일",03시~04시,1,1.64,3.8,77,77,0,0
"화요일",04시~05시,2,3.04,3.4,94,187,0,0
"화요일",05시~06시,1,2.05,3.7,88,88,0,0
"화요일",06시~07시,1,1.97,3.2,66,66,0,0
"화요일",07시~08시,1,0.67,3.3,88,88,0,0
"화요일",08시~09시,1,0.36,3.8,77,77,0,0
"화요일",09시~10시,1,0.25,3.8,66,66,0,0
"화요일",10시~11시,3,0.69,3.3,84,253,0,0
"화요일",11시~12시,4,0.95,3.2,72,286,0,0
"화요일",12시~13시,3,0.78,3.4,70,209,0,0
"화요일",13시~14시,2,0.39,3.4,66,132,0,0
"화요일",14시~15시,8,1.39,3.2,89,715,0,0
"화요일",15시~16시,2,0.5,3.3,88,176,0,0
"화요일",16시~17시,1,0.29,3.1,66,66,0,0
"화요일",17시~18시,3,0.91,3,84,253,0,0
"화요일",18시~19시,3,0.91,3.8,165,495,0,0
"화요일",19시~20시,1,0.47,3.6,66,66,0,0
"화요일",20시~21시,8,2.74,3.1,91,726,0,0
"화요일",21시~22시,2,0.74,3.9,270,539,0,0
"화요일",22시~23시,2,0.97,3.6,248,495,0,0
"화요일",23시~00시,3,1.6,3,139,418,0,0
"수요일",00시~01시,1,0.49,3.3,66,66,0,0
"수요일",01시~02시,0,0,5.2,0,0,0,0
"수요일",02시~03시,1,1.05,5.5,66,66,0,0
"수요일",03시~04시,0,0,4.2,0,0,0,0
"수요일",04시~05시,0,0,3.6,0,0,0,0
"수요일",05시~06시,0,0,3.5,0,0,0,0
"수요일",06시~07시,0,0,2.8,0,0,0,0
"수요일",07시~08시,0,0,4,0,0,0,0
"수요일",08시~09시,1,0.51,3.8,143,143,0,0
"수요일",09시~10시,4,1.28,3.8,77,308,0,0
"수요일",10시~11시,4,1.08,4,77,308,0,0
"수요일",11시~12시,5,1.25,3.4,92,462,0,0
"수요일",12시~13시,5,1.12,3.2,130,649,0,0
"수요일",13시~14시,2,0.58,3.1,121,242,0,0
"수요일",14시~15시,5,1.06,3.5,172,858,0,0
"수요일",15시~16시,3,0.71,4,95,286,0,0
"수요일",16시~17시,6,1.44,3.5,68,407,0,0
"수요일",17시~18시,2,0.48,3.7,105,209,0,0
"수요일",18시~19시,4,1.01,3.5,157,627,0,0
"수요일",19시~20시,4,1.5,3.2,91,363,0,0
"수요일",20시~21시,2,1,3.2,281,561,0,0
"수요일",21시~22시,3,1.24,3.1,84,253,0,0
"수요일",22시~23시,2,0.66,4,110,220,0,0
"수요일",23시~00시,2,1.11,4,110,220,0,0
"목요일",00시~01시,6,3.49,3.1,84,506,0,0
"목요일",01시~02시,0,0,4.5,0,0,0,0
"목요일",02시~03시,0,0,4.7,0,0,0,0
"목요일",03시~04시,0,0,4.5,0,0,0,0
"목요일",04시~05시,0,0,3.6,0,0,0,0
"목요일",05시~06시,0,0,4.2,0,0,0,0
"목요일",06시~07시,0,0,3.4,0,0,0,0
"목요일",07시~08시,0,0,4.3,0,0,0,0
"목요일",08시~09시,5,2.58,3.3,106,528,0,0
"목요일",09시~10시,7,2.57,4.1,107,748,0,0
"목요일",10시~11시,4,1.46,3.8,110,440,0,0
"목요일",11시~12시,0,0,4.2,0,0,0,0
"목요일",12시~13시,1,0.3,3.9,110,110,0,0
"목요일",13시~14시,6,1.51,3.7,110,660,0,0
"목요일",14시~15시,2,0.53,3.8,94,187,0,0
"목요일",15시~16시,3,0.63,3.4,92,275,0,0
"목요일",16시~17시,5,1.2,3.6,101,506,0,0
"목요일",17시~18시,1,0.27,3.8,55,55,0,0
"목요일",18시~19시,4,0.99,3.6,182,726,0,0
"목요일",19시~20시,3,0.95,3.1,84,253,0,0
"목요일",20시~21시,5,1.54,3,106,528,0,0
"목요일",21시~22시,3,0.95,3.9,95,286,0,0
"목요일",22시~23시,3,0.81,3.9,81,242,0,0
"목요일",23시~00시,4,1.74,3.2,110,440,0,0
"금요일",00시~01시,2,1,3.3,220,440,0,0
"금요일",01시~02시,0,0,5.4,0,0,0,0
"금요일",02시~03시,0,0,3.6,0,0,0,0
"금요일",03시~04시,2,2.71,4.4,99,198,0,0
"금요일",04시~05시,0,0,4.6,0,0,0,0
"금요일",05시~06시,0,0,4,0,0,0,0
"금요일",06시~07시,0,0,4.1,0,0,0,0
"금요일",07시~08시,1,0.72,4.2,110,110,0,0
"금요일",08시~09시,4,1.46,3.3,88,352,0,0
"금요일",09시~10시,4,1.44,3.6,99,396,0,0
"금요일",10시~11시,2,0.47,3.9,110,220,0,0
"금요일",11시~12시,4,1.15,3.4,105,418,0,0
"금요일",12시~13시,5,1.52,3.4,101,506,0,0
"금요일",13시~14시,2,0.38,3.4,88,176,0,0
"금요일",14시~15시,9,2.07,3.5,109,979,0,0
