"요일별보고서(2025.06.01.~2025.06.30.),habin0929:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,16,1.48,3.3,136,"2,178",1,"13,600"
"월요일",01시~02시,6,0.85,3.6,119,715,0,0
"월요일",02시~03시,8,1.46,3.9,122,979,0,0
"월요일",03시~04시,5,1.3,3.7,103,517,0,0
"월요일",04시~05시,3,0.73,3.6,99,297,0,0
"월요일",05시~06시,8,2.15,3.6,166,"1,331",0,0
"월요일",06시~07시,13,1.75,3.8,120,"1,562",1,"50,000"
"월요일",07시~08시,12,1.17,3.7,108,"1,298",0,0
"월요일",08시~09시,29,1.81,4,180,"5,214",0,0
"월요일",09시~10시,29,1.32,4,231,"6,710",0,0
"월요일",10시~11시,25,1.03,4,165,"4,125",1,"11,200"
"월요일",11시~12시,37,1.41,4.1,139,"5,159",0,0
"월요일",12시~13시,21,0.91,3.9,144,"3,025",0,0
"월요일",13시~14시,21,0.87,3.9,156,"3,267",1,"94,000"
"월요일",14시~15시,29,0.96,4.1,110,"3,201",0,0
"월요일",15시~16시,38,1.17,4.1,133,"5,038",1,"2,800"
"월요일",16시~17시,39,1.18,3.9,163,"6,347",0,0
"월요일",17시~18시,33,1.09,3.8,130,"4,279",0,0
"월요일",18시~19시,29,1.23,3.6,135,"3,905",0,0
"월요일",19시~20시,23,1.04,3.6,130,"2,981",0,0
"월요일",20시~21시,33,1.37,3.6,208,"6,864",1,"13,600"
"월요일",21시~22시,29,1.18,3.5,141,"4,092",0,0
"월요일",22시~23시,36,1.53,3.3,177,"6,369",1,"7,000"
"월요일",23시~00시,23,1.2,3.4,105,"2,420",0,0
"화요일",00시~01시,14,1.55,3.7,111,"1,551",0,0
"화요일",01시~02시,7,1.49,3.3,215,"1,507",0,0
"화요일",02시~03시,5,1.48,3.6,121,605,0,0
"화요일",03시~04시,2,0.8,3.9,66,132,0,0
"화요일",04시~05시,4,1.37,3.9,187,748,0,0
"화요일",05시~06시,8,2.21,4.2,175,"1,397",0,0
"화요일",06시~07시,14,2.26,4,174,"2,442",0,0
"화요일",07시~08시,17,1.98,4,146,"2,475",0,0
