"요일별보고서(2025.06.01.~2025.06.30.),lhljy8029:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1.7,0,6.6,0,0
"월요일",01시~02시,0,0,1.5,0,4.95,0,0
"월요일",02시~03시,0,0,1.3,0,3.85,0,0
"월요일",03시~04시,0,0,1.6,0,3.85,0,0
"월요일",04시~05시,1,2.28,1.4,596,596.2,0,0
"월요일",05시~06시,3,5.18,1.5,709,"2,127.95",0,0
"월요일",06시~07시,3,1.64,1.5,764,"2,292.95",0,0
"월요일",07시~08시,3,1.13,1.6,422,"1,265",0,0
"월요일",08시~09시,13,3.34,1.8,620,"8,061.35",0,0
"월요일",09시~10시,12,2.3,1.9,493,"5,919.1",0,0
"월요일",10시~11시,13,2.62,2,446,"5,802.5",0,0
"월요일",11시~12시,14,2.53,2,501,"7,018.55",0,0
"월요일",12시~13시,8,1.81,1.8,661,"5,284.95",0,0
"월요일",13시~14시,9,1.76,1.9,267,"2,400.2",0,0
"월요일",14시~15시,8,1.6,1.9,423,"3,383.05",0,0
"월요일",15시~16시,4,0.78,2,145,580.8,0,0
"월요일",16시~17시,9,1.75,1.9,548,"4,929.1",0,0
"월요일",17시~18시,3,0.64,1.7,655,"1,965.15",0,0
"월요일",18시~19시,8,1.83,1.7,270,"2,159.85",0,0
"월요일",19시~20시,4,1.22,1.7,633,"2,530",0,0
"월요일",20시~21시,6,1.73,1.8,494,"2,964.5",0,0
"월요일",21시~22시,4,1.4,1.7,"1,309","5,237.65",0,0
"월요일",22시~23시,4,1.16,1.5,570,"2,278.1",0,0
"월요일",23시~00시,4,1.36,1.7,373,"1,493.25",0,0
"화요일",00시~01시,0,0,1.6,0,8.25,0,0
"화요일",01시~02시,2,2.67,1.5,469,938.85,0,0
"화요일",02시~03시,0,0,1.5,0,4.4,0,0
"화요일",03시~04시,0,0,1.4,0,2.2,0,0
"화요일",04시~05시,0,0,1.4,0,2.75,0,0
"화요일",05시~06시,0,0,1.7,0,2.75,0,0
"화요일",06시~07시,0,0,1.6,0,9.35,0,0
"화요일",07시~08시,1,0.56,1.6,87,87.45,0,0
"화요일",08시~09시,8,3,1.7,373,"2,985.4",0,0
"화요일",09시~10시,5,1.82,1.8,419,"2,097.15",0,0
"화요일",10시~11시,8,2.35,1.6,449,"3,593.7",0,0
"화요일",11시~12시,7,2.08,2,"1,007","7,049.9",0,0
