"요일별보고서(2025.06.01.~2025.06.30.),migyeongg1833:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,3.2,0,0,0,0
"월요일",01시~02시,5,1.99,3.1,442,"2,211",0,0
"월요일",02시~03시,2,0.77,2.9,484,968,0,0
"월요일",03시~04시,2,1.32,2.9,484,968,0,0
"월요일",04시~05시,1,0.58,2.5,77,77,0,0
"월요일",05시~06시,1,0.52,2,561,561,0,0
"월요일",06시~07시,5,1.74,2,405,"2,024",0,0
"월요일",07시~08시,3,0.73,2.3,352,"1,056",0,0
"월요일",08시~09시,23,2.12,2,828,"19,052",0,0
"월요일",09시~10시,32,2.17,2.2,"1,087","34,771",0,0
"월요일",10시~11시,53,2.4,2.2,980,"51,942",0,0
"월요일",11시~12시,48,2.11,1.9,"1,032","49,523.1",0,0
"월요일",12시~13시,42,1.98,1.8,"1,327","55,749.65",0,0
"월요일",13시~14시,30,1.38,1.7,818,"24,543.2",0,0
"월요일",14시~15시,26,1.35,1.7,813,"21,133.2",0,0
"월요일",15시~16시,8,1.21,1.8,348,"2,783",0,0
"월요일",16시~17시,23,1.43,1.7,"1,705","39,226",0,0
"월요일",17시~18시,27,1.57,1.8,"1,520","41,052",0,0
"월요일",18시~19시,32,1.94,1.9,"1,648","52,723",0,0
"월요일",19시~20시,31,2.2,1.9,"1,211","37,532",0,0
"월요일",20시~21시,6,1.32,1.8,389,"2,332",0,0
"월요일",21시~22시,0,0,1.7,0,0,0,0
"월요일",22시~23시,0,0,4.1,0,0,0,0
"월요일",23시~00시,0,0,1.1,0,0,0,0
"화요일",00시~01시,1,2.33,1.6,451,451,0,0
"화요일",01시~02시,2,1,1.8,589,"1,177",0,0
"화요일",02시~03시,2,1.39,2,605,"1,210",0,0
"화요일",03시~04시,1,1.04,1.9,605,605,0,0
"화요일",04시~05시,1,1.12,2,605,605,0,0
"화요일",05시~06시,0,0,1.8,0,0,0,0
"화요일",06시~07시,1,0.45,1.6,77,77,0,0
"화요일",07시~08시,0,0,1.8,0,0,0,0
"화요일",08시~09시,9,1.49,1.8,904,"8,140",0,0
"화요일",09시~10시,22,2.06,1.7,938,"20,636",0,0
"화요일",10시~11시,36,2.55,1.7,"1,062","38,247",0,0
"화요일",11시~12시,27,1.77,1.6,"1,186","32,010",0,0
"화요일",12시~13시,25,2.09,1.6,"1,118","27,951",0,0
"화요일",13시~14시,17,1.65,1.6,996,"16,940",0,0
"화요일",14시~15시,17,1.68,1.7,858,"14,586",0,0
"화요일",15시~16시,0,0,2,0,0,0,0
"화요일",16시~17시,5,0.94,1.8,"1,916","9,581",0,0
"화요일",17시~18시,14,2.7,1.7,"1,509","21,131",0,0
"화요일",18시~19시,3,0.67,2,"2,310","6,930",0,0
"화요일",19시~20시,6,1.87,1.7,"1,716","10,296",0,0
"화요일",20시~21시,0,0,1,0,0,0,0
"수요일",00시~01시,2,2.6,2.6,578,"1,155",0,0
