"요일별보고서(2025.06.01.~2025.06.30.),na_ya2:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,1.8,0,0,0,0
"월요일",01시~02시,0,0,3.5,0,0,0,0
"월요일",02시~03시,0,0,5,0,0,0,0
"월요일",04시~05시,0,0,3,0,0,0,0
"월요일",07시~08시,0,0,2.6,0,0,0,0
"월요일",08시~09시,1,0.18,2.8,"2,277","2,277",0,0
"월요일",09시~10시,2,0.31,2.9,347,693,0,0
"월요일",10시~11시,1,0.13,3.1,671,671,0,0
"월요일",11시~12시,5,0.55,3,"1,514","7,568",0,0
"월요일",12시~13시,0,0,2.8,0,0,0,0
"월요일",13시~14시,4,0.48,2.9,"1,898","7,590",0,0
"월요일",14시~15시,2,0.26,2.9,957,"1,914",0,0
"월요일",15시~16시,1,0.14,2.9,"4,917","4,917",0,0
"월요일",16시~17시,2,0.28,2.8,644,"1,287",0,0
"월요일",17시~18시,3,0.43,2.7,953,"2,860",0,0
"월요일",18시~19시,1,0.16,2.5,"2,112","2,112",0,0
"월요일",19시~20시,0,0,2.5,0,0,0,0
"월요일",20시~21시,0,0,1.8,0,0,0,0
"월요일",21시~22시,0,0,2.1,0,0,0,0
"월요일",22시~23시,0,0,2,0,0,0,0
"월요일",23시~00시,0,0,1.8,0,0,0,0
"화요일",00시~01시,1,50,1.5,"2,178","2,178",0,0
"화요일",01시~02시,0,0,3,0,0,0,0
"화요일",02시~03시,0,0,2,0,0,0,0
"화요일",03시~04시,0,0,2,0,0,0,0
"화요일",04시~05시,0,0,2,0,0,0,0
"화요일",07시~08시,1,0.42,2.7,605,605,0,0
"화요일",08시~09시,3,1.04,2.9,"2,541","7,623",0,0
"화요일",09시~10시,1,0.35,2.9,"2,013","2,013",0,0
"화요일",10시~11시,3,0.65,3,480,"1,441",0,0
"화요일",11시~12시,3,0.55,2.6,"2,057","6,171",0,0
"화요일",12시~13시,2,0.38,2.5,"1,375","2,750",0,0
"화요일",13시~14시,0,0,2.6,0,0,0,0
"화요일",14시~15시,3,0.47,2.5,"1,954","5,863",0,0
"화요일",15시~16시,5,0.68,2.9,"1,360","6,798",0,0
"화요일",16시~17시,7,1.01,2.7,833,"5,830",0,0
"화요일",17시~18시,5,0.64,2.9,744,"3,718",0,0
"화요일",18시~19시,3,0.44,2.9,499,"1,496",0,0
"화요일",19시~20시,1,9.1,1.3,"4,158","4,158",0,0
"화요일",20시~21시,0,0,1,0,0,0,0
"화요일",21시~22시,0,0,1,0,0,0,0
"화요일",22시~23시,0,0,1,0,0,0,0
"화요일",23시~00시,0,0,1,0,0,0,0
"수요일",00시~01시,0,0,1.7,0,0,0,0
"수요일",01시~02시,0,0,2,0,0,0,0
"수요일",04시~05시,0,0,2,0,0,0,0
"수요일",07시~08시,0,0,2.5,0,0,0,0
"수요일",08시~09시,1,0.25,2.5,572,572,0,0
"수요일",09시~10시,1,0.21,3.2,627,627,0,0
"수요일",10시~11시,0,0,2.9,0,0,0,0
"수요일",11시~12시,0,0,2.8,0,0,0,0
"수요일",12시~13시,4,0.65,2.5,322,"1,287",0,0
"수요일",13시~14시,4,0.58,2.7,404,"1,617",0,0
"수요일",14시~15시,6,0.8,2.8,609,"3,652",0,0
"수요일",15시~16시,10,1.36,2.9,954,"9,537",0,0
"수요일",16시~17시,5,0.65,2.9,"1,217","6,083",0,0
"수요일",17시~18시,3,0.43,2.8,528,"1,584",0,0
"수요일",18시~19시,3,0.49,2.5,"1,027","3,080",0,0
"수요일",19시~20시,0,0,1.5,0,0,0,0
"수요일",20시~21시,0,0,2,0,0,0,0
"수요일",21시~22시,0,0,3,0,0,0,0
"수요일",22시~23시,0,0,2,0,0,0,0
"목요일",00시~01시,0,0,1,0,0,0,0
"목요일",07시~08시,1,0.3,3,814,814,0,0
"목요일",08시~09시,1,0.24,2.8,187,187,0,0
"목요일",09시~10시,4,0.78,2.9,575,"2,299",0,0
"목요일",10시~11시,5,0.79,2.9,506,"2,530",0,0
"목요일",11시~12시,1,0.16,3,"2,002","2,002",0,0
"목요일",12시~13시,3,0.52,2.9,"1,232","3,696",0,0
"목요일",13시~14시,5,0.76,3,847,"4,235",0,0
"목요일",14시~15시,8,1.11,2.9,880,"7,040",0,0
"목요일",15시~16시,3,0.38,2.9,818,"2,453",0,0
"목요일",16시~17시,3,0.4,2.8,"2,468","7,403",0,0
"목요일",17시~18시,2,0.28,2.8,"2,112","4,224",0,0
"목요일",18시~19시,5,0.77,2.7,"1,041","5,203",0,0
"목요일",19시~20시,1,12.5,1.9,"2,706","2,706",0,0
