"요일별보고서(2025.06.01.~2025.06.30.),nman99:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,1,0.61,2.2,77,77,0,0
"월요일",01시~02시,1,0.8,2.6,"2,255","2,255",0,0
"월요일",02시~03시,0,0,2.5,0,0,0,0
"월요일",03시~04시,1,1.32,2.7,"2,299","2,299",0,0
"월요일",04시~05시,0,0,2.7,0,0,0,0
"월요일",05시~06시,0,0,2.6,0,0,0,0
"월요일",06시~07시,2,1.73,2.8,"1,051","2,101",0,0
"월요일",07시~08시,2,1.2,2.5,275,550,0,0
"월요일",08시~09시,1,0.64,2.7,"2,332","2,332",0,0
"월요일",09시~10시,0,0,3.3,0,0,0,0
"월요일",10시~11시,0,0,3.2,0,0,0,0
"월요일",11시~12시,1,0.63,3.2,"2,376","2,376",0,0
"월요일",12시~13시,2,1.02,2.9,77,154,0,0
"월요일",13시~14시,2,1.22,2.6,"2,030","4,059",0,0
"월요일",14시~15시,4,2.5,3.6,"1,106","4,422",0,0
"월요일",15시~16시,3,1.75,2.8,920,"2,761",0,0
"월요일",16시~17시,2,1.09,2.5,77,154,0,0
"월요일",17시~18시,0,0,2.3,0,0,0,0
"월요일",18시~19시,1,0.81,2.2,"4,158","4,158",0,0
"월요일",19시~20시,2,1.62,2.1,"1,826","3,652",0,0
"월요일",20시~21시,2,1.15,2,"1,645","3,289",0,0
"월요일",21시~22시,0,0,1.9,0,0,0,0
"월요일",22시~23시,4,1.49,1.9,149,594,0,0
"월요일",23시~00시,4,1.58,1.8,"2,448","9,790",0,0
"화요일",00시~01시,1,0.68,1.9,"2,255","2,255",0,0
"화요일",01시~02시,0,0,2.3,0,0,0,0
"화요일",02시~03시,0,0,2.4,0,0,0,0
"화요일",03시~04시,1,1.7,2.5,"2,475","2,475",0,0
"화요일",04시~05시,0,0,2.4,0,0,0,0
"화요일",05시~06시,0,0,2.4,0,0,0,0
"화요일",06시~07시,0,0,2.6,0,0,0,0
"화요일",07시~08시,0,0,2.1,0,0,0,0
"화요일",08시~09시,1,0.73,2.7,"3,542","3,542",0,0
"화요일",09시~10시,2,1.2,2.2,"2,211","4,422",0,0
"화요일",10시~11시,1,0.77,2.9,77,77,0,0
"화요일",11시~12시,2,1.66,2.2,77,154,0,0
"화요일",12시~13시,1,0.79,3,77,77,0,0
"화요일",13시~14시,3,2.03,2.8,"1,789","5,368",0,0
"화요일",14시~15시,2,1.43,1.9,539,"1,078",0,0
"화요일",15시~16시,3,2.15,1.8,77,231,0,0
"화요일",16시~17시,0,0,1.9,0,0,0,0
