"요일별보고서(2025.06.01.~2025.06.30.),onnuri68:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,3,0,0,0,0
"월요일",01시~02시,0,0,3.6,0,0,0,0
"월요일",02시~03시,0,0,4,0,0,0,0
"월요일",03시~04시,0,0,3.6,0,0,0,0
"월요일",04시~05시,0,0,3.3,0,0,0,0
"월요일",05시~06시,0,0,2.9,0,0,0,0
"월요일",06시~07시,0,0,3,0,0,0,0
"월요일",07시~08시,0,0,3.1,0,0,0,0
"월요일",08시~09시,0,0,3,0,0,0,0
"월요일",09시~10시,0,0,3.3,0,0,0,0
"월요일",10시~11시,0,0,3.3,0,0,0,0
"월요일",11시~12시,0,0,3.1,0,0,0,0
"월요일",12시~13시,1,0.38,3.2,550,550,0,0
"월요일",13시~14시,1,0.3,3.2,88,88,0,0
"월요일",14시~15시,0,0,3.1,0,0,0,0
"월요일",15시~16시,0,0,3.1,0,0,0,0
"월요일",16시~17시,1,0.26,3.1,77,77,0,0
"월요일",17시~18시,0,0,3.1,0,0,0,0
"월요일",18시~19시,0,0,3.2,0,0,0,0
"월요일",19시~20시,0,0,3.4,0,0,0,0
"월요일",20시~21시,0,0,3.6,0,0,0,0
"월요일",21시~22시,2,0.65,3.5,94,187,0,0
"월요일",22시~23시,0,0,3.5,0,0,0,0
"월요일",23시~00시,1,0.38,3.5,88,88,0,0
"화요일",00시~01시,0,0,3.8,0,0,0,0
"화요일",01시~02시,0,0,4.3,0,0,0,0
"화요일",02시~03시,0,0,4.2,0,0,0,0
"화요일",03시~04시,0,0,3.8,0,0,0,0
"화요일",04시~05시,0,0,3.1,0,0,0,0
"화요일",05시~06시,0,0,3,0,0,0,0
"화요일",06시~07시,0,0,3.6,0,0,0,0
"화요일",07시~08시,0,0,3.3,0,0,0,0
"화요일",08시~09시,0,0,2.9,0,0,0,0
"화요일",09시~10시,0,0,3.1,0,0,0,0
"화요일",10시~11시,1,0.51,3.1,77,77,0,0
"화요일",11시~12시,1,0.46,3,110,110,0,0
"화요일",12시~13시,0,0,3.5,0,0,0,0
"화요일",13시~14시,0,0,3.6,0,0,0,0
"화요일",14시~15시,0,0,3,0,0,0,0
"화요일",15시~16시,0,0,3.2,0,0,0,0
"화요일",16시~17시,0,0,3.4,0,0,0,0
"화요일",17시~18시,0,0,3.1,0,0,0,0
"화요일",18시~19시,1,0.43,3.6,77,77,0,0
"화요일",19시~20시,0,0,3.4,0,0,0,0
"화요일",20시~21시,0,0,3.3,0,0,0,0
"화요일",21시~22시,0,0,3.4,0,0,0,0
"화요일",22시~23시,0,0,3.5,0,0,0,0
"화요일",23시~00시,0,0,3.6,0,0,0,0
"수요일",00시~01시,0,0,4.1,0,0,0,0
"수요일",01시~02시,1,1.08,4.7,143,143,0,0
"수요일",02시~03시,0,0,5.1,0,0,0,0
"수요일",03시~04시,0,0,4,0,0,0,0
"수요일",04시~05시,0,0,3.7,0,0,0,0
"수요일",05시~06시,1,3.13,3.1,660,660,0,0
"수요일",06시~07시,0,0,3.5,0,0,0,0
"수요일",07시~08시,0,0,3.2,0,0,0,0
"수요일",08시~09시,0,0,3.3,0,0,0,0
"수요일",09시~10시,0,0,2.9,0,0,0,0
"수요일",10시~11시,0,0,3,0,0,0,0
"수요일",11시~12시,0,0,3.5,0,0,0,0
"수요일",12시~13시,0,0,3.2,0,0,0,0
"수요일",13시~14시,0,0,3.3,0,0,0,0
"수요일",14시~15시,0,0,3.3,0,0,0,0
"수요일",15시~16시,0,0,3.6,0,0,0,0
"수요일",16시~17시,0,0,3.3,0,0,0,0
"수요일",17시~18시,0,0,3.1,0,0,0,0
"수요일",18시~19시,0,0,2.9,0,0,0,0
"수요일",19시~20시,0,0,2.9,0,0,0,0
"수요일",20시~21시,0,0,3.2,0,0,0,0
"수요일",21시~22시,0,0,3.2,0,0,0,0
"수요일",22시~23시,0,0,3.3,0,0,0,0
"수요일",23시~00시,0,0,3.4,0,0,0,0
"목요일",00시~01시,0,0,3.8,0,0,0,0
"목요일",01시~02시,0,0,4.1,0,0,0,0
"목요일",02시~03시,0,0,3.8,0,0,0,0
"목요일",03시~04시,0,0,3.7,0,0,0,0
"목요일",04시~05시,0,0,3.6,0,0,0,0
"목요일",05시~06시,1,3.45,2.9,660,660,0,0
"목요일",06시~07시,0,0,2.7,0,0,0,0
"목요일",07시~08시,0,0,3.2,0,0,0,0
"목요일",08시~09시,0,0,3.3,0,0,0,0
"목요일",09시~10시,0,0,2.9,0,0,0,0
"목요일",10시~11시,0,0,3.3,0,0,0,0
"목요일",11시~12시,0,0,3.2,0,0,0,0
"목요일",12시~13시,0,0,3.3,0,0,0,0
"목요일",13시~14시,0,0,3.3,0,0,0,0
"목요일",14시~15시,0,0,3.1,0,0,0,0
"목요일",15시~16시,0,0,3,0,0,0,0
"목요일",16시~17시,0,0,3.3,0,0,0,0
"목요일",17시~18시,0,0,3.2,0,0,0,0
"목요일",18시~19시,0,0,3.2,0,0,0,0
"목요일",19시~20시,0,0,3.1,0,0,0,0
"목요일",20시~21시,1,0.44,3.3,88,88,0,0
"목요일",21시~22시,0,0,3.3,0,0,0,0
"목요일",22시~23시,0,0,3.4,0,0,0,0
"목요일",23시~00시,1,0.45,3.6,99,99,0,0
"금요일",00시~01시,0,0,3.8,0,0,0,0
"금요일",01시~02시,0,0,4.6,0,0,0,0
"금요일",02시~03시,0,0,4,0,0,0,0
"금요일",03시~04시,0,0,3.9,0,0,0,0
"금요일",04시~05시,0,0,3.9,0,0,0,0
"금요일",05시~06시,0,0,2.9,0,0,0,0
"금요일",06시~07시,0,0,2.8,0,0,0,0
"금요일",07시~08시,0,0,3,0,0,0,0
"금요일",08시~09시,0,0,3.3,0,0,0,0
"금요일",09시~10시,1,0.61,3.2,143,143,0,0
"금요일",10시~11시,0,0,3.3,0,0,0,0
"금요일",11시~12시,0,0,3.5,0,0,0,0
"금요일",12시~13시,0,0,3.1,0,0,0,0
"금요일",13시~14시,0,0,3.1,0,0,0,0
"금요일",14시~15시,0,0,3.3,0,0,0,0
"금요일",15시~16시,1,0.39,3,77,77,0,0
"금요일",16시~17시,0,0,3.3,0,0,0,0
"금요일",17시~18시,0,0,2.7,0,0,0,0
"금요일",18시~19시,0,0,2.8,0,0,0,0
"금요일",19시~20시,0,0,2.9,0,0,0,0
"금요일",20시~21시,1,0.51,3.2,88,88,0,0
"금요일",21시~22시,0,0,2.9,0,0,0,0
"금요일",22시~23시,0,0,3.3,0,0,0,0
"금요일",23시~00시,0,0,3.4,0,0,0,0
"토요일",00시~01시,0,0,3.2,0,0,0,0
"토요일",01시~02시,0,0,3.1,0,0,0,0
"토요일",02시~03시,0,0,3.4,0,0,0,0
"토요일",03시~04시,0,0,3.6,0,0,0,0
"토요일",04시~05시,0,0,4,0,0,0,0
"토요일",05시~06시,0,0,3.2,0,0,0,0
"토요일",06시~07시,0,0,2.6,0,0,0,0
"토요일",07시~08시,1,0.91,2.9,77,77,0,0
"토요일",08시~09시,0,0,2.8,0,0,0,0
"토요일",09시~10시,0,0,2.8,0,0,0,0
"토요일",10시~11시,0,0,2.9,0,0,0,0
"토요일",11시~12시,0,0,2.9,0,0,0,0
"토요일",12시~13시,0,0,2.8,0,0,0,0
"토요일",13시~14시,0,0,3,0,0,0,0
"토요일",14시~15시,0,0,3,0,0,0,0
"토요일",15시~16시,1,0.5,3,660,660,0,0
"토요일",16시~17시,0,0,2.9,0,0,0,0
"토요일",17시~18시,0,0,3,0,0,0,0
"토요일",18시~19시,0,0,3.1,0,0,0,0
"토요일",19시~20시,0,0,2.7,0,0,0,0
