"요일별보고서(2025.06.01.~2025.06.30.),pmc_ceo2016:naver"
"요일별",시간대별,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환매출액(원)
"월요일",00시~01시,7,0.71,228,"1,593.9",2.8,0,0
"월요일",01시~02시,2,0.4,182,364.65,3.3,0,0
"월요일",02시~03시,1,0.35,101,101.2,2.6,0,0
"월요일",03시~04시,0,0,0,11.55,2.4,0,0
"월요일",04시~05시,0,0,0,13.2,2.2,0,0
"월요일",05시~06시,2,0.7,230,460.9,2.4,0,0
"월요일",06시~07시,1,0.26,400,400.4,2.2,0,0
"월요일",07시~08시,2,0.32,452,903.1,2.7,0,0
"월요일",08시~09시,8,0.9,252,"2,013.55",3.1,0,0
"월요일",09시~10시,8,0.77,310,"2,476.1",4.5,0,0
"월요일",10시~11시,15,1.13,207,"3,109.7",4,0,0
"월요일",11시~12시,16,0.92,266,"4,248.2",3.7,0,0
"월요일",12시~13시,17,1.07,284,"4,831.75",4.1,0,0
"월요일",13시~14시,9,0.65,239,"2,152.15",3.8,1,1
"월요일",14시~15시,19,1.5,163,"3,098.7",4.1,1,10
"월요일",15시~16시,17,1.31,256,"4,359.85",4.4,1,1
"월요일",16시~17시,17,1.25,167,"2,837.45",5,0,0
"월요일",17시~18시,12,0.88,112,"1,348.05",4.2,0,0
"월요일",18시~19시,15,1.25,214,"3,206.5",4.4,0,0
"월요일",19시~20시,15,1.4,249,"3,735.05",3.7,0,0
"월요일",20시~21시,12,1.26,253,"3,038.75",3.3,0,0
"월요일",21시~22시,9,0.84,243,"2,186.8",3.7,0,0
"월요일",22시~23시,10,0.86,182,"1,817.2",3.5,0,0
"월요일",23시~00시,9,0.75,257,"2,314.95",3.3,0,0
"화요일",00시~01시,4,0.55,300,"1,200.65",3,0,0
"화요일",01시~02시,3,0.88,164,490.6,3,0,0
"화요일",02시~03시,0,0,0,12.65,3.5,0,0
"화요일",03시~04시,4,2.02,260,"1,038.4",2.3,0,0
"화요일",04시~05시,0,0,0,13.75,3.4,0,0
"화요일",05시~06시,2,0.85,167,334.95,2.7,0,0
"화요일",06시~07시,1,0.28,579,578.6,2.6,0,0
"화요일",07시~08시,4,0.72,55,218.35,2.6,0,0
"화요일",08시~09시,6,0.78,234,"1,401.4",3.8,0,0
"화요일",09시~10시,9,0.83,326,"2,930.95",3.7,0,0
"화요일",10시~11시,17,1.3,305,"5,188.15",3.4,0,0
"화요일",11시~12시,18,1.22,246,"4,425.85",3.9,0,0
"화요일",12시~13시,9,0.66,306,"2,752.75",4.6,0,0
"화요일",13시~14시,14,1.41,312,"4,369.75",3.7,0,0
"화요일",14시~15시,6,0.69,244,"1,463.55",5.5,0,0
"화요일",15시~16시,11,1.13,214,"2,352.9",4.5,0,0
"화요일",16시~17시,12,1.17,253,"3,032.15",5,0,0
"화요일",17시~18시,6,0.57,314,"1,882.1",3.9,0,0
"화요일",18시~19시,12,1.27,228,"2,737.35",4.2,0,0
"화요일",19시~20시,12,1.46,277,"3,329.7",3.4,0,0
"화요일",20시~21시,6,0.82,179,"1,075.25",3.8,0,0
"화요일",21시~22시,5,0.55,308,"1,537.8",3.2,0,0
"화요일",22시~23시,5,0.55,265,"1,324.4",2.9,0,0
"화요일",23시~00시,6,0.64,147,880,2.8,0,0
"수요일",00시~01시,5,0.53,249,"1,247.4",2.9,0,0
"수요일",01시~02시,5,1.11,122,609.95,2.5,0,0
"수요일",02시~03시,2,0.69,126,251.35,2.2,0,0
"수요일",03시~04시,1,0.45,349,349.25,2,0,0
"수요일",04시~05시,0,0,0,20.35,1.8,0,0
"수요일",05시~06시,0,0,0,33.55,1.9,0,0
"수요일",06시~07시,1,0.24,591,591.25,2.2,0,0
"수요일",07시~08시,1,0.18,150,150.15,2.5,0,0
"수요일",08시~09시,5,0.58,281,"1,403.6",2.9,0,0
"수요일",09시~10시,9,0.91,371,"3,335.2",3.9,0,0
"수요일",10시~11시,15,1.17,252,"3,780.7",4.3,0,0
"수요일",11시~12시,17,1.11,269,"4,578.75",4.4,0,0
"수요일",12시~13시,13,1.12,212,"2,758.8",3.5,0,0
"수요일",13시~14시,8,0.81,312,"2,493.7",4,0,0
"수요일",14시~15시,11,1.19,233,"2,559.15",3.8,0,0
