"요일별보고서(2025.06.01.~2025.06.30.),premier36:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,3,3.38,2.5,238,715,0,0
"월요일",01시~02시,4,6.46,2.3,239,957,0,0
"월요일",02시~03시,1,2.33,2.6,77,77,0,0
"월요일",03시~04시,2,4.55,2.4,237,473,0,0
"월요일",04시~05시,1,4,2.4,143,143,0,0
"월요일",05시~06시,0,0,3.2,0,0,0,0
"월요일",06시~07시,1,1.97,2.3,726,726,0,0
"월요일",07시~08시,2,3.64,2.5,418,836,0,0
"월요일",08시~09시,6,6.6,2.1,350,"2,101",0,0
"월요일",09시~10시,2,2.3,2.2,462,924,0,0
"월요일",10시~11시,2,2.13,2,187,374,0,0
"월요일",11시~12시,3,4.11,1.8,227,682,0,0
"월요일",12시~13시,6,3.95,2.2,325,"1,947",0,0
"월요일",13시~14시,9,6.82,2.3,532,"4,785",0,0
"월요일",14시~15시,3,2.21,2.4,385,"1,155",0,0
"월요일",15시~16시,5,4.72,2.5,323,"1,617",0,0
"월요일",16시~17시,7,6.15,2.6,310,"2,167",0,0
"월요일",17시~18시,7,4.46,2.8,377,"2,640",0,0
"월요일",18시~19시,4,3.54,2.3,536,"2,145",0,0
"월요일",19시~20시,4,3.78,2.4,443,"1,771",0,0
"월요일",20시~21시,8,7.55,2.3,292,"2,332",0,0
"월요일",21시~22시,4,4.71,2.1,327,"1,309",0,0
"월요일",22시~23시,7,6.87,2.6,446,"3,124",0,0
"월요일",23시~00시,0,0,2.4,0,0,0,0
"화요일",00시~01시,3,4.23,2.4,370,"1,111",0,0
"화요일",01시~02시,1,2.64,2.6,"1,232","1,232",0,0
"화요일",02시~03시,0,0,2.7,0,0,0,0
"화요일",03시~04시,1,5.89,3.4,"1,254","1,254",0,0
"화요일",04시~05시,0,0,2.3,0,0,0,0
"화요일",05시~06시,0,0,2.6,0,0,0,0
"화요일",06시~07시,0,0,2.4,0,0,0,0
"화요일",07시~08시,3,4.23,2.4,238,715,0,0
