"요일별보고서(2025.06.01.~2025.06.30.),rarien26:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,0,0,2.3,0,0,0,0
"월요일",01시~02시,4,0.73,3.2,891,"3,564",0,0
"월요일",02시~03시,2,0.51,3.3,974,"1,947",0,0
"월요일",03시~04시,1,0.28,3.5,"1,100","1,100",0,0
"월요일",04시~05시,0,0,2.6,0,0,0,0
"월요일",05시~06시,1,0.27,2.6,737,737,0,0
"월요일",06시~07시,3,0.51,2.8,"1,008","3,025",0,0
"월요일",07시~08시,2,0.25,2.6,930,"1,859",0,0
"월요일",08시~09시,2,0.12,2.6,853,"1,705",0,0
"월요일",09시~10시,8,0.39,2.5,"1,011","8,085",0,0
"월요일",10시~11시,14,0.55,2.7,936,"13,101",0,0
"월요일",11시~12시,9,0.32,2.6,996,"8,965",0,0
"월요일",12시~13시,15,0.47,2.7,"1,068","16,027",0,0
"월요일",13시~14시,12,0.34,2.4,"1,034","12,408",0,0
"월요일",14시~15시,9,0.33,2.4,"1,095","9,856",0,0
"월요일",15시~16시,13,0.48,2.3,949,"12,342",0,0
"월요일",16시~17시,5,0.3,2.1,"1,360","6,798",0,0
"월요일",17시~18시,12,0.82,2.1,680,"8,162",0,0
"월요일",18시~19시,9,0.66,2,"1,096","9,867",0,0
"월요일",19시~20시,4,0.33,2,506,"2,024",0,0
"월요일",20시~21시,7,0.63,2,790,"5,533",0,0
"월요일",21시~22시,6,0.64,1.8,"1,283","7,700",0,0
"월요일",22시~23시,2,0.47,1.7,792,"1,584",0,0
"월요일",23시~00시,0,0,2,0,0,0,0
"화요일",00시~01시,0,0,2.1,0,0,0,0
"화요일",01시~02시,1,0.15,2.6,946,946,0,0
"화요일",02시~03시,2,0.42,2.7,869,"1,738",0,0
"화요일",03시~04시,0,0,2.5,0,0,0,0
"화요일",04시~05시,0,0,3.1,0,0,0,0
"화요일",05시~06시,2,0.56,2.4,974,"1,947",0,0
"화요일",06시~07시,0,0,2.1,0,0,0,0
