"요일별보고서(2025.06.01.~2025.06.30.),skyxi12:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,2,1.99,3.8,154,308,0,0
"월요일",01시~02시,0,0,4.5,0,0,0,0
"월요일",02시~03시,0,0,3.8,0,0,0,0
"월요일",03시~04시,0,0,3.8,0,0,0,0
"월요일",04시~05시,0,0,2.8,0,0,0,0
"월요일",05시~06시,0,0,4.4,0,0,0,0
"월요일",06시~07시,1,2.86,4.2,319,319,0,0
"월요일",07시~08시,1,1.3,3.8,143,143,0,0
"월요일",08시~09시,2,1.62,4,226,451,0,0
"월요일",09시~10시,0,0,4.2,0,0,0,0
"월요일",10시~11시,4,1.07,4.9,96,385,0,0
"월요일",11시~12시,5,1.23,4,139,693,0,0
"월요일",12시~13시,10,1.33,3.9,135,"1,353",0,0
"월요일",13시~14시,12,1.55,3.7,123,"1,474",0,0
"월요일",14시~15시,8,1.01,4.2,140,"1,122",0,0
"월요일",15시~16시,6,0.77,4.3,132,792,0,0
"월요일",16시~17시,13,2.24,4.4,124,"1,606",0,0
"월요일",17시~18시,3,0.56,4,136,407,0,0
"월요일",18시~19시,2,0.37,3.4,110,220,0,0
"월요일",19시~20시,2,0.57,3.1,237,473,0,0
"월요일",20시~21시,1,0.31,3.8,154,154,0,0
"월요일",21시~22시,3,0.74,4.2,143,429,0,0
"월요일",22시~23시,2,0.56,4.1,154,308,0,0
"월요일",23시~00시,3,0.89,4.1,128,385,0,0
"화요일",00시~01시,0,0,3.7,0,0,0,0
"화요일",01시~02시,0,0,4,0,0,0,0
"화요일",02시~03시,0,0,4.4,0,0,0,0
"화요일",03시~04시,2,6.07,3.8,154,308,0,0
"화요일",04시~05시,0,0,3.5,0,0,0,0
"화요일",05시~06시,0,0,3.4,0,0,0,0
"화요일",06시~07시,1,1.73,4.5,308,308,0,0
"화요일",07시~08시,1,1.05,4.6,154,154,0,0
"화요일",08시~09시,0,0,4.5,0,0,0,0
"화요일",09시~10시,2,1.02,4.6,110,220,0,0
"화요일",10시~11시,5,1.33,4.7,75,374,0,0
"화요일",11시~12시,2,0.45,4.5,116,231,0,0
"화요일",12시~13시,10,1.65,4.3,123,"1,232",0,0
"화요일",13시~14시,13,2.01,4.5,128,"1,661",0,0
"화요일",14시~15시,15,1.9,4.7,122,"1,837",0,0
"화요일",15시~16시,11,1.5,4.3,121,"1,331",0,0
"화요일",16시~17시,7,1.03,4.5,127,891,0,0
"화요일",17시~18시,7,1.4,4.1,134,935,0,0
"화요일",18시~19시,6,1.23,3.8,154,924,0,0
"화요일",19시~20시,2,0.75,4,105,209,0,0
"화요일",20시~21시,0,0,3.6,0,0,0,0
"화요일",21시~22시,2,0.94,4.1,138,275,0,0
"화요일",22시~23시,3,1.32,4,169,506,0,0
"화요일",23시~00시,0,0,4,0,0,0,0
"수요일",00시~01시,1,1.32,4,154,154,0,0
"수요일",01시~02시,1,1.25,3.4,154,154,0,0
"수요일",02시~03시,2,3.28,4,226,451,0,0
"수요일",03시~04시,0,0,4.6,0,0,0,0
"수요일",04시~05시,0,0,3.5,0,0,0,0
"수요일",05시~06시,0,0,2.9,0,0,0,0
"수요일",06시~07시,1,3.58,3.4,77,77,0,0
"수요일",07시~08시,0,0,4.1,0,0,0,0
"수요일",08시~09시,0,0,4.9,0,0,0,0
"수요일",09시~10시,0,0,5.2,0,0,0,0
"수요일",10시~11시,2,0.47,5.1,116,231,0,0
"수요일",11시~12시,3,0.68,4.8,125,374,0,0
"수요일",12시~13시,1,0.2,4.3,77,77,0,0
"수요일",13시~14시,3,0.53,4.4,150,451,0,0
"수요일",14시~15시,1,0.19,4.8,176,176,0,0
"수요일",15시~16시,3,0.56,5,103,308,0,0
"수요일",16시~17시,2,0.4,4.6,99,198,0,0
"수요일",17시~18시,5,1.03,4.4,150,748,0,0
"수요일",18시~19시,4,1.09,4.9,118,473,0,0
"수요일",19시~20시,3,1.2,4.4,220,660,0,0
"수요일",20시~21시,4,1.58,4.6,217,869,0,0
"수요일",21시~22시,2,0.76,4.1,116,231,0,0
"수요일",22시~23시,2,0.81,4.1,242,484,0,0
"수요일",23시~00시,2,0.83,3.8,143,286,0,0
"목요일",00시~01시,1,1.32,3.7,121,121,0,0
"목요일",01시~02시,1,1.37,3.9,154,154,0,0
"목요일",02시~03시,0,0,3.6,0,0,0,0
"목요일",03시~04시,1,2.5,3.1,154,154,0,0
"목요일",04시~05시,0,0,3.2,0,0,0,0
"목요일",05시~06시,1,2.33,5.4,154,154,0,0
"목요일",06시~07시,1,1.82,4.5,154,154,0,0
"목요일",07시~08시,0,0,4.7,0,0,0,0
"목요일",08시~09시,0,0,5.2,0,0,0,0
"목요일",09시~10시,1,0.4,5.2,66,66,0,0
"목요일",10시~11시,5,1.24,5.1,114,572,0,0
"목요일",11시~12시,8,1.7,4.2,125,"1,001",0,0
"목요일",12시~13시,6,1.59,3.6,134,803,0,0
"목요일",13시~14시,3,0.72,4.1,125,374,0,0
"목요일",14시~15시,3,0.8,4,183,550,0,0
"목요일",15시~16시,3,0.75,4.4,106,319,0,0
"목요일",16시~17시,2,0.48,4.3,77,154,0,0
"목요일",17시~18시,4,1.11,4.6,94,374,0,0
"목요일",18시~19시,5,1.47,4.9,132,660,0,0
"목요일",19시~20시,1,0.47,4.1,154,154,0,0
"목요일",20시~21시,0,0,3.8,0,0,0,0
"목요일",21시~22시,4,1.42,4.2,250,"1,001",0,0
"목요일",22시~23시,2,0.5,3.8,121,242,0,0
"목요일",23시~00시,5,2.24,3.7,216,"1,078",0,0
"금요일",00시~01시,1,1.02,4.4,154,154,0,0
"금요일",01시~02시,1,1.14,4,154,154,0,0
"금요일",02시~03시,0,0,3.6,0,0,0,0
"금요일",03시~04시,0,0,3.2,0,0,0,0
"금요일",04시~05시,0,0,3.7,0,0,0,0
"금요일",05시~06시,0,0,3.8,0,0,0,0
"금요일",06시~07시,1,1.7,4.2,77,77,0,0
"금요일",07시~08시,1,0.85,4.4,77,77,0,0
"금요일",08시~09시,2,1.32,4.9,242,484,0,0
"금요일",09시~10시,3,1.86,4.9,77,231,0,0
"금요일",10시~11시,5,1.57,4.8,143,715,0,0
"금요일",11시~12시,3,0.8,4.2,103,308,0,0
"금요일",12시~13시,6,1,4.1,88,528,0,0
"금요일",13시~14시,11,1.43,3.6,111,"1,221",0,0
"금요일",14시~15시,9,1.24,4.2,138,"1,243",0,0
"금요일",15시~16시,8,1.37,4.9,138,"1,100",0,0
"금요일",16시~17시,7,1.44,4.2,116,814,0,0
"금요일",17시~18시,5,1.09,4.1,185,924,0,0
"금요일",18시~19시,2,0.4,4,160,319,0,0
"금요일",19시~20시,2,0.75,3.6,215,429,0,0
"금요일",20시~21시,1,0.31,3.6,154,154,0,0
"금요일",21시~22시,1,0.33,3.3,330,330,0,0
"금요일",22시~23시,4,1.19,3.2,179,715,0,0
"금요일",23시~00시,4,1.46,3.4,138,550,0,0
"토요일",00시~01시,1,1.06,4.2,154,154,0,0
"토요일",01시~02시,1,0.97,3.4,154,154,0,0
"토요일",02시~03시,0,0,3.6,0,0,0,0
"토요일",03시~04시,0,0,4.8,0,0,0,0
"토요일",04시~05시,0,0,3.3,0,0,0,0
"토요일",05시~06시,1,2,3.4,77,77,0,0
"토요일",06시~07시,1,1.5,3.6,99,99,0,0
"토요일",07시~08시,1,0.68,3.5,154,154,0,0
"토요일",08시~09시,4,2.06,4.3,160,638,0,0
"토요일",09시~10시,3,0.95,4.8,154,462,0,0
"토요일",10시~11시,7,1.41,4.3,140,979,0,0
"토요일",11시~12시,5,0.75,3.8,147,737,0,0
"토요일",12시~13시,13,1.18,3.6,121,"1,573",0,0
"토요일",13시~14시,17,1.56,3.8,103,"1,749",0,0
"토요일",14시~15시,14,1.16,3.7,136,"1,903",0,0
"토요일",15시~16시,6,0.57,4.3,141,847,0,0
"토요일",16시~17시,5,0.7,4,128,638,0,0
"토요일",17시~18시,11,1.79,4.3,132,"1,452",0,0
"토요일",18시~19시,2,0.32,4.3,193,385,0,0
"토요일",19시~20시,4,0.79,4.9,135,539,0,0
"토요일",20시~21시,8,3.64,3.2,144,"1,155",0,0
"토요일",21시~22시,0,0,3.3,0,0,0,0
"토요일",22시~23시,0,0,3,0,0,0,0
"토요일",23시~00시,1,0.45,3.4,77,77,0,0
"일요일",00시~01시,0,0,4.1,0,0,0,0
"일요일",01시~02시,2,1.84,3.6,143,286,0,0
"일요일",02시~03시,0,0,3.4,0,0,0,0
"일요일",03시~04시,0,0,3.3,0,0,0,0
"일요일",04시~05시,0,0,3.7,0,0,0,0
"일요일",05시~06시,1,2.39,3.2,154,154,0,0
"일요일",06시~07시,0,0,4.4,0,0,0,0
"일요일",07시~08시,0,0,4.7,0,0,0,0
"일요일",08시~09시,4,1.87,4.9,135,539,0,0
"일요일",09시~10시,6,2.04,4.7,149,891,0,0
"일요일",10시~11시,7,1.22,4.3,157,"1,100",0,0
"일요일",11시~12시,9,1.21,3.8,130,"1,166",0,0
"일요일",12시~13시,16,1.6,4.1,135,"2,156",0,0
"일요일",13시~14시,7,0.65,4.2,99,693,0,0
"일요일",14시~15시,10,0.83,4.5,114,"1,144",0,0
"일요일",15시~16시,14,1.32,4,138,"1,936",0,0
"일요일",16시~17시,7,0.84,4.6,113,792,0,0
"일요일",17시~18시,6,0.82,4.2,114,682,0,0
"일요일",18시~19시,6,0.8,4.4,117,704,0,0
"일요일",19시~20시,6,1.18,3.3,128,770,0,0
"일요일",20시~21시,2,0.7,3.3,116,231,0,0
"일요일",21시~22시,1,0.31,3.4,154,154,0,0
"일요일",22시~23시,3,0.94,3.1,154,462,0,0
"일요일",23시~00시,3,1.19,2.6,121,363,0,0
